Plate_well,Sort_id
1_A1,1_A1
1_A2,1_A2
1_A3,1_A3
1_A4,1_A4
1_A5,1_A5
1_A6,1_A6
1_A7,1_A7
1_A8,1_A8
1_A10,1_A10
1_A11,1_A11
1_A12,1_A12
1_B1,1_B1
1_B2,1_B2
1_B3,1_B3
1_B5,1_B5
1_B7,1_B7
1_B8,1_B8
1_B9,1_B9
1_B10,1_B10
1_B12,1_B12
1_C1,1_C1
1_C2,1_C2
1_C4,1_C4
1_C6,1_C6
1_C7,1_C7
1_C8,1_C8
1_C9,1_C9
1_C11,1_C11
1_C12,1_C12
1_D1,1_D1
1_D2,1_D2
1_D3,1_D3
1_D5,1_D5
1_D6,1_D6
1_D7,1_D7
1_D9,1_D9
1_D11,1_D11
1_E1,1_E1
1_E2,1_E2
1_E3,1_E3
1_E4,1_E4
1_E6,1_E6
1_E7,1_E7
1_E8,1_E8
1_E10,1_E10
1_E11,1_E11
1_E12,1_E12
1_F1,1_F1
1_F2,1_F2
1_F4,1_F4
1_F6,1_F6
1_F7,1_F7
1_F9,1_F9
1_F10,1_F10
1_F11,1_F11
1_F12,1_F12
1_G1,1_G1
1_G2,1_G2
1_G3,1_G3
1_G4,1_G4
1_G5,1_G5
1_G6,1_G6
1_G7,1_G7
1_G8,1_G8
1_G9,1_G9
1_G10,1_G10
1_G11,1_G11
1_G12,1_G12
1_H1,1_H1
1_H2,1_H2
1_H3,1_H3
1_H4,1_H4
1_H5,1_H5
1_H6,1_H6
1_H9,1_H9
1_H10,1_H10
1_H11,1_H11
1_H12,1_H12
2_A1,2_A1
2_A2,2_A2
2_A3,2_A3
2_A4,2_A4
2_A5,2_A5
2_A6,2_A6
2_A7,2_A7
2_A8,2_A8
2_A9,2_A9
2_A10,2_A10
2_A11,2_A11
2_A12,2_A12
2_B1,2_B1
2_B2,2_B2
2_B3,2_B3
2_B4,2_B4
2_B6,2_B6
2_B7,2_B7
2_B8,2_B8
2_B9,2_B9
2_B10,2_B10
2_C1,2_C1
2_C2,2_C2
2_C3,2_C3
2_C4,2_C4
2_C5,2_C5
2_C6,2_C6
2_C7,2_C7
2_C8,2_C8
2_C10,2_C10
2_C11,2_C11
2_C12,2_C12
2_D1,2_D1
2_D2,2_D2
2_D3,2_D3
2_D4,2_D4
2_D5,2_D5
2_D6,2_D6
2_D7,2_D7
2_D8,2_D8
2_D9,2_D9
2_D10,2_D10
2_D11,2_D11
2_D12,2_D12
2_E1,2_E1
2_E2,2_E2
2_E3,2_E3
2_E4,2_E4
2_E6,2_E6
2_E7,2_E7
2_E8,2_E8
2_E9,2_E9
2_E10,2_E10
2_E11,2_E11
2_E12,2_E12
2_F1,2_F1
2_F2,2_F2
2_F4,2_F4
2_F5,2_F5
2_F6,2_F6
2_F7,2_F7
2_F8,2_F8
2_F9,2_F9
2_F10,2_F10
2_F11,2_F11
2_F12,2_F12
2_G1,2_G1
2_G2,2_G2
2_G3,2_G3
2_G4,2_G4
2_G5,2_G5
2_G6,2_G6
2_G7,2_G7
2_G8,2_G8
2_G10,2_G10
