sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
LEUK5-P1-D2-wellin384plt-17_S129_L001,2018,1536,33,3587,4843,4922,1256
LEUK5-P4-F6-wellin384plt-351_S216_L001,0,55,0,55,1941,1946,1886
LEUK5-P5-F7-wellin384plt-132_S258_L001,0,17,0,17,1741,1752,1724
LEUK5-P2-G6-wellin384plt-209_S177_L001,2977,575,183,3735,4203,4298,468
LEUK5-P5-F10-wellin384plt-160_S360_L001,0,15,0,15,921,922,906
LEUK5-P1-F8-wellin384plt-85_S147_L001,58,35,0,93,129,142,36
LEUK5-P4-G9-wellin384plt-18_S321_L001,712,3258,32,4002,4652,4764,650
LEUK5-P2-E5-wellin384plt-193_S81_L001,6,16,0,22,2864,2868,2842
LEUK5-P4-D11-wellin384plt-38_S235_L001,2,1580,0,1582,4654,4724,3072
D0plt-F5-HSC-1-wellin384plt-250_S381_L001,0,9,0,9,453,454,444
LEUK5-P2-B6-wellin384plt-203_S86_L001,2,12,0,14,2546,2550,2532
LEUK5-P2-D8-wellin384plt-227_S90_L001,0,94,29,123,739,748,616
LEUK5-P2-D7-wellin384plt-217_S181_L001,4,34,2,40,1610,1612,1570
LEUK5-P4-B4-wellin384plt-317_S207_L001,0,4044,0,4044,6912,7054,2868
LEUK5-P2-C2-wellin384plt-155_S166_L001,5,64,0,69,2691,2706,2622
D0plt-G9-HSC-1-wellin384plt-316_S398_L001,0,8,0,8,1488,1492,1480
LEUK5-P5-F2-wellin384plt-76_S246_L001,384,561,18,963,1005,1038,42
LEUK5-P4-A8-wellin384plt-373_S219_L001,2,2791,0,2793,5015,5180,2222
LEUK5-P4-H9-wellin384plt-20_S322_L001,6,3005,0,3011,4461,4546,1450
D0plt-F6-HSC-1-wellin384plt-266_S293_L001,0,26,0,26,802,804,776
LEUK5-P4-D10-wellin384plt-26_S325_L001,0,49,0,49,2347,2350,2298
LEUK5-P1-D11-wellin384plt-117_S155_L001,5867,3710,18,9595,10655,10956,1060
D0plt-B4-GMP-1-wellin384plt-226_S281_L001,0,9,0,9,257,260,248
LEUK5-P2-C7-wellin384plt-215_S180_L001,68,306,33,407,1873,1888,1466
D0plt-H1-GMP-1-wellin384plt-190_S367_L001,0,38,0,38,268,268,230
LEUK5-P2-D9-wellin384plt-239_S96_L001,126,1661,49,1836,4896,4974,3060
LEUK5-P5-D1-wellin384plt-62_S335_L001,2499,3121,66,5686,7602,7752,1916
LEUK5-P4-G4-wellin384plt-325_S115_L001,2,1768,0,1770,4136,4226,2366
LEUK5-P1-E9-wellin384plt-99_S58_L001,0,12,0,12,22,24,10
LEUK5-P1-B8-wellin384plt-81_S145_L001,4240,4509,153,8902,9344,9644,442
LEUK5-P4-E5-wellin384plt-335_S120_L001,1,10,0,11,1547,1548,1536
LEUK5-P5-A9-wellin384plt-144_S264_L001,0,0,0,0,66,66,66
LEUK5-P1-G3-wellin384plt-37_S43_L001,31,45,0,76,126,134,50
LEUK5-P4-H7-wellin384plt-371_S218_L001,6,2530,0,2536,4940,5096,2404
LEUK5-P2-A6-wellin384plt-201_S85_L001,790,1831,244,2865,5831,5930,2966
LEUK5-P2-C1-wellin384plt-141_S71_L001,89,637,67,793,2901,2936,2108
LEUK5-P5-F1-wellin384plt-66_S241_L001,0,3,0,3,15,16,12
LEUK5-P2-F8-wellin384plt-229_S91_L001,261,608,31,900,3102,3148,2202
D0plt-G2-GMP-1-wellin384plt-204_S278_L001,0,2,0,2,14,16,12
LEUK5-P2-B3-wellin384plt-161_S73_L001,8040,463,243,8746,8978,9154,232
D0plt-C6-HSC-1-wellin384plt-260_S290_L001,0,7472,0,7472,9922,10126,2450
