sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
LEUK5-P1-E11-wellin384plt-119_S156_L001,1161,4809,50,6020,8052,8324,2032
LEUK5-P2-G4-wellin384plt-185_S173_L001,70,136,12,218,2182,2192,1964
LEUK5-P4-G6-wellin384plt-353_S121_L001,163,2059,15,2237,3517,3582,1280
LEUK5-P1-A1-wellin384plt-1_S33_L001,6,646,1,653,3689,3724,3036
LEUK5-P1-E4-wellin384plt-45_S47_L001,4,16,0,20,40,44,20
D0plt-B6-HSC-1-wellin384plt-258_S289_L001,0,11,0,11,1921,1924,1910
LEUK5-P4-C9-wellin384plt-10_S229_L001,0,2,0,2,14,14,12
LEUK5-P1-H10-wellin384plt-111_S64_L001,292,1743,17,2052,2258,2332,206
LEUK5-P5-D11-wellin384plt-166_S267_L001,1156,328,185,1669,1799,1836,130
D0plt-D12-HSC-1-wellin384plt-358_S315_L001,0,21,0,21,623,624,602
LEUK5-P4-C8-wellin384plt-377_S221_L001,0,15,0,15,45,46,30
D0plt-A8-HSC-1-wellin384plt-288_S392_L001,2,9499,0,9501,11643,12172,2142
LEUK5-P1-C2-wellin384plt-15_S40_L001,0,102,1,103,3459,3470,3356
D0plt-E5-HSC-1-wellin384plt-248_S380_L001,0,165,0,165,2345,2358,2180
LEUK5-P1-A12-wellin384plt-125_S159_L001,1076,4171,45,5292,6846,7096,1554
D0plt-A4-GMP-20-wellin384plt-224_S376_L001,3,21,0,24,2578,2588,2554
LEUK5-P1-B9-wellin384plt-93_S151_L001,1374,680,8,2062,3564,3618,1502
LEUK5-P5-G5-wellin384plt-114_S345_L001,0,1492,6,1498,2852,2900,1354
D0plt-F1-GMP-1-wellin384plt-186_S365_L001,0,1,0,1,125,126,124
D0plt-B10-HSC-1-wellin384plt-322_S305_L001,0,17,1,18,3070,3076,3052
D0plt-F11-HSC-1-wellin384plt-346_S405_L001,0,4,0,4,6,6,2
LEUK5-P1-A4-wellin384plt-41_S45_L001,2,1978,0,1980,4786,4860,2806
LEUK5-P4-E9-wellin384plt-14_S231_L001,0,21,0,21,33,34,12
LEUK5-P4-F11-wellin384plt-42_S237_L001,0,22,0,22,940,944,918
D0plt-G3-GMP-1-wellin384plt-220_S374_L001,0,30,0,30,2500,2510,2470
D0plt-D5-HSC-1-wellin384plt-246_S379_L001,0,11,0,11,2117,2120,2106
LEUK5-P4-B3-wellin384plt-307_S202_L001,1,4504,0,4505,7935,8152,3430
LEUK5-P1-F3-wellin384plt-35_S42_L001,75,151,6,232,334,344,102
LEUK5-P1-F1-wellin384plt-9_S37_L001,11,938,2,951,3779,3810,2828
LEUK5-P4-H11-wellin384plt-44_S238_L001,12,2629,0,2641,5497,5580,2856
LEUK5-P5-B11-wellin384plt-162_S265_L001,3610,513,120,4243,4405,4462,162
D0plt-B7-HSC-1-wellin384plt-274_S385_L001,1,3643,0,3644,5612,5718,1968
LEUK5-P2-E1-wellin384plt-145_S161_L001,2,10,0,12,1584,1590,1572
LEUK5-P5-B3-wellin384plt-80_S248_L001,2,214,0,216,2876,2898,2660
D0plt-G4-GMP-1-wellin384plt-236_S286_L001,0,0,0,0,6,6,6
LEUK5-P2-A9-wellin384plt-235_S94_L001,90,71,10,171,1675,1686,1504
LEUK5-P4-C10-wellin384plt-24_S324_L001,18,17,0,35,63,66,28
LEUK5-P5-F6-wellin384plt-120_S348_L001,1,274,0,275,2385,2404,2110
LEUK5-P2-A4-wellin384plt-175_S80_L001,23,1,0,24,40,42,16
LEUK5-P4-A9-wellin384plt-6_S227_L001,2,16,0,18,1376,1380,1358
LEUK5-P5-A4-wellin384plt-90_S341_L001,1,18,0,19,2135,2142,2116
LEUK5-P1-B6-wellin384plt-63_S144_L001,4670,876,71,5617,6111,6226,494
LEUK5-P2-E4-wellin384plt-181_S171_L001,34,129,7,170,2220,2230,2050
LEUK5-P4-G8-wellin384plt-2_S225_L001,336,1918,51,2305,4029,4144,1724
LEUK5-P4-E8-wellin384plt-381_S223_L001,288,1273,6,1567,4247,4316,2680
LEUK5-P5-C11-wellin384plt-164_S266_L001,7,30,11,48,1800,1808,1752
LEUK5-P5-E3-wellin384plt-84_S338_L001,0,19,0,19,27,32,8
LEUK5-P5-F5-wellin384plt-112_S256_L001,5,10,0,15,355,362,340
D0plt-D4-GMP-1-wellin384plt-230_S283_L001,3,9,0,12,2776,2784,2764
LEUK5-P5-C2-wellin384plt-70_S243_L001,2,288,0,290,526,536,236
LEUK5-P5-B4-wellin384plt-92_S342_L001,140,5749,8,5897,8235,8454,2338
LEUK5-P2-B4-wellin384plt-177_S169_L001,128,581,36,745,2551,2572,1806
D0plt-C4-GMP-1-wellin384plt-228_S282_L001,0,31,0,31,2541,2556,2510
LEUK5-P5-B6-wellin384plt-116_S346_L001,0,1364,0,1364,3372,3422,2008
LEUK5-P2-F5-wellin384plt-195_S82_L001,222,825,89,1136,4356,4408,3220
LEUK5-P1-G4-wellin384plt-47_S48_L001,10,3702,0,3712,7040,7234,3328
LEUK5-P4-C12-wellin384plt-50_S329_L001,1023,995,16,2034,2136,2202,102
D0plt-E10-HSC-1-wellin384plt-328_S308_L001,134,25,0,159,2619,2628,2460
LEUK5-P4-B6-wellin384plt-343_S212_L001,0,90,0,90,584,588,494
LEUK5-P2-G5-wellin384plt-197_S83_L001,3918,225,95,4238,4932,5016,694
LEUK5-P2-A5-wellin384plt-187_S174_L001,2496,3050,475,6021,7553,7696,1532
D0plt-H4-GMP-1-wellin384plt-238_S287_L001,0,119,0,119,2319,2336,2200
D0plt-H2-GMP-1-wellin384plt-206_S279_L001,0,49,0,49,1375,1376,1326
LEUK5-P4-B12-wellin384plt-48_S240_L001,3,5670,0,5673,8083,8290,2410
D0plt-B2-GMP-1-wellin384plt-194_S273_L001,2,26,0,28,2194,2204,2166
LEUK5-P2-B5-wellin384plt-189_S175_L001,248,1376,81,1705,3971,4024,2266
LEUK5-P4-B5-wellin384plt-331_S118_L001,0,14,0,14,34,36,20
D0plt-A10-HSC-1-wellin384plt-320_S400_L001,0,1,0,1,377,378,376
D0plt-A12-HSC-1-wellin384plt-352_S408_L001,1,4,0,5,237,238,232
D0plt-E7-HSC-1-wellin384plt-280_S388_L001,0,22,0,22,2416,2422,2394
D0plt-G10-HSC-1-wellin384plt-332_S310_L001,0,5,0,5,361,362,356
LEUK5-P2-C5-wellin384plt-191_S176_L001,13,149,0,162,2222,2238,2060
contig_mean,384.7639257,1111.477454,24.64721485,1520.888594,3007.212202,3063.708223,1486.323607
contig_median,2,111,0,165,2345,2350,1726
contig_sum,145056,419027,9292,573375,1133719,1155018,560344
