Well,Cells #Events,Cells %Parent,Cells FSC-A Median,Cells FSC-W Median,Cells SSC-A Median,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Median,Cells CD19 488 530/30-A Median,Cells Live/Dead V405 450/50-A Median,Cells CD7/10 V405 525/50-A Median,Cells V405 780/60-A Median,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Median,Singlets FSC-W Median,Singlets SSC-A Median,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Median,Singlets CD19 488 530/30-A Median,Singlets Live/Dead V405 450/50-A Median,Singlets CD7/10 V405 525/50-A Median,Singlets V405 780/60-A Median,Singlets Time Median,Live cells #Events,Live cells %Parent,Live cells FSC-A Median,Live cells FSC-W Median,Live cells SSC-A Median,Live cells CD33 640 670/30-A Median,Live cells CD45RA 640 730/45-A Median,Live cells CD34 640 780/60-A Median,Live cells CD90 561 582/15-A Median,Live cells CD49f 561 670/14-A Median,Live cells CD38 561 780/60-A Median,Live cells CD19 488 530/30-A Median,Live cells Live/Dead V405 450/50-A Median,Live cells CD7/10 V405 525/50-A Median,Live cells V405 780/60-A Median,Live cells Time Median,CD19 neg #Events,CD19 neg %Parent,CD19 neg FSC-A Median,CD19 neg FSC-W Median,CD19 neg SSC-A Median,CD19 neg CD33 640 670/30-A Median,CD19 neg CD45RA 640 730/45-A Median,CD19 neg CD34 640 780/60-A Median,CD19 neg CD90 561 582/15-A Median,CD19 neg CD49f 561 670/14-A Median,CD19 neg CD38 561 780/60-A Median,CD19 neg CD19 488 530/30-A Median,CD19 neg Live/Dead V405 450/50-A Median,CD19 neg CD7/10 V405 525/50-A Median,CD19 neg V405 780/60-A Median,CD19 neg Time Median,34+/33- #Events,34+/33- %Parent,34+/33- FSC-A Median,34+/33- FSC-W Median,34+/33- SSC-A Median,34+/33- CD33 640 670/30-A Median,34+/33- CD45RA 640 730/45-A Median,34+/33- CD34 640 780/60-A Median,34+/33- CD90 561 582/15-A Median,34+/33- CD49f 561 670/14-A Median,34+/33- CD38 561 780/60-A Median,34+/33- CD19 488 530/30-A Median,34+/33- Live/Dead V405 450/50-A Median,34+/33- CD7/10 V405 525/50-A Median,34+/33- V405 780/60-A Median,34+/33- Time Median,34+/45dim #Events,34+/45dim %Parent,34+/45dim FSC-A Median,34+/45dim FSC-W Median,34+/45dim SSC-A Median,34+/45dim CD33 640 670/30-A Median,34+/45dim CD45RA 640 730/45-A Median,34+/45dim CD34 640 780/60-A Median,34+/45dim CD90 561 582/15-A Median,34+/45dim CD49f 561 670/14-A Median,34+/45dim CD38 561 780/60-A Median,34+/45dim CD19 488 530/30-A Median,34+/45dim Live/Dead V405 450/50-A Median,34+/45dim CD7/10 V405 525/50-A Median,34+/45dim V405 780/60-A Median,34+/45dim Time Median,CD38/CD34+ #Events,CD38/CD34+ %Parent,CD38/CD34+ FSC-A Median,CD38/CD34+ FSC-W Median,CD38/CD34+ SSC-A Median,CD38/CD34+ CD33 640 670/30-A Median,CD38/CD34+ CD45RA 640 730/45-A Median,CD38/CD34+ CD34 640 780/60-A Median,CD38/CD34+ CD90 561 582/15-A Median,CD38/CD34+ CD49f 561 670/14-A Median,CD38/CD34+ CD38 561 780/60-A Median,CD38/CD34+ CD19 488 530/30-A Median,CD38/CD34+ Live/Dead V405 450/50-A Median,CD38/CD34+ CD7/10 V405 525/50-A Median,CD38/CD34+ V405 780/60-A Median,CD38/CD34+ Time Median,CD38-/34+ #Events,CD38-/34+ %Parent,CD38-/34+ FSC-A Median,CD38-/34+ FSC-W Median,CD38-/34+ SSC-A Median,CD38-/34+ CD33 640 670/30-A Median,CD38-/34+ CD45RA 640 730/45-A Median,CD38-/34+ CD34 640 780/60-A Median,CD38-/34+ CD90 561 582/15-A Median,CD38-/34+ CD49f 561 670/14-A Median,CD38-/34+ CD38 561 780/60-A Median,CD38-/34+ CD19 488 530/30-A Median,CD38-/34+ Live/Dead V405 450/50-A Median,CD38-/34+ CD7/10 V405 525/50-A Median,CD38-/34+ V405 780/60-A Median,CD38-/34+ Time Median,HSC pool #Events,HSC pool %Parent,HSC pool FSC-A Median,HSC pool FSC-W Median,HSC pool SSC-A Median,HSC pool CD33 640 670/30-A Median,HSC pool CD45RA 640 730/45-A Median,HSC pool CD34 640 780/60-A Median,HSC pool CD90 561 582/15-A Median,HSC pool CD49f 561 670/14-A Median,HSC pool CD38 561 780/60-A Median,HSC pool CD19 488 530/30-A Median,HSC pool Live/Dead V405 450/50-A Median,HSC pool CD7/10 V405 525/50-A Median,HSC pool V405 780/60-A Median,HSC pool Time Median
A1,1,100,"84,826","90,865","17,644",70,8,"1,157",-47,324,72,-2,14,346,"1,502",832,1,100,"84,826","90,865","17,644",70,8,"1,157",-47,324,72,-2,14,346,"1,502",832,1,100,"84,826","90,865","17,644",70,8,"1,157",-47,324,72,-2,14,346,"1,502",832,1,100,"84,826","90,865","17,644",70,8,"1,157",-47,324,72,-2,14,346,"1,502",832,1,100,"84,826","90,865","17,644",70,8,"1,157",-47,324,72,-2,14,346,"1,502",832,1,100,"84,826","90,865","17,644",70,8,"1,157",-47,324,72,-2,14,346,"1,502",832,0,0,,,,,,,,,,,,,,,1,100,"84,826","90,865","17,644",70,8,"1,157",-47,324,72,-2,14,346,"1,502",832,1,100,"84,826","90,865","17,644",70,8,"1,157",-47,324,72,-2,14,346,"1,502",832
A2,1,100,"71,537","85,508","14,878",137,16,"1,879","1,122",976,25,32,-1,499,"1,978","1,099",1,100,"71,537","85,508","14,878",137,16,"1,879","1,122",976,25,32,-1,499,"1,978","1,099",1,100,"71,537","85,508","14,878",137,16,"1,879","1,122",976,25,32,-1,499,"1,978","1,099",1,100,"71,537","85,508","14,878",137,16,"1,879","1,122",976,25,32,-1,499,"1,978","1,099",1,100,"71,537","85,508","14,878",137,16,"1,879","1,122",976,25,32,-1,499,"1,978","1,099",1,100,"71,537","85,508","14,878",137,16,"1,879","1,122",976,25,32,-1,499,"1,978","1,099",0,0,,,,,,,,,,,,,,,1,100,"71,537","85,508","14,878",137,16,"1,879","1,122",976,25,32,-1,499,"1,978","1,099",1,100,"71,537","85,508","14,878",137,16,"1,879","1,122",976,25,32,-1,499,"1,978","1,099"
A3,1,100,"71,656","92,863","12,669",264,34,"1,983",338,770,-53,18,-58,386,"1,163","1,331",1,100,"71,656","92,863","12,669",264,34,"1,983",338,770,-53,18,-58,386,"1,163","1,331",1,100,"71,656","92,863","12,669",264,34,"1,983",338,770,-53,18,-58,386,"1,163","1,331",1,100,"71,656","92,863","12,669",264,34,"1,983",338,770,-53,18,-58,386,"1,163","1,331",1,100,"71,656","92,863","12,669",264,34,"1,983",338,770,-53,18,-58,386,"1,163","1,331",1,100,"71,656","92,863","12,669",264,34,"1,983",338,770,-53,18,-58,386,"1,163","1,331",0,0,,,,,,,,,,,,,,,1,100,"71,656","92,863","12,669",264,34,"1,983",338,770,-53,18,-58,386,"1,163","1,331",1,100,"71,656","92,863","12,669",264,34,"1,983",338,770,-53,18,-58,386,"1,163","1,331"
A4,1,100,"68,504","86,096","12,514",-14,-1,"1,420",-56,"1,999",-177,30,-51,353,"2,191","1,545",1,100,"68,504","86,096","12,514",-14,-1,"1,420",-56,"1,999",-177,30,-51,353,"2,191","1,545",1,100,"68,504","86,096","12,514",-14,-1,"1,420",-56,"1,999",-177,30,-51,353,"2,191","1,545",1,100,"68,504","86,096","12,514",-14,-1,"1,420",-56,"1,999",-177,30,-51,353,"2,191","1,545",1,100,"68,504","86,096","12,514",-14,-1,"1,420",-56,"1,999",-177,30,-51,353,"2,191","1,545",1,100,"68,504","86,096","12,514",-14,-1,"1,420",-56,"1,999",-177,30,-51,353,"2,191","1,545",0,0,,,,,,,,,,,,,,,1,100,"68,504","86,096","12,514",-14,-1,"1,420",-56,"1,999",-177,30,-51,353,"2,191","1,545",1,100,"68,504","86,096","12,514",-14,-1,"1,420",-56,"1,999",-177,30,-51,353,"2,191","1,545"
A5,1,100,"63,476","85,429","9,131",66,43,"1,755",356,655,-158,9,-79,427,"1,325","1,761",1,100,"63,476","85,429","9,131",66,43,"1,755",356,655,-158,9,-79,427,"1,325","1,761",1,100,"63,476","85,429","9,131",66,43,"1,755",356,655,-158,9,-79,427,"1,325","1,761",1,100,"63,476","85,429","9,131",66,43,"1,755",356,655,-158,9,-79,427,"1,325","1,761",1,100,"63,476","85,429","9,131",66,43,"1,755",356,655,-158,9,-79,427,"1,325","1,761",1,100,"63,476","85,429","9,131",66,43,"1,755",356,655,-158,9,-79,427,"1,325","1,761",0,0,,,,,,,,,,,,,,,1,100,"63,476","85,429","9,131",66,43,"1,755",356,655,-158,9,-79,427,"1,325","1,761",1,100,"63,476","85,429","9,131",66,43,"1,755",356,655,-158,9,-79,427,"1,325","1,761"
A6,1,100,"52,521","79,023","13,028",208,25,"1,146",-41,"1,796",-47,-2,-30,246,"1,224","1,958",1,100,"52,521","79,023","13,028",208,25,"1,146",-41,"1,796",-47,-2,-30,246,"1,224","1,958",1,100,"52,521","79,023","13,028",208,25,"1,146",-41,"1,796",-47,-2,-30,246,"1,224","1,958",1,100,"52,521","79,023","13,028",208,25,"1,146",-41,"1,796",-47,-2,-30,246,"1,224","1,958",1,100,"52,521","79,023","13,028",208,25,"1,146",-41,"1,796",-47,-2,-30,246,"1,224","1,958",1,100,"52,521","79,023","13,028",208,25,"1,146",-41,"1,796",-47,-2,-30,246,"1,224","1,958",0,0,,,,,,,,,,,,,,,1,100,"52,521","79,023","13,028",208,25,"1,146",-41,"1,796",-47,-2,-30,246,"1,224","1,958",1,100,"52,521","79,023","13,028",208,25,"1,146",-41,"1,796",-47,-2,-30,246,"1,224","1,958"
A7,1,100,"74,341","86,412","16,446",48,4,"1,684",952,"1,025",-79,56,-94,513,"1,938","2,192",1,100,"74,341","86,412","16,446",48,4,"1,684",952,"1,025",-79,56,-94,513,"1,938","2,192",1,100,"74,341","86,412","16,446",48,4,"1,684",952,"1,025",-79,56,-94,513,"1,938","2,192",1,100,"74,341","86,412","16,446",48,4,"1,684",952,"1,025",-79,56,-94,513,"1,938","2,192",1,100,"74,341","86,412","16,446",48,4,"1,684",952,"1,025",-79,56,-94,513,"1,938","2,192",1,100,"74,341","86,412","16,446",48,4,"1,684",952,"1,025",-79,56,-94,513,"1,938","2,192",0,0,,,,,,,,,,,,,,,1,100,"74,341","86,412","16,446",48,4,"1,684",952,"1,025",-79,56,-94,513,"1,938","2,192",1,100,"74,341","86,412","16,446",48,4,"1,684",952,"1,025",-79,56,-94,513,"1,938","2,192"
A8,1,100,"75,494","88,422","14,564",36,26,"1,471",1,"3,070",-33,27,-124,408,"2,332","2,433",1,100,"75,494","88,422","14,564",36,26,"1,471",1,"3,070",-33,27,-124,408,"2,332","2,433",1,100,"75,494","88,422","14,564",36,26,"1,471",1,"3,070",-33,27,-124,408,"2,332","2,433",1,100,"75,494","88,422","14,564",36,26,"1,471",1,"3,070",-33,27,-124,408,"2,332","2,433",1,100,"75,494","88,422","14,564",36,26,"1,471",1,"3,070",-33,27,-124,408,"2,332","2,433",1,100,"75,494","88,422","14,564",36,26,"1,471",1,"3,070",-33,27,-124,408,"2,332","2,433",0,0,,,,,,,,,,,,,,,1,100,"75,494","88,422","14,564",36,26,"1,471",1,"3,070",-33,27,-124,408,"2,332","2,433",1,100,"75,494","88,422","14,564",36,26,"1,471",1,"3,070",-33,27,-124,408,"2,332","2,433"
A9,1,100,"73,495","86,676","16,713",91,55,"1,196",-59,"1,096",-61,-1,19,271,"2,305","2,648",1,100,"73,495","86,676","16,713",91,55,"1,196",-59,"1,096",-61,-1,19,271,"2,305","2,648",1,100,"73,495","86,676","16,713",91,55,"1,196",-59,"1,096",-61,-1,19,271,"2,305","2,648",1,100,"73,495","86,676","16,713",91,55,"1,196",-59,"1,096",-61,-1,19,271,"2,305","2,648",1,100,"73,495","86,676","16,713",91,55,"1,196",-59,"1,096",-61,-1,19,271,"2,305","2,648",1,100,"73,495","86,676","16,713",91,55,"1,196",-59,"1,096",-61,-1,19,271,"2,305","2,648",0,0,,,,,,,,,,,,,,,1,100,"73,495","86,676","16,713",91,55,"1,196",-59,"1,096",-61,-1,19,271,"2,305","2,648",1,100,"73,495","86,676","16,713",91,55,"1,196",-59,"1,096",-61,-1,19,271,"2,305","2,648"
A10,1,100,"68,701","84,245","13,208",153,34,"1,139",58,463,49,40,3,322,"1,807","2,847",1,100,"68,701","84,245","13,208",153,34,"1,139",58,463,49,40,3,322,"1,807","2,847",1,100,"68,701","84,245","13,208",153,34,"1,139",58,463,49,40,3,322,"1,807","2,847",1,100,"68,701","84,245","13,208",153,34,"1,139",58,463,49,40,3,322,"1,807","2,847",1,100,"68,701","84,245","13,208",153,34,"1,139",58,463,49,40,3,322,"1,807","2,847",1,100,"68,701","84,245","13,208",153,34,"1,139",58,463,49,40,3,322,"1,807","2,847",0,0,,,,,,,,,,,,,,,1,100,"68,701","84,245","13,208",153,34,"1,139",58,463,49,40,3,322,"1,807","2,847",1,100,"68,701","84,245","13,208",153,34,"1,139",58,463,49,40,3,322,"1,807","2,847"
