Well,Cells #Events,Cells %Parent,Cells FSC-A Median,Cells FSC-W Median,Cells SSC-A Median,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Median,Cells CD19 488 530/30-A Median,Cells Live/Dead V405 450/50-A Median,Cells CD7/10 V405 525/50-A Median,Cells V405 780/60-A Median,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Median,Singlets FSC-W Median,Singlets SSC-A Median,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Median,Singlets CD19 488 530/30-A Median,Singlets Live/Dead V405 450/50-A Median,Singlets CD7/10 V405 525/50-A Median,Singlets V405 780/60-A Median,Singlets Time Median,Live cells #Events,Live cells %Parent,Live cells FSC-A Median,Live cells FSC-W Median,Live cells SSC-A Median,Live cells CD33 640 670/30-A Median,Live cells CD45RA 640 730/45-A Median,Live cells CD34 640 780/60-A Median,Live cells CD90 561 582/15-A Median,Live cells CD49f 561 670/14-A Median,Live cells CD38 561 780/60-A Median,Live cells CD19 488 530/30-A Median,Live cells Live/Dead V405 450/50-A Median,Live cells CD7/10 V405 525/50-A Median,Live cells V405 780/60-A Median,Live cells Time Median,CD19 neg #Events,CD19 neg %Parent,CD19 neg FSC-A Median,CD19 neg FSC-W Median,CD19 neg SSC-A Median,CD19 neg CD33 640 670/30-A Median,CD19 neg CD45RA 640 730/45-A Median,CD19 neg CD34 640 780/60-A Median,CD19 neg CD90 561 582/15-A Median,CD19 neg CD49f 561 670/14-A Median,CD19 neg CD38 561 780/60-A Median,CD19 neg CD19 488 530/30-A Median,CD19 neg Live/Dead V405 450/50-A Median,CD19 neg CD7/10 V405 525/50-A Median,CD19 neg V405 780/60-A Median,CD19 neg Time Median,34+/33- #Events,34+/33- %Parent,34+/33- FSC-A Median,34+/33- FSC-W Median,34+/33- SSC-A Median,34+/33- CD33 640 670/30-A Median,34+/33- CD45RA 640 730/45-A Median,34+/33- CD34 640 780/60-A Median,34+/33- CD90 561 582/15-A Median,34+/33- CD49f 561 670/14-A Median,34+/33- CD38 561 780/60-A Median,34+/33- CD19 488 530/30-A Median,34+/33- Live/Dead V405 450/50-A Median,34+/33- CD7/10 V405 525/50-A Median,34+/33- V405 780/60-A Median,34+/33- Time Median,34+/45dim #Events,34+/45dim %Parent,34+/45dim FSC-A Median,34+/45dim FSC-W Median,34+/45dim SSC-A Median,34+/45dim CD33 640 670/30-A Median,34+/45dim CD45RA 640 730/45-A Median,34+/45dim CD34 640 780/60-A Median,34+/45dim CD90 561 582/15-A Median,34+/45dim CD49f 561 670/14-A Median,34+/45dim CD38 561 780/60-A Median,34+/45dim CD19 488 530/30-A Median,34+/45dim Live/Dead V405 450/50-A Median,34+/45dim CD7/10 V405 525/50-A Median,34+/45dim V405 780/60-A Median,34+/45dim Time Median,CD38/CD34+ #Events,CD38/CD34+ %Parent,CD38/CD34+ FSC-A Median,CD38/CD34+ FSC-W Median,CD38/CD34+ SSC-A Median,CD38/CD34+ CD33 640 670/30-A Median,CD38/CD34+ CD45RA 640 730/45-A Median,CD38/CD34+ CD34 640 780/60-A Median,CD38/CD34+ CD90 561 582/15-A Median,CD38/CD34+ CD49f 561 670/14-A Median,CD38/CD34+ CD38 561 780/60-A Median,CD38/CD34+ CD19 488 530/30-A Median,CD38/CD34+ Live/Dead V405 450/50-A Median,CD38/CD34+ CD7/10 V405 525/50-A Median,CD38/CD34+ V405 780/60-A Median,CD38/CD34+ Time Median,CD38-/34+ #Events,CD38-/34+ %Parent,CD38-/34+ FSC-A Median,CD38-/34+ FSC-W Median,CD38-/34+ SSC-A Median,CD38-/34+ CD33 640 670/30-A Median,CD38-/34+ CD45RA 640 730/45-A Median,CD38-/34+ CD34 640 780/60-A Median,CD38-/34+ CD90 561 582/15-A Median,CD38-/34+ CD49f 561 670/14-A Median,CD38-/34+ CD38 561 780/60-A Median,CD38-/34+ CD19 488 530/30-A Median,CD38-/34+ Live/Dead V405 450/50-A Median,CD38-/34+ CD7/10 V405 525/50-A Median,CD38-/34+ V405 780/60-A Median,CD38-/34+ Time Median,HSC pool #Events,HSC pool %Parent,HSC pool FSC-A Median,HSC pool FSC-W Median,HSC pool SSC-A Median,HSC pool CD33 640 670/30-A Median,HSC pool CD45RA 640 730/45-A Median,HSC pool CD34 640 780/60-A Median,HSC pool CD90 561 582/15-A Median,HSC pool CD49f 561 670/14-A Median,HSC pool CD38 561 780/60-A Median,HSC pool CD19 488 530/30-A Median,HSC pool Live/Dead V405 450/50-A Median,HSC pool CD7/10 V405 525/50-A Median,HSC pool V405 780/60-A Median,HSC pool Time Median
A1,1,100,"77,578","91,194","15,391",167,61,"1,182",-16,742,-38,3,22,313,"1,124",550,1,100,"77,578","91,194","15,391",167,61,"1,182",-16,742,-38,3,22,313,"1,124",550,1,100,"77,578","91,194","15,391",167,61,"1,182",-16,742,-38,3,22,313,"1,124",550,1,100,"77,578","91,194","15,391",167,61,"1,182",-16,742,-38,3,22,313,"1,124",550,1,100,"77,578","91,194","15,391",167,61,"1,182",-16,742,-38,3,22,313,"1,124",550,1,100,"77,578","91,194","15,391",167,61,"1,182",-16,742,-38,3,22,313,"1,124",550,0,0,,,,,,,,,,,,,,,1,100,"77,578","91,194","15,391",167,61,"1,182",-16,742,-38,3,22,313,"1,124",550,1,100,"77,578","91,194","15,391",167,61,"1,182",-16,742,-38,3,22,313,"1,124",550
A2,1,100,"76,064","88,779","15,116",159,3,"1,214",-20,"1,795",-105,30,-8,404,"1,864",775,1,100,"76,064","88,779","15,116",159,3,"1,214",-20,"1,795",-105,30,-8,404,"1,864",775,1,100,"76,064","88,779","15,116",159,3,"1,214",-20,"1,795",-105,30,-8,404,"1,864",775,1,100,"76,064","88,779","15,116",159,3,"1,214",-20,"1,795",-105,30,-8,404,"1,864",775,1,100,"76,064","88,779","15,116",159,3,"1,214",-20,"1,795",-105,30,-8,404,"1,864",775,1,100,"76,064","88,779","15,116",159,3,"1,214",-20,"1,795",-105,30,-8,404,"1,864",775,0,0,,,,,,,,,,,,,,,1,100,"76,064","88,779","15,116",159,3,"1,214",-20,"1,795",-105,30,-8,404,"1,864",775,1,100,"76,064","88,779","15,116",159,3,"1,214",-20,"1,795",-105,30,-8,404,"1,864",775
A3,1,100,"67,193","84,417","13,842",187,33,"1,738",71,"1,946",-103,1,-14,424,"1,690","1,002",1,100,"67,193","84,417","13,842",187,33,"1,738",71,"1,946",-103,1,-14,424,"1,690","1,002",1,100,"67,193","84,417","13,842",187,33,"1,738",71,"1,946",-103,1,-14,424,"1,690","1,002",1,100,"67,193","84,417","13,842",187,33,"1,738",71,"1,946",-103,1,-14,424,"1,690","1,002",1,100,"67,193","84,417","13,842",187,33,"1,738",71,"1,946",-103,1,-14,424,"1,690","1,002",1,100,"67,193","84,417","13,842",187,33,"1,738",71,"1,946",-103,1,-14,424,"1,690","1,002",0,0,,,,,,,,,,,,,,,1,100,"67,193","84,417","13,842",187,33,"1,738",71,"1,946",-103,1,-14,424,"1,690","1,002",1,100,"67,193","84,417","13,842",187,33,"1,738",71,"1,946",-103,1,-14,424,"1,690","1,002"
A4,1,100,"57,526","83,339","16,460",200,32,"2,094",873,"1,425",-223,63,-155,466,"3,390","1,195",1,100,"57,526","83,339","16,460",200,32,"2,094",873,"1,425",-223,63,-155,466,"3,390","1,195",1,100,"57,526","83,339","16,460",200,32,"2,094",873,"1,425",-223,63,-155,466,"3,390","1,195",1,100,"57,526","83,339","16,460",200,32,"2,094",873,"1,425",-223,63,-155,466,"3,390","1,195",1,100,"57,526","83,339","16,460",200,32,"2,094",873,"1,425",-223,63,-155,466,"3,390","1,195",1,100,"57,526","83,339","16,460",200,32,"2,094",873,"1,425",-223,63,-155,466,"3,390","1,195",0,0,,,,,,,,,,,,,,,1,100,"57,526","83,339","16,460",200,32,"2,094",873,"1,425",-223,63,-155,466,"3,390","1,195",1,100,"57,526","83,339","16,460",200,32,"2,094",873,"1,425",-223,63,-155,466,"3,390","1,195"
A5,1,100,"73,203","87,006","12,141",43,24,973,-8,369,74,24,-11,350,"1,624","1,389",1,100,"73,203","87,006","12,141",43,24,973,-8,369,74,24,-11,350,"1,624","1,389",1,100,"73,203","87,006","12,141",43,24,973,-8,369,74,24,-11,350,"1,624","1,389",1,100,"73,203","87,006","12,141",43,24,973,-8,369,74,24,-11,350,"1,624","1,389",1,100,"73,203","87,006","12,141",43,24,973,-8,369,74,24,-11,350,"1,624","1,389",1,100,"73,203","87,006","12,141",43,24,973,-8,369,74,24,-11,350,"1,624","1,389",0,0,,,,,,,,,,,,,,,1,100,"73,203","87,006","12,141",43,24,973,-8,369,74,24,-11,350,"1,624","1,389",1,100,"73,203","87,006","12,141",43,24,973,-8,369,74,24,-11,350,"1,624","1,389"
A6,1,100,"66,987","85,236","17,565",132,13,"1,305",48,749,-103,17,8,400,"1,356","1,585",1,100,"66,987","85,236","17,565",132,13,"1,305",48,749,-103,17,8,400,"1,356","1,585",1,100,"66,987","85,236","17,565",132,13,"1,305",48,749,-103,17,8,400,"1,356","1,585",1,100,"66,987","85,236","17,565",132,13,"1,305",48,749,-103,17,8,400,"1,356","1,585",1,100,"66,987","85,236","17,565",132,13,"1,305",48,749,-103,17,8,400,"1,356","1,585",1,100,"66,987","85,236","17,565",132,13,"1,305",48,749,-103,17,8,400,"1,356","1,585",0,0,,,,,,,,,,,,,,,1,100,"66,987","85,236","17,565",132,13,"1,305",48,749,-103,17,8,400,"1,356","1,585",1,100,"66,987","85,236","17,565",132,13,"1,305",48,749,-103,17,8,400,"1,356","1,585"
A7,1,100,"71,696","87,024","16,067",77,11,"1,496",59,"1,339",-80,17,-65,381,"2,241","1,803",1,100,"71,696","87,024","16,067",77,11,"1,496",59,"1,339",-80,17,-65,381,"2,241","1,803",1,100,"71,696","87,024","16,067",77,11,"1,496",59,"1,339",-80,17,-65,381,"2,241","1,803",1,100,"71,696","87,024","16,067",77,11,"1,496",59,"1,339",-80,17,-65,381,"2,241","1,803",1,100,"71,696","87,024","16,067",77,11,"1,496",59,"1,339",-80,17,-65,381,"2,241","1,803",1,100,"71,696","87,024","16,067",77,11,"1,496",59,"1,339",-80,17,-65,381,"2,241","1,803",0,0,,,,,,,,,,,,,,,1,100,"71,696","87,024","16,067",77,11,"1,496",59,"1,339",-80,17,-65,381,"2,241","1,803",1,100,"71,696","87,024","16,067",77,11,"1,496",59,"1,339",-80,17,-65,381,"2,241","1,803"
A8,1,100,"102,588","103,145","31,706",302,7,"2,051",591,"1,963",102,17,-49,451,"2,910","2,032",1,100,"102,588","103,145","31,706",302,7,"2,051",591,"1,963",102,17,-49,451,"2,910","2,032",1,100,"102,588","103,145","31,706",302,7,"2,051",591,"1,963",102,17,-49,451,"2,910","2,032",1,100,"102,588","103,145","31,706",302,7,"2,051",591,"1,963",102,17,-49,451,"2,910","2,032",1,100,"102,588","103,145","31,706",302,7,"2,051",591,"1,963",102,17,-49,451,"2,910","2,032",1,100,"102,588","103,145","31,706",302,7,"2,051",591,"1,963",102,17,-49,451,"2,910","2,032",0,0,,,,,,,,,,,,,,,1,100,"102,588","103,145","31,706",302,7,"2,051",591,"1,963",102,17,-49,451,"2,910","2,032",1,100,"102,588","103,145","31,706",302,7,"2,051",591,"1,963",102,17,-49,451,"2,910","2,032"
A9,1,100,"78,141","88,148","13,301",-37,12,"1,001",380,527,-17,28,50,225,"1,507","2,246",1,100,"78,141","88,148","13,301",-37,12,"1,001",380,527,-17,28,50,225,"1,507","2,246",1,100,"78,141","88,148","13,301",-37,12,"1,001",380,527,-17,28,50,225,"1,507","2,246",1,100,"78,141","88,148","13,301",-37,12,"1,001",380,527,-17,28,50,225,"1,507","2,246",1,100,"78,141","88,148","13,301",-37,12,"1,001",380,527,-17,28,50,225,"1,507","2,246",1,100,"78,141","88,148","13,301",-37,12,"1,001",380,527,-17,28,50,225,"1,507","2,246",0,0,,,,,,,,,,,,,,,1,100,"78,141","88,148","13,301",-37,12,"1,001",380,527,-17,28,50,225,"1,507","2,246",1,100,"78,141","88,148","13,301",-37,12,"1,001",380,527,-17,28,50,225,"1,507","2,246"
A10,1,100,"60,640","81,049","11,244",159,28,845,10,714,-20,46,-83,210,"1,766","2,492",1,100,"60,640","81,049","11,244",159,28,845,10,714,-20,46,-83,210,"1,766","2,492",1,100,"60,640","81,049","11,244",159,28,845,10,714,-20,46,-83,210,"1,766","2,492",1,100,"60,640","81,049","11,244",159,28,845,10,714,-20,46,-83,210,"1,766","2,492",1,100,"60,640","81,049","11,244",159,28,845,10,714,-20,46,-83,210,"1,766","2,492",1,100,"60,640","81,049","11,244",159,28,845,10,714,-20,46,-83,210,"1,766","2,492",0,0,,,,,,,,,,,,,,,1,100,"60,640","81,049","11,244",159,28,845,10,714,-20,46,-83,210,"1,766","2,492",1,100,"60,640","81,049","11,244",159,28,845,10,714,-20,46,-83,210,"1,766","2,492"
