Well,Cells #Events,Cells %Parent,Cells FSC-A Median,Cells FSC-W Median,Cells SSC-A Median,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Median,Cells CD19 488 530/30-A Median,Cells Live/Dead V405 450/50-A Median,Cells CD7/10 V405 525/50-A Median,Cells V405 780/60-A Median,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Median,Singlets FSC-W Median,Singlets SSC-A Median,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Median,Singlets CD19 488 530/30-A Median,Singlets Live/Dead V405 450/50-A Median,Singlets CD7/10 V405 525/50-A Median,Singlets V405 780/60-A Median,Singlets Time Median,Live cells #Events,Live cells %Parent,Live cells FSC-A Median,Live cells FSC-W Median,Live cells SSC-A Median,Live cells CD33 640 670/30-A Median,Live cells CD45RA 640 730/45-A Median,Live cells CD34 640 780/60-A Median,Live cells CD90 561 582/15-A Median,Live cells CD49f 561 670/14-A Median,Live cells CD38 561 780/60-A Median,Live cells CD19 488 530/30-A Median,Live cells Live/Dead V405 450/50-A Median,Live cells CD7/10 V405 525/50-A Median,Live cells V405 780/60-A Median,Live cells Time Median,CD19 neg #Events,CD19 neg %Parent,CD19 neg FSC-A Median,CD19 neg FSC-W Median,CD19 neg SSC-A Median,CD19 neg CD33 640 670/30-A Median,CD19 neg CD45RA 640 730/45-A Median,CD19 neg CD34 640 780/60-A Median,CD19 neg CD90 561 582/15-A Median,CD19 neg CD49f 561 670/14-A Median,CD19 neg CD38 561 780/60-A Median,CD19 neg CD19 488 530/30-A Median,CD19 neg Live/Dead V405 450/50-A Median,CD19 neg CD7/10 V405 525/50-A Median,CD19 neg V405 780/60-A Median,CD19 neg Time Median,34+/33- #Events,34+/33- %Parent,34+/33- FSC-A Median,34+/33- FSC-W Median,34+/33- SSC-A Median,34+/33- CD33 640 670/30-A Median,34+/33- CD45RA 640 730/45-A Median,34+/33- CD34 640 780/60-A Median,34+/33- CD90 561 582/15-A Median,34+/33- CD49f 561 670/14-A Median,34+/33- CD38 561 780/60-A Median,34+/33- CD19 488 530/30-A Median,34+/33- Live/Dead V405 450/50-A Median,34+/33- CD7/10 V405 525/50-A Median,34+/33- V405 780/60-A Median,34+/33- Time Median,34+/45dim #Events,34+/45dim %Parent,34+/45dim FSC-A Median,34+/45dim FSC-W Median,34+/45dim SSC-A Median,34+/45dim CD33 640 670/30-A Median,34+/45dim CD45RA 640 730/45-A Median,34+/45dim CD34 640 780/60-A Median,34+/45dim CD90 561 582/15-A Median,34+/45dim CD49f 561 670/14-A Median,34+/45dim CD38 561 780/60-A Median,34+/45dim CD19 488 530/30-A Median,34+/45dim Live/Dead V405 450/50-A Median,34+/45dim CD7/10 V405 525/50-A Median,34+/45dim V405 780/60-A Median,34+/45dim Time Median,CD38/CD34+ #Events,CD38/CD34+ %Parent,CD38/CD34+ FSC-A Median,CD38/CD34+ FSC-W Median,CD38/CD34+ SSC-A Median,CD38/CD34+ CD33 640 670/30-A Median,CD38/CD34+ CD45RA 640 730/45-A Median,CD38/CD34+ CD34 640 780/60-A Median,CD38/CD34+ CD90 561 582/15-A Median,CD38/CD34+ CD49f 561 670/14-A Median,CD38/CD34+ CD38 561 780/60-A Median,CD38/CD34+ CD19 488 530/30-A Median,CD38/CD34+ Live/Dead V405 450/50-A Median,CD38/CD34+ CD7/10 V405 525/50-A Median,CD38/CD34+ V405 780/60-A Median,CD38/CD34+ Time Median,CD38-/34+ #Events,CD38-/34+ %Parent,CD38-/34+ FSC-A Median,CD38-/34+ FSC-W Median,CD38-/34+ SSC-A Median,CD38-/34+ CD33 640 670/30-A Median,CD38-/34+ CD45RA 640 730/45-A Median,CD38-/34+ CD34 640 780/60-A Median,CD38-/34+ CD90 561 582/15-A Median,CD38-/34+ CD49f 561 670/14-A Median,CD38-/34+ CD38 561 780/60-A Median,CD38-/34+ CD19 488 530/30-A Median,CD38-/34+ Live/Dead V405 450/50-A Median,CD38-/34+ CD7/10 V405 525/50-A Median,CD38-/34+ V405 780/60-A Median,CD38-/34+ Time Median,HSC pool #Events,HSC pool %Parent,HSC pool FSC-A Median,HSC pool FSC-W Median,HSC pool SSC-A Median,HSC pool CD33 640 670/30-A Median,HSC pool CD45RA 640 730/45-A Median,HSC pool CD34 640 780/60-A Median,HSC pool CD90 561 582/15-A Median,HSC pool CD49f 561 670/14-A Median,HSC pool CD38 561 780/60-A Median,HSC pool CD19 488 530/30-A Median,HSC pool Live/Dead V405 450/50-A Median,HSC pool CD7/10 V405 525/50-A Median,HSC pool V405 780/60-A Median,HSC pool Time Median
A1,1,100,"97,078","94,723","26,755",105,57,"1,779",478,994,36,45,-47,445,873,519,1,100,"97,078","94,723","26,755",105,57,"1,779",478,994,36,45,-47,445,873,519,1,100,"97,078","94,723","26,755",105,57,"1,779",478,994,36,45,-47,445,873,519,1,100,"97,078","94,723","26,755",105,57,"1,779",478,994,36,45,-47,445,873,519,1,100,"97,078","94,723","26,755",105,57,"1,779",478,994,36,45,-47,445,873,519,1,100,"97,078","94,723","26,755",105,57,"1,779",478,994,36,45,-47,445,873,519,0,0,,,,,,,,,,,,,,,1,100,"97,078","94,723","26,755",105,57,"1,779",478,994,36,45,-47,445,873,519,1,100,"97,078","94,723","26,755",105,57,"1,779",478,994,36,45,-47,445,873,519
A2,1,100,"59,155","82,533","13,370",-30,3,"1,536",-16,285,-15,11,-4,297,"2,039",720,1,100,"59,155","82,533","13,370",-30,3,"1,536",-16,285,-15,11,-4,297,"2,039",720,1,100,"59,155","82,533","13,370",-30,3,"1,536",-16,285,-15,11,-4,297,"2,039",720,1,100,"59,155","82,533","13,370",-30,3,"1,536",-16,285,-15,11,-4,297,"2,039",720,1,100,"59,155","82,533","13,370",-30,3,"1,536",-16,285,-15,11,-4,297,"2,039",720,1,100,"59,155","82,533","13,370",-30,3,"1,536",-16,285,-15,11,-4,297,"2,039",720,0,0,,,,,,,,,,,,,,,1,100,"59,155","82,533","13,370",-30,3,"1,536",-16,285,-15,11,-4,297,"2,039",720,1,100,"59,155","82,533","13,370",-30,3,"1,536",-16,285,-15,11,-4,297,"2,039",720
A3,1,100,"74,504","88,312","13,816",84,15,"1,302",-9,745,-82,35,-71,386,"2,363",919,1,100,"74,504","88,312","13,816",84,15,"1,302",-9,745,-82,35,-71,386,"2,363",919,1,100,"74,504","88,312","13,816",84,15,"1,302",-9,745,-82,35,-71,386,"2,363",919,1,100,"74,504","88,312","13,816",84,15,"1,302",-9,745,-82,35,-71,386,"2,363",919,1,100,"74,504","88,312","13,816",84,15,"1,302",-9,745,-82,35,-71,386,"2,363",919,1,100,"74,504","88,312","13,816",84,15,"1,302",-9,745,-82,35,-71,386,"2,363",919,0,0,,,,,,,,,,,,,,,1,100,"74,504","88,312","13,816",84,15,"1,302",-9,745,-82,35,-71,386,"2,363",919,1,100,"74,504","88,312","13,816",84,15,"1,302",-9,745,-82,35,-71,386,"2,363",919
A4,1,100,"70,346","83,918","17,184",-10,24,"1,154",238,763,-10,10,12,339,"1,477","1,172",1,100,"70,346","83,918","17,184",-10,24,"1,154",238,763,-10,10,12,339,"1,477","1,172",1,100,"70,346","83,918","17,184",-10,24,"1,154",238,763,-10,10,12,339,"1,477","1,172",1,100,"70,346","83,918","17,184",-10,24,"1,154",238,763,-10,10,12,339,"1,477","1,172",1,100,"70,346","83,918","17,184",-10,24,"1,154",238,763,-10,10,12,339,"1,477","1,172",1,100,"70,346","83,918","17,184",-10,24,"1,154",238,763,-10,10,12,339,"1,477","1,172",0,0,,,,,,,,,,,,,,,1,100,"70,346","83,918","17,184",-10,24,"1,154",238,763,-10,10,12,339,"1,477","1,172",1,100,"70,346","83,918","17,184",-10,24,"1,154",238,763,-10,10,12,339,"1,477","1,172"
A5,1,100,"55,264","81,875","12,605",50,36,"1,613",-8,"1,630",11,15,-36,309,"1,681","1,381",1,100,"55,264","81,875","12,605",50,36,"1,613",-8,"1,630",11,15,-36,309,"1,681","1,381",1,100,"55,264","81,875","12,605",50,36,"1,613",-8,"1,630",11,15,-36,309,"1,681","1,381",1,100,"55,264","81,875","12,605",50,36,"1,613",-8,"1,630",11,15,-36,309,"1,681","1,381",1,100,"55,264","81,875","12,605",50,36,"1,613",-8,"1,630",11,15,-36,309,"1,681","1,381",1,100,"55,264","81,875","12,605",50,36,"1,613",-8,"1,630",11,15,-36,309,"1,681","1,381",0,0,,,,,,,,,,,,,,,1,100,"55,264","81,875","12,605",50,36,"1,613",-8,"1,630",11,15,-36,309,"1,681","1,381",1,100,"55,264","81,875","12,605",50,36,"1,613",-8,"1,630",11,15,-36,309,"1,681","1,381"
A6,1,100,"55,590","83,564","12,892",197,22,823,4,"1,890",-19,4,-19,280,"1,490","1,636",1,100,"55,590","83,564","12,892",197,22,823,4,"1,890",-19,4,-19,280,"1,490","1,636",1,100,"55,590","83,564","12,892",197,22,823,4,"1,890",-19,4,-19,280,"1,490","1,636",1,100,"55,590","83,564","12,892",197,22,823,4,"1,890",-19,4,-19,280,"1,490","1,636",1,100,"55,590","83,564","12,892",197,22,823,4,"1,890",-19,4,-19,280,"1,490","1,636",1,100,"55,590","83,564","12,892",197,22,823,4,"1,890",-19,4,-19,280,"1,490","1,636",0,0,,,,,,,,,,,,,,,1,100,"55,590","83,564","12,892",197,22,823,4,"1,890",-19,4,-19,280,"1,490","1,636",1,100,"55,590","83,564","12,892",197,22,823,4,"1,890",-19,4,-19,280,"1,490","1,636"
A7,1,100,"69,647","85,530","13,025",143,4,981,-53,654,17,36,18,254,"1,906","1,826",1,100,"69,647","85,530","13,025",143,4,981,-53,654,17,36,18,254,"1,906","1,826",1,100,"69,647","85,530","13,025",143,4,981,-53,654,17,36,18,254,"1,906","1,826",1,100,"69,647","85,530","13,025",143,4,981,-53,654,17,36,18,254,"1,906","1,826",1,100,"69,647","85,530","13,025",143,4,981,-53,654,17,36,18,254,"1,906","1,826",1,100,"69,647","85,530","13,025",143,4,981,-53,654,17,36,18,254,"1,906","1,826",0,0,,,,,,,,,,,,,,,1,100,"69,647","85,530","13,025",143,4,981,-53,654,17,36,18,254,"1,906","1,826",1,100,"69,647","85,530","13,025",143,4,981,-53,654,17,36,18,254,"1,906","1,826"
A8,1,100,"74,453","86,448","14,516",150,13,"1,352",93,"1,306",-83,2,-80,343,"2,339","2,082",1,100,"74,453","86,448","14,516",150,13,"1,352",93,"1,306",-83,2,-80,343,"2,339","2,082",1,100,"74,453","86,448","14,516",150,13,"1,352",93,"1,306",-83,2,-80,343,"2,339","2,082",1,100,"74,453","86,448","14,516",150,13,"1,352",93,"1,306",-83,2,-80,343,"2,339","2,082",1,100,"74,453","86,448","14,516",150,13,"1,352",93,"1,306",-83,2,-80,343,"2,339","2,082",1,100,"74,453","86,448","14,516",150,13,"1,352",93,"1,306",-83,2,-80,343,"2,339","2,082",0,0,,,,,,,,,,,,,,,1,100,"74,453","86,448","14,516",150,13,"1,352",93,"1,306",-83,2,-80,343,"2,339","2,082",1,100,"74,453","86,448","14,516",150,13,"1,352",93,"1,306",-83,2,-80,343,"2,339","2,082"
A9,1,100,"70,875","83,684","13,691",164,38,"1,362",134,518,-129,28,-44,410,"2,235","2,278",1,100,"70,875","83,684","13,691",164,38,"1,362",134,518,-129,28,-44,410,"2,235","2,278",1,100,"70,875","83,684","13,691",164,38,"1,362",134,518,-129,28,-44,410,"2,235","2,278",1,100,"70,875","83,684","13,691",164,38,"1,362",134,518,-129,28,-44,410,"2,235","2,278",1,100,"70,875","83,684","13,691",164,38,"1,362",134,518,-129,28,-44,410,"2,235","2,278",1,100,"70,875","83,684","13,691",164,38,"1,362",134,518,-129,28,-44,410,"2,235","2,278",0,0,,,,,,,,,,,,,,,1,100,"70,875","83,684","13,691",164,38,"1,362",134,518,-129,28,-44,410,"2,235","2,278",1,100,"70,875","83,684","13,691",164,38,"1,362",134,518,-129,28,-44,410,"2,235","2,278"
A10,1,100,"75,601","86,775","14,267",96,41,"1,117",105,"1,682",105,46,-52,308,"2,284","2,531",1,100,"75,601","86,775","14,267",96,41,"1,117",105,"1,682",105,46,-52,308,"2,284","2,531",1,100,"75,601","86,775","14,267",96,41,"1,117",105,"1,682",105,46,-52,308,"2,284","2,531",1,100,"75,601","86,775","14,267",96,41,"1,117",105,"1,682",105,46,-52,308,"2,284","2,531",1,100,"75,601","86,775","14,267",96,41,"1,117",105,"1,682",105,46,-52,308,"2,284","2,531",1,100,"75,601","86,775","14,267",96,41,"1,117",105,"1,682",105,46,-52,308,"2,284","2,531",0,0,,,,,,,,,,,,,,,1,100,"75,601","86,775","14,267",96,41,"1,117",105,"1,682",105,46,-52,308,"2,284","2,531",1,100,"75,601","86,775","14,267",96,41,"1,117",105,"1,682",105,46,-52,308,"2,284","2,531"
