Well,Cells #Events,Cells %Parent,Cells FSC-A Median,Cells FSC-W Median,Cells SSC-A Median,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Median,Cells CD19 488 530/30-A Median,Cells Live/Dead V405 450/50-A Median,Cells CD7/10 V405 525/50-A Median,Cells V405 780/60-A Median,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Median,Singlets FSC-W Median,Singlets SSC-A Median,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Median,Singlets CD19 488 530/30-A Median,Singlets Live/Dead V405 450/50-A Median,Singlets CD7/10 V405 525/50-A Median,Singlets V405 780/60-A Median,Singlets Time Median,Live cells #Events,Live cells %Parent,Live cells FSC-A Median,Live cells FSC-W Median,Live cells SSC-A Median,Live cells CD33 640 670/30-A Median,Live cells CD45RA 640 730/45-A Median,Live cells CD34 640 780/60-A Median,Live cells CD90 561 582/15-A Median,Live cells CD49f 561 670/14-A Median,Live cells CD38 561 780/60-A Median,Live cells CD19 488 530/30-A Median,Live cells Live/Dead V405 450/50-A Median,Live cells CD7/10 V405 525/50-A Median,Live cells V405 780/60-A Median,Live cells Time Median,CD19 neg #Events,CD19 neg %Parent,CD19 neg FSC-A Median,CD19 neg FSC-W Median,CD19 neg SSC-A Median,CD19 neg CD33 640 670/30-A Median,CD19 neg CD45RA 640 730/45-A Median,CD19 neg CD34 640 780/60-A Median,CD19 neg CD90 561 582/15-A Median,CD19 neg CD49f 561 670/14-A Median,CD19 neg CD38 561 780/60-A Median,CD19 neg CD19 488 530/30-A Median,CD19 neg Live/Dead V405 450/50-A Median,CD19 neg CD7/10 V405 525/50-A Median,CD19 neg V405 780/60-A Median,CD19 neg Time Median,34+/33- #Events,34+/33- %Parent,34+/33- FSC-A Median,34+/33- FSC-W Median,34+/33- SSC-A Median,34+/33- CD33 640 670/30-A Median,34+/33- CD45RA 640 730/45-A Median,34+/33- CD34 640 780/60-A Median,34+/33- CD90 561 582/15-A Median,34+/33- CD49f 561 670/14-A Median,34+/33- CD38 561 780/60-A Median,34+/33- CD19 488 530/30-A Median,34+/33- Live/Dead V405 450/50-A Median,34+/33- CD7/10 V405 525/50-A Median,34+/33- V405 780/60-A Median,34+/33- Time Median,34+/45dim #Events,34+/45dim %Parent,34+/45dim FSC-A Median,34+/45dim FSC-W Median,34+/45dim SSC-A Median,34+/45dim CD33 640 670/30-A Median,34+/45dim CD45RA 640 730/45-A Median,34+/45dim CD34 640 780/60-A Median,34+/45dim CD90 561 582/15-A Median,34+/45dim CD49f 561 670/14-A Median,34+/45dim CD38 561 780/60-A Median,34+/45dim CD19 488 530/30-A Median,34+/45dim Live/Dead V405 450/50-A Median,34+/45dim CD7/10 V405 525/50-A Median,34+/45dim V405 780/60-A Median,34+/45dim Time Median,CD38/CD34+ #Events,CD38/CD34+ %Parent,CD38/CD34+ FSC-A Median,CD38/CD34+ FSC-W Median,CD38/CD34+ SSC-A Median,CD38/CD34+ CD33 640 670/30-A Median,CD38/CD34+ CD45RA 640 730/45-A Median,CD38/CD34+ CD34 640 780/60-A Median,CD38/CD34+ CD90 561 582/15-A Median,CD38/CD34+ CD49f 561 670/14-A Median,CD38/CD34+ CD38 561 780/60-A Median,CD38/CD34+ CD19 488 530/30-A Median,CD38/CD34+ Live/Dead V405 450/50-A Median,CD38/CD34+ CD7/10 V405 525/50-A Median,CD38/CD34+ V405 780/60-A Median,CD38/CD34+ Time Median,CD38-/34+ #Events,CD38-/34+ %Parent,CD38-/34+ FSC-A Median,CD38-/34+ FSC-W Median,CD38-/34+ SSC-A Median,CD38-/34+ CD33 640 670/30-A Median,CD38-/34+ CD45RA 640 730/45-A Median,CD38-/34+ CD34 640 780/60-A Median,CD38-/34+ CD90 561 582/15-A Median,CD38-/34+ CD49f 561 670/14-A Median,CD38-/34+ CD38 561 780/60-A Median,CD38-/34+ CD19 488 530/30-A Median,CD38-/34+ Live/Dead V405 450/50-A Median,CD38-/34+ CD7/10 V405 525/50-A Median,CD38-/34+ V405 780/60-A Median,CD38-/34+ Time Median,HSC pool #Events,HSC pool %Parent,HSC pool FSC-A Median,HSC pool FSC-W Median,HSC pool SSC-A Median,HSC pool CD33 640 670/30-A Median,HSC pool CD45RA 640 730/45-A Median,HSC pool CD34 640 780/60-A Median,HSC pool CD90 561 582/15-A Median,HSC pool CD49f 561 670/14-A Median,HSC pool CD38 561 780/60-A Median,HSC pool CD19 488 530/30-A Median,HSC pool Live/Dead V405 450/50-A Median,HSC pool CD7/10 V405 525/50-A Median,HSC pool V405 780/60-A Median,HSC pool Time Median
A1,1,100,"46,722","80,498","17,231",-15,19,"2,113",343,"1,930",-144,33,-44,373,"2,663","1,307",1,100,"46,722","80,498","17,231",-15,19,"2,113",343,"1,930",-144,33,-44,373,"2,663","1,307",1,100,"46,722","80,498","17,231",-15,19,"2,113",343,"1,930",-144,33,-44,373,"2,663","1,307",1,100,"46,722","80,498","17,231",-15,19,"2,113",343,"1,930",-144,33,-44,373,"2,663","1,307",1,100,"46,722","80,498","17,231",-15,19,"2,113",343,"1,930",-144,33,-44,373,"2,663","1,307",1,100,"46,722","80,498","17,231",-15,19,"2,113",343,"1,930",-144,33,-44,373,"2,663","1,307",0,0,,,,,,,,,,,,,,,1,100,"46,722","80,498","17,231",-15,19,"2,113",343,"1,930",-144,33,-44,373,"2,663","1,307",1,100,"46,722","80,498","17,231",-15,19,"2,113",343,"1,930",-144,33,-44,373,"2,663","1,307"
A2,1,100,"71,996","85,963","14,282",30,18,825,131,518,-16,35,48,248,"1,251","1,545",1,100,"71,996","85,963","14,282",30,18,825,131,518,-16,35,48,248,"1,251","1,545",1,100,"71,996","85,963","14,282",30,18,825,131,518,-16,35,48,248,"1,251","1,545",1,100,"71,996","85,963","14,282",30,18,825,131,518,-16,35,48,248,"1,251","1,545",1,100,"71,996","85,963","14,282",30,18,825,131,518,-16,35,48,248,"1,251","1,545",1,100,"71,996","85,963","14,282",30,18,825,131,518,-16,35,48,248,"1,251","1,545",0,0,,,,,,,,,,,,,,,1,100,"71,996","85,963","14,282",30,18,825,131,518,-16,35,48,248,"1,251","1,545",1,100,"71,996","85,963","14,282",30,18,825,131,518,-16,35,48,248,"1,251","1,545"
A3,1,100,"92,656","101,803","15,945",88,26,"1,262",99,407,-116,20,-1,453,"1,875","1,756",1,100,"92,656","101,803","15,945",88,26,"1,262",99,407,-116,20,-1,453,"1,875","1,756",1,100,"92,656","101,803","15,945",88,26,"1,262",99,407,-116,20,-1,453,"1,875","1,756",1,100,"92,656","101,803","15,945",88,26,"1,262",99,407,-116,20,-1,453,"1,875","1,756",1,100,"92,656","101,803","15,945",88,26,"1,262",99,407,-116,20,-1,453,"1,875","1,756",1,100,"92,656","101,803","15,945",88,26,"1,262",99,407,-116,20,-1,453,"1,875","1,756",0,0,,,,,,,,,,,,,,,1,100,"92,656","101,803","15,945",88,26,"1,262",99,407,-116,20,-1,453,"1,875","1,756",1,100,"92,656","101,803","15,945",88,26,"1,262",99,407,-116,20,-1,453,"1,875","1,756"
A4,1,100,"69,693","85,600","14,936",317,19,"1,201",-67,"1,661",10,-6,-55,413,"2,406","1,995",1,100,"69,693","85,600","14,936",317,19,"1,201",-67,"1,661",10,-6,-55,413,"2,406","1,995",1,100,"69,693","85,600","14,936",317,19,"1,201",-67,"1,661",10,-6,-55,413,"2,406","1,995",1,100,"69,693","85,600","14,936",317,19,"1,201",-67,"1,661",10,-6,-55,413,"2,406","1,995",1,100,"69,693","85,600","14,936",317,19,"1,201",-67,"1,661",10,-6,-55,413,"2,406","1,995",1,100,"69,693","85,600","14,936",317,19,"1,201",-67,"1,661",10,-6,-55,413,"2,406","1,995",0,0,,,,,,,,,,,,,,,1,100,"69,693","85,600","14,936",317,19,"1,201",-67,"1,661",10,-6,-55,413,"2,406","1,995",1,100,"69,693","85,600","14,936",317,19,"1,201",-67,"1,661",10,-6,-55,413,"2,406","1,995"
A5,1,100,"70,543","85,782","12,779",-2,27,"1,395",15,911,16,7,-65,517,"2,001","2,192",1,100,"70,543","85,782","12,779",-2,27,"1,395",15,911,16,7,-65,517,"2,001","2,192",1,100,"70,543","85,782","12,779",-2,27,"1,395",15,911,16,7,-65,517,"2,001","2,192",1,100,"70,543","85,782","12,779",-2,27,"1,395",15,911,16,7,-65,517,"2,001","2,192",1,100,"70,543","85,782","12,779",-2,27,"1,395",15,911,16,7,-65,517,"2,001","2,192",1,100,"70,543","85,782","12,779",-2,27,"1,395",15,911,16,7,-65,517,"2,001","2,192",0,0,,,,,,,,,,,,,,,1,100,"70,543","85,782","12,779",-2,27,"1,395",15,911,16,7,-65,517,"2,001","2,192",1,100,"70,543","85,782","12,779",-2,27,"1,395",15,911,16,7,-65,517,"2,001","2,192"
A6,1,100,"74,646","87,551","15,545",173,6,"1,112",318,"1,130",-26,20,-29,463,"1,647","2,379",1,100,"74,646","87,551","15,545",173,6,"1,112",318,"1,130",-26,20,-29,463,"1,647","2,379",1,100,"74,646","87,551","15,545",173,6,"1,112",318,"1,130",-26,20,-29,463,"1,647","2,379",1,100,"74,646","87,551","15,545",173,6,"1,112",318,"1,130",-26,20,-29,463,"1,647","2,379",1,100,"74,646","87,551","15,545",173,6,"1,112",318,"1,130",-26,20,-29,463,"1,647","2,379",1,100,"74,646","87,551","15,545",173,6,"1,112",318,"1,130",-26,20,-29,463,"1,647","2,379",0,0,,,,,,,,,,,,,,,1,100,"74,646","87,551","15,545",173,6,"1,112",318,"1,130",-26,20,-29,463,"1,647","2,379",1,100,"74,646","87,551","15,545",173,6,"1,112",318,"1,130",-26,20,-29,463,"1,647","2,379"
A7,1,100,"58,686","82,230","13,024",128,28,"1,389",258,957,-52,22,-29,338,"2,027","2,578",1,100,"58,686","82,230","13,024",128,28,"1,389",258,957,-52,22,-29,338,"2,027","2,578",1,100,"58,686","82,230","13,024",128,28,"1,389",258,957,-52,22,-29,338,"2,027","2,578",1,100,"58,686","82,230","13,024",128,28,"1,389",258,957,-52,22,-29,338,"2,027","2,578",1,100,"58,686","82,230","13,024",128,28,"1,389",258,957,-52,22,-29,338,"2,027","2,578",1,100,"58,686","82,230","13,024",128,28,"1,389",258,957,-52,22,-29,338,"2,027","2,578",0,0,,,,,,,,,,,,,,,1,100,"58,686","82,230","13,024",128,28,"1,389",258,957,-52,22,-29,338,"2,027","2,578",1,100,"58,686","82,230","13,024",128,28,"1,389",258,957,-52,22,-29,338,"2,027","2,578"
A8,1,100,"64,242","84,719","13,882",150,-12,"1,157",-3,"1,886",-73,40,-54,360,"2,218","2,793",1,100,"64,242","84,719","13,882",150,-12,"1,157",-3,"1,886",-73,40,-54,360,"2,218","2,793",1,100,"64,242","84,719","13,882",150,-12,"1,157",-3,"1,886",-73,40,-54,360,"2,218","2,793",1,100,"64,242","84,719","13,882",150,-12,"1,157",-3,"1,886",-73,40,-54,360,"2,218","2,793",1,100,"64,242","84,719","13,882",150,-12,"1,157",-3,"1,886",-73,40,-54,360,"2,218","2,793",1,100,"64,242","84,719","13,882",150,-12,"1,157",-3,"1,886",-73,40,-54,360,"2,218","2,793",0,0,,,,,,,,,,,,,,,1,100,"64,242","84,719","13,882",150,-12,"1,157",-3,"1,886",-73,40,-54,360,"2,218","2,793",1,100,"64,242","84,719","13,882",150,-12,"1,157",-3,"1,886",-73,40,-54,360,"2,218","2,793"
A9,1,100,"82,666","95,811","17,491",47,22,"1,440",32,"1,278",19,10,77,318,"1,184","3,008",1,100,"82,666","95,811","17,491",47,22,"1,440",32,"1,278",19,10,77,318,"1,184","3,008",1,100,"82,666","95,811","17,491",47,22,"1,440",32,"1,278",19,10,77,318,"1,184","3,008",1,100,"82,666","95,811","17,491",47,22,"1,440",32,"1,278",19,10,77,318,"1,184","3,008",1,100,"82,666","95,811","17,491",47,22,"1,440",32,"1,278",19,10,77,318,"1,184","3,008",1,100,"82,666","95,811","17,491",47,22,"1,440",32,"1,278",19,10,77,318,"1,184","3,008",0,0,,,,,,,,,,,,,,,1,100,"82,666","95,811","17,491",47,22,"1,440",32,"1,278",19,10,77,318,"1,184","3,008",1,100,"82,666","95,811","17,491",47,22,"1,440",32,"1,278",19,10,77,318,"1,184","3,008"
A10,1,100,"72,463","87,580","13,903",139,10,"1,231",86,390,-116,28,-28,367,"1,629","3,202",1,100,"72,463","87,580","13,903",139,10,"1,231",86,390,-116,28,-28,367,"1,629","3,202",1,100,"72,463","87,580","13,903",139,10,"1,231",86,390,-116,28,-28,367,"1,629","3,202",1,100,"72,463","87,580","13,903",139,10,"1,231",86,390,-116,28,-28,367,"1,629","3,202",1,100,"72,463","87,580","13,903",139,10,"1,231",86,390,-116,28,-28,367,"1,629","3,202",1,100,"72,463","87,580","13,903",139,10,"1,231",86,390,-116,28,-28,367,"1,629","3,202",0,0,,,,,,,,,,,,,,,1,100,"72,463","87,580","13,903",139,10,"1,231",86,390,-116,28,-28,367,"1,629","3,202",1,100,"72,463","87,580","13,903",139,10,"1,231",86,390,-116,28,-28,367,"1,629","3,202"
