Well,Cells #Events,Cells %Parent,Cells FSC-A Median,Cells FSC-W Median,Cells SSC-A Median,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Median,Cells CD19 488 530/30-A Median,Cells Live/Dead V405 450/50-A Median,Cells CD7/10 V405 525/50-A Median,Cells V405 780/60-A Median,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Median,Singlets FSC-W Median,Singlets SSC-A Median,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Median,Singlets CD19 488 530/30-A Median,Singlets Live/Dead V405 450/50-A Median,Singlets CD7/10 V405 525/50-A Median,Singlets V405 780/60-A Median,Singlets Time Median,Live cells #Events,Live cells %Parent,Live cells FSC-A Median,Live cells FSC-W Median,Live cells SSC-A Median,Live cells CD33 640 670/30-A Median,Live cells CD45RA 640 730/45-A Median,Live cells CD34 640 780/60-A Median,Live cells CD90 561 582/15-A Median,Live cells CD49f 561 670/14-A Median,Live cells CD38 561 780/60-A Median,Live cells CD19 488 530/30-A Median,Live cells Live/Dead V405 450/50-A Median,Live cells CD7/10 V405 525/50-A Median,Live cells V405 780/60-A Median,Live cells Time Median,CD19 neg #Events,CD19 neg %Parent,CD19 neg FSC-A Median,CD19 neg FSC-W Median,CD19 neg SSC-A Median,CD19 neg CD33 640 670/30-A Median,CD19 neg CD45RA 640 730/45-A Median,CD19 neg CD34 640 780/60-A Median,CD19 neg CD90 561 582/15-A Median,CD19 neg CD49f 561 670/14-A Median,CD19 neg CD38 561 780/60-A Median,CD19 neg CD19 488 530/30-A Median,CD19 neg Live/Dead V405 450/50-A Median,CD19 neg CD7/10 V405 525/50-A Median,CD19 neg V405 780/60-A Median,CD19 neg Time Median,34+/33- #Events,34+/33- %Parent,34+/33- FSC-A Median,34+/33- FSC-W Median,34+/33- SSC-A Median,34+/33- CD33 640 670/30-A Median,34+/33- CD45RA 640 730/45-A Median,34+/33- CD34 640 780/60-A Median,34+/33- CD90 561 582/15-A Median,34+/33- CD49f 561 670/14-A Median,34+/33- CD38 561 780/60-A Median,34+/33- CD19 488 530/30-A Median,34+/33- Live/Dead V405 450/50-A Median,34+/33- CD7/10 V405 525/50-A Median,34+/33- V405 780/60-A Median,34+/33- Time Median,34+/45dim #Events,34+/45dim %Parent,34+/45dim FSC-A Median,34+/45dim FSC-W Median,34+/45dim SSC-A Median,34+/45dim CD33 640 670/30-A Median,34+/45dim CD45RA 640 730/45-A Median,34+/45dim CD34 640 780/60-A Median,34+/45dim CD90 561 582/15-A Median,34+/45dim CD49f 561 670/14-A Median,34+/45dim CD38 561 780/60-A Median,34+/45dim CD19 488 530/30-A Median,34+/45dim Live/Dead V405 450/50-A Median,34+/45dim CD7/10 V405 525/50-A Median,34+/45dim V405 780/60-A Median,34+/45dim Time Median,CD38/CD34+ #Events,CD38/CD34+ %Parent,CD38/CD34+ FSC-A Median,CD38/CD34+ FSC-W Median,CD38/CD34+ SSC-A Median,CD38/CD34+ CD33 640 670/30-A Median,CD38/CD34+ CD45RA 640 730/45-A Median,CD38/CD34+ CD34 640 780/60-A Median,CD38/CD34+ CD90 561 582/15-A Median,CD38/CD34+ CD49f 561 670/14-A Median,CD38/CD34+ CD38 561 780/60-A Median,CD38/CD34+ CD19 488 530/30-A Median,CD38/CD34+ Live/Dead V405 450/50-A Median,CD38/CD34+ CD7/10 V405 525/50-A Median,CD38/CD34+ V405 780/60-A Median,CD38/CD34+ Time Median,CD38-/34+ #Events,CD38-/34+ %Parent,CD38-/34+ FSC-A Median,CD38-/34+ FSC-W Median,CD38-/34+ SSC-A Median,CD38-/34+ CD33 640 670/30-A Median,CD38-/34+ CD45RA 640 730/45-A Median,CD38-/34+ CD34 640 780/60-A Median,CD38-/34+ CD90 561 582/15-A Median,CD38-/34+ CD49f 561 670/14-A Median,CD38-/34+ CD38 561 780/60-A Median,CD38-/34+ CD19 488 530/30-A Median,CD38-/34+ Live/Dead V405 450/50-A Median,CD38-/34+ CD7/10 V405 525/50-A Median,CD38-/34+ V405 780/60-A Median,CD38-/34+ Time Median,HSC pool #Events,HSC pool %Parent,HSC pool FSC-A Median,HSC pool FSC-W Median,HSC pool SSC-A Median,HSC pool CD33 640 670/30-A Median,HSC pool CD45RA 640 730/45-A Median,HSC pool CD34 640 780/60-A Median,HSC pool CD90 561 582/15-A Median,HSC pool CD49f 561 670/14-A Median,HSC pool CD38 561 780/60-A Median,HSC pool CD19 488 530/30-A Median,HSC pool Live/Dead V405 450/50-A Median,HSC pool CD7/10 V405 525/50-A Median,HSC pool V405 780/60-A Median,HSC pool Time Median
A1,1,100,"62,649","85,846","12,286",69,0,"1,269",-18,940,-34,32,-57,300,"1,992",885,1,100,"62,649","85,846","12,286",69,0,"1,269",-18,940,-34,32,-57,300,"1,992",885,1,100,"62,649","85,846","12,286",69,0,"1,269",-18,940,-34,32,-57,300,"1,992",885,1,100,"62,649","85,846","12,286",69,0,"1,269",-18,940,-34,32,-57,300,"1,992",885,1,100,"62,649","85,846","12,286",69,0,"1,269",-18,940,-34,32,-57,300,"1,992",885,1,100,"62,649","85,846","12,286",69,0,"1,269",-18,940,-34,32,-57,300,"1,992",885,0,0,,,,,,,,,,,,,,,1,100,"62,649","85,846","12,286",69,0,"1,269",-18,940,-34,32,-57,300,"1,992",885,1,100,"62,649","85,846","12,286",69,0,"1,269",-18,940,-34,32,-57,300,"1,992",885
A2,1,100,"72,962","86,261","16,318",51,20,"1,179",-16,"1,221",-42,41,-23,383,"2,425","1,130",1,100,"72,962","86,261","16,318",51,20,"1,179",-16,"1,221",-42,41,-23,383,"2,425","1,130",1,100,"72,962","86,261","16,318",51,20,"1,179",-16,"1,221",-42,41,-23,383,"2,425","1,130",1,100,"72,962","86,261","16,318",51,20,"1,179",-16,"1,221",-42,41,-23,383,"2,425","1,130",1,100,"72,962","86,261","16,318",51,20,"1,179",-16,"1,221",-42,41,-23,383,"2,425","1,130",1,100,"72,962","86,261","16,318",51,20,"1,179",-16,"1,221",-42,41,-23,383,"2,425","1,130",0,0,,,,,,,,,,,,,,,1,100,"72,962","86,261","16,318",51,20,"1,179",-16,"1,221",-42,41,-23,383,"2,425","1,130",1,100,"72,962","86,261","16,318",51,20,"1,179",-16,"1,221",-42,41,-23,383,"2,425","1,130"
A3,1,100,"50,004","84,052","12,682",103,18,872,-33,993,-8,3,25,314,"1,246","1,673",1,100,"50,004","84,052","12,682",103,18,872,-33,993,-8,3,25,314,"1,246","1,673",1,100,"50,004","84,052","12,682",103,18,872,-33,993,-8,3,25,314,"1,246","1,673",1,100,"50,004","84,052","12,682",103,18,872,-33,993,-8,3,25,314,"1,246","1,673",1,100,"50,004","84,052","12,682",103,18,872,-33,993,-8,3,25,314,"1,246","1,673",1,100,"50,004","84,052","12,682",103,18,872,-33,993,-8,3,25,314,"1,246","1,673",0,0,,,,,,,,,,,,,,,1,100,"50,004","84,052","12,682",103,18,872,-33,993,-8,3,25,314,"1,246","1,673",1,100,"50,004","84,052","12,682",103,18,872,-33,993,-8,3,25,314,"1,246","1,673"
A4,1,100,"80,383","89,365","22,171",-69,6,"1,207",33,614,9,13,-40,323,"1,979","2,290",1,100,"80,383","89,365","22,171",-69,6,"1,207",33,614,9,13,-40,323,"1,979","2,290",1,100,"80,383","89,365","22,171",-69,6,"1,207",33,614,9,13,-40,323,"1,979","2,290",1,100,"80,383","89,365","22,171",-69,6,"1,207",33,614,9,13,-40,323,"1,979","2,290",1,100,"80,383","89,365","22,171",-69,6,"1,207",33,614,9,13,-40,323,"1,979","2,290",1,100,"80,383","89,365","22,171",-69,6,"1,207",33,614,9,13,-40,323,"1,979","2,290",0,0,,,,,,,,,,,,,,,1,100,"80,383","89,365","22,171",-69,6,"1,207",33,614,9,13,-40,323,"1,979","2,290",1,100,"80,383","89,365","22,171",-69,6,"1,207",33,614,9,13,-40,323,"1,979","2,290"
A5,1,100,"80,813","97,350","20,216",153,2,"1,531",338,697,111,5,-66,310,"1,937","4,339",1,100,"80,813","97,350","20,216",153,2,"1,531",338,697,111,5,-66,310,"1,937","4,339",1,100,"80,813","97,350","20,216",153,2,"1,531",338,697,111,5,-66,310,"1,937","4,339",1,100,"80,813","97,350","20,216",153,2,"1,531",338,697,111,5,-66,310,"1,937","4,339",1,100,"80,813","97,350","20,216",153,2,"1,531",338,697,111,5,-66,310,"1,937","4,339",1,100,"80,813","97,350","20,216",153,2,"1,531",338,697,111,5,-66,310,"1,937","4,339",0,0,,,,,,,,,,,,,,,1,100,"80,813","97,350","20,216",153,2,"1,531",338,697,111,5,-66,310,"1,937","4,339",1,100,"80,813","97,350","20,216",153,2,"1,531",338,697,111,5,-66,310,"1,937","4,339"
A6,1,100,"70,500","85,916","15,007",74,17,"1,127",46,855,-30,47,16,361,"1,661","4,647",1,100,"70,500","85,916","15,007",74,17,"1,127",46,855,-30,47,16,361,"1,661","4,647",1,100,"70,500","85,916","15,007",74,17,"1,127",46,855,-30,47,16,361,"1,661","4,647",1,100,"70,500","85,916","15,007",74,17,"1,127",46,855,-30,47,16,361,"1,661","4,647",1,100,"70,500","85,916","15,007",74,17,"1,127",46,855,-30,47,16,361,"1,661","4,647",1,100,"70,500","85,916","15,007",74,17,"1,127",46,855,-30,47,16,361,"1,661","4,647",0,0,,,,,,,,,,,,,,,1,100,"70,500","85,916","15,007",74,17,"1,127",46,855,-30,47,16,361,"1,661","4,647",1,100,"70,500","85,916","15,007",74,17,"1,127",46,855,-30,47,16,361,"1,661","4,647"
A7,1,100,"68,701","88,074","12,197",114,-2,924,-9,603,-27,39,19,201,"1,354","5,133",1,100,"68,701","88,074","12,197",114,-2,924,-9,603,-27,39,19,201,"1,354","5,133",1,100,"68,701","88,074","12,197",114,-2,924,-9,603,-27,39,19,201,"1,354","5,133",1,100,"68,701","88,074","12,197",114,-2,924,-9,603,-27,39,19,201,"1,354","5,133",1,100,"68,701","88,074","12,197",114,-2,924,-9,603,-27,39,19,201,"1,354","5,133",1,100,"68,701","88,074","12,197",114,-2,924,-9,603,-27,39,19,201,"1,354","5,133",0,0,,,,,,,,,,,,,,,1,100,"68,701","88,074","12,197",114,-2,924,-9,603,-27,39,19,201,"1,354","5,133",1,100,"68,701","88,074","12,197",114,-2,924,-9,603,-27,39,19,201,"1,354","5,133"
A8,1,100,"66,548","84,747","12,587",83,27,"1,537",397,"1,764",-72,9,-127,310,"1,716","5,962",1,100,"66,548","84,747","12,587",83,27,"1,537",397,"1,764",-72,9,-127,310,"1,716","5,962",1,100,"66,548","84,747","12,587",83,27,"1,537",397,"1,764",-72,9,-127,310,"1,716","5,962",1,100,"66,548","84,747","12,587",83,27,"1,537",397,"1,764",-72,9,-127,310,"1,716","5,962",1,100,"66,548","84,747","12,587",83,27,"1,537",397,"1,764",-72,9,-127,310,"1,716","5,962",1,100,"66,548","84,747","12,587",83,27,"1,537",397,"1,764",-72,9,-127,310,"1,716","5,962",0,0,,,,,,,,,,,,,,,1,100,"66,548","84,747","12,587",83,27,"1,537",397,"1,764",-72,9,-127,310,"1,716","5,962",1,100,"66,548","84,747","12,587",83,27,"1,537",397,"1,764",-72,9,-127,310,"1,716","5,962"
A9,1,100,"74,751","88,822","18,590",116,-3,"1,191",146,"1,173",6,6,-37,297,"1,283","6,236",1,100,"74,751","88,822","18,590",116,-3,"1,191",146,"1,173",6,6,-37,297,"1,283","6,236",1,100,"74,751","88,822","18,590",116,-3,"1,191",146,"1,173",6,6,-37,297,"1,283","6,236",1,100,"74,751","88,822","18,590",116,-3,"1,191",146,"1,173",6,6,-37,297,"1,283","6,236",1,100,"74,751","88,822","18,590",116,-3,"1,191",146,"1,173",6,6,-37,297,"1,283","6,236",1,100,"74,751","88,822","18,590",116,-3,"1,191",146,"1,173",6,6,-37,297,"1,283","6,236",0,0,,,,,,,,,,,,,,,1,100,"74,751","88,822","18,590",116,-3,"1,191",146,"1,173",6,6,-37,297,"1,283","6,236",1,100,"74,751","88,822","18,590",116,-3,"1,191",146,"1,173",6,6,-37,297,"1,283","6,236"
A10,1,100,"74,379","87,661","17,303",62,30,"1,168",36,"1,124",-21,19,-66,347,"2,317","6,481",1,100,"74,379","87,661","17,303",62,30,"1,168",36,"1,124",-21,19,-66,347,"2,317","6,481",1,100,"74,379","87,661","17,303",62,30,"1,168",36,"1,124",-21,19,-66,347,"2,317","6,481",1,100,"74,379","87,661","17,303",62,30,"1,168",36,"1,124",-21,19,-66,347,"2,317","6,481",1,100,"74,379","87,661","17,303",62,30,"1,168",36,"1,124",-21,19,-66,347,"2,317","6,481",1,100,"74,379","87,661","17,303",62,30,"1,168",36,"1,124",-21,19,-66,347,"2,317","6,481",0,0,,,,,,,,,,,,,,,1,100,"74,379","87,661","17,303",62,30,"1,168",36,"1,124",-21,19,-66,347,"2,317","6,481",1,100,"74,379","87,661","17,303",62,30,"1,168",36,"1,124",-21,19,-66,347,"2,317","6,481"
