Well,Cells #Events,Cells %Parent,Cells FSC-A Median,Cells FSC-W Median,Cells SSC-A Median,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Median,Cells CD19 488 530/30-A Median,Cells Live/Dead V405 450/50-A Median,Cells CD7/10 V405 525/50-A Median,Cells V405 780/60-A Median,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Median,Singlets FSC-W Median,Singlets SSC-A Median,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Median,Singlets CD19 488 530/30-A Median,Singlets Live/Dead V405 450/50-A Median,Singlets CD7/10 V405 525/50-A Median,Singlets V405 780/60-A Median,Singlets Time Median,Live cells #Events,Live cells %Parent,Live cells FSC-A Median,Live cells FSC-W Median,Live cells SSC-A Median,Live cells CD33 640 670/30-A Median,Live cells CD45RA 640 730/45-A Median,Live cells CD34 640 780/60-A Median,Live cells CD90 561 582/15-A Median,Live cells CD49f 561 670/14-A Median,Live cells CD38 561 780/60-A Median,Live cells CD19 488 530/30-A Median,Live cells Live/Dead V405 450/50-A Median,Live cells CD7/10 V405 525/50-A Median,Live cells V405 780/60-A Median,Live cells Time Median,CD19 neg #Events,CD19 neg %Parent,CD19 neg FSC-A Median,CD19 neg FSC-W Median,CD19 neg SSC-A Median,CD19 neg CD33 640 670/30-A Median,CD19 neg CD45RA 640 730/45-A Median,CD19 neg CD34 640 780/60-A Median,CD19 neg CD90 561 582/15-A Median,CD19 neg CD49f 561 670/14-A Median,CD19 neg CD38 561 780/60-A Median,CD19 neg CD19 488 530/30-A Median,CD19 neg Live/Dead V405 450/50-A Median,CD19 neg CD7/10 V405 525/50-A Median,CD19 neg V405 780/60-A Median,CD19 neg Time Median,34+/33- #Events,34+/33- %Parent,34+/33- FSC-A Median,34+/33- FSC-W Median,34+/33- SSC-A Median,34+/33- CD33 640 670/30-A Median,34+/33- CD45RA 640 730/45-A Median,34+/33- CD34 640 780/60-A Median,34+/33- CD90 561 582/15-A Median,34+/33- CD49f 561 670/14-A Median,34+/33- CD38 561 780/60-A Median,34+/33- CD19 488 530/30-A Median,34+/33- Live/Dead V405 450/50-A Median,34+/33- CD7/10 V405 525/50-A Median,34+/33- V405 780/60-A Median,34+/33- Time Median,34+/45dim #Events,34+/45dim %Parent,34+/45dim FSC-A Median,34+/45dim FSC-W Median,34+/45dim SSC-A Median,34+/45dim CD33 640 670/30-A Median,34+/45dim CD45RA 640 730/45-A Median,34+/45dim CD34 640 780/60-A Median,34+/45dim CD90 561 582/15-A Median,34+/45dim CD49f 561 670/14-A Median,34+/45dim CD38 561 780/60-A Median,34+/45dim CD19 488 530/30-A Median,34+/45dim Live/Dead V405 450/50-A Median,34+/45dim CD7/10 V405 525/50-A Median,34+/45dim V405 780/60-A Median,34+/45dim Time Median,CD38/CD34+ #Events,CD38/CD34+ %Parent,CD38/CD34+ FSC-A Median,CD38/CD34+ FSC-W Median,CD38/CD34+ SSC-A Median,CD38/CD34+ CD33 640 670/30-A Median,CD38/CD34+ CD45RA 640 730/45-A Median,CD38/CD34+ CD34 640 780/60-A Median,CD38/CD34+ CD90 561 582/15-A Median,CD38/CD34+ CD49f 561 670/14-A Median,CD38/CD34+ CD38 561 780/60-A Median,CD38/CD34+ CD19 488 530/30-A Median,CD38/CD34+ Live/Dead V405 450/50-A Median,CD38/CD34+ CD7/10 V405 525/50-A Median,CD38/CD34+ V405 780/60-A Median,CD38/CD34+ Time Median,CD38-/34+ #Events,CD38-/34+ %Parent,CD38-/34+ FSC-A Median,CD38-/34+ FSC-W Median,CD38-/34+ SSC-A Median,CD38-/34+ CD33 640 670/30-A Median,CD38-/34+ CD45RA 640 730/45-A Median,CD38-/34+ CD34 640 780/60-A Median,CD38-/34+ CD90 561 582/15-A Median,CD38-/34+ CD49f 561 670/14-A Median,CD38-/34+ CD38 561 780/60-A Median,CD38-/34+ CD19 488 530/30-A Median,CD38-/34+ Live/Dead V405 450/50-A Median,CD38-/34+ CD7/10 V405 525/50-A Median,CD38-/34+ V405 780/60-A Median,CD38-/34+ Time Median,HSC pool #Events,HSC pool %Parent,HSC pool FSC-A Median,HSC pool FSC-W Median,HSC pool SSC-A Median,HSC pool CD33 640 670/30-A Median,HSC pool CD45RA 640 730/45-A Median,HSC pool CD34 640 780/60-A Median,HSC pool CD90 561 582/15-A Median,HSC pool CD49f 561 670/14-A Median,HSC pool CD38 561 780/60-A Median,HSC pool CD19 488 530/30-A Median,HSC pool Live/Dead V405 450/50-A Median,HSC pool CD7/10 V405 525/50-A Median,HSC pool V405 780/60-A Median,HSC pool Time Median
E8,1,100,"66,565","84,697","11,921",99,4,"1,170",280,770,-20,12,-19,299,"1,562","12,574",1,100,"66,565","84,697","11,921",99,4,"1,170",280,770,-20,12,-19,299,"1,562","12,574",1,100,"66,565","84,697","11,921",99,4,"1,170",280,770,-20,12,-19,299,"1,562","12,574",1,100,"66,565","84,697","11,921",99,4,"1,170",280,770,-20,12,-19,299,"1,562","12,574",1,100,"66,565","84,697","11,921",99,4,"1,170",280,770,-20,12,-19,299,"1,562","12,574",1,100,"66,565","84,697","11,921",99,4,"1,170",280,770,-20,12,-19,299,"1,562","12,574",0,0,,,,,,,,,,,,,,,1,100,"66,565","84,697","11,921",99,4,"1,170",280,770,-20,12,-19,299,"1,562","12,574",1,100,"66,565","84,697","11,921",99,4,"1,170",280,770,-20,12,-19,299,"1,562","12,574"
E9,1,100,"68,031","85,868","13,528",45,35,"1,247",159,"2,252",-31,30,32,382,"2,536","12,773",1,100,"68,031","85,868","13,528",45,35,"1,247",159,"2,252",-31,30,32,382,"2,536","12,773",1,100,"68,031","85,868","13,528",45,35,"1,247",159,"2,252",-31,30,32,382,"2,536","12,773",1,100,"68,031","85,868","13,528",45,35,"1,247",159,"2,252",-31,30,32,382,"2,536","12,773",1,100,"68,031","85,868","13,528",45,35,"1,247",159,"2,252",-31,30,32,382,"2,536","12,773",1,100,"68,031","85,868","13,528",45,35,"1,247",159,"2,252",-31,30,32,382,"2,536","12,773",0,0,,,,,,,,,,,,,,,1,100,"68,031","85,868","13,528",45,35,"1,247",159,"2,252",-31,30,32,382,"2,536","12,773",1,100,"68,031","85,868","13,528",45,35,"1,247",159,"2,252",-31,30,32,382,"2,536","12,773"
E10,1,100,"67,383","85,162","14,474",9,41,"1,217",71,"1,250",-63,27,-26,312,"2,165","12,975",1,100,"67,383","85,162","14,474",9,41,"1,217",71,"1,250",-63,27,-26,312,"2,165","12,975",1,100,"67,383","85,162","14,474",9,41,"1,217",71,"1,250",-63,27,-26,312,"2,165","12,975",1,100,"67,383","85,162","14,474",9,41,"1,217",71,"1,250",-63,27,-26,312,"2,165","12,975",1,100,"67,383","85,162","14,474",9,41,"1,217",71,"1,250",-63,27,-26,312,"2,165","12,975",1,100,"67,383","85,162","14,474",9,41,"1,217",71,"1,250",-63,27,-26,312,"2,165","12,975",0,0,,,,,,,,,,,,,,,1,100,"67,383","85,162","14,474",9,41,"1,217",71,"1,250",-63,27,-26,312,"2,165","12,975",1,100,"67,383","85,162","14,474",9,41,"1,217",71,"1,250",-63,27,-26,312,"2,165","12,975"
E11,1,100,"70,597","86,207","16,018",149,28,"1,194",-19,"1,727",-2,43,-59,248,"1,375","13,176",1,100,"70,597","86,207","16,018",149,28,"1,194",-19,"1,727",-2,43,-59,248,"1,375","13,176",1,100,"70,597","86,207","16,018",149,28,"1,194",-19,"1,727",-2,43,-59,248,"1,375","13,176",1,100,"70,597","86,207","16,018",149,28,"1,194",-19,"1,727",-2,43,-59,248,"1,375","13,176",1,100,"70,597","86,207","16,018",149,28,"1,194",-19,"1,727",-2,43,-59,248,"1,375","13,176",1,100,"70,597","86,207","16,018",149,28,"1,194",-19,"1,727",-2,43,-59,248,"1,375","13,176",0,0,,,,,,,,,,,,,,,1,100,"70,597","86,207","16,018",149,28,"1,194",-19,"1,727",-2,43,-59,248,"1,375","13,176",1,100,"70,597","86,207","16,018",149,28,"1,194",-19,"1,727",-2,43,-59,248,"1,375","13,176"
E12,1,100,"70,905","87,455","13,179",141,42,"1,165",259,"1,380",-217,28,8,330,"1,634","13,389",1,100,"70,905","87,455","13,179",141,42,"1,165",259,"1,380",-217,28,8,330,"1,634","13,389",1,100,"70,905","87,455","13,179",141,42,"1,165",259,"1,380",-217,28,8,330,"1,634","13,389",1,100,"70,905","87,455","13,179",141,42,"1,165",259,"1,380",-217,28,8,330,"1,634","13,389",1,100,"70,905","87,455","13,179",141,42,"1,165",259,"1,380",-217,28,8,330,"1,634","13,389",1,100,"70,905","87,455","13,179",141,42,"1,165",259,"1,380",-217,28,8,330,"1,634","13,389",0,0,,,,,,,,,,,,,,,1,100,"70,905","87,455","13,179",141,42,"1,165",259,"1,380",-217,28,8,330,"1,634","13,389",1,100,"70,905","87,455","13,179",141,42,"1,165",259,"1,380",-217,28,8,330,"1,634","13,389"
F1,1,100,"79,603","89,988","13,950",174,35,"1,444",392,536,46,22,-140,217,"2,333","15,884",1,100,"79,603","89,988","13,950",174,35,"1,444",392,536,46,22,-140,217,"2,333","15,884",1,100,"79,603","89,988","13,950",174,35,"1,444",392,536,46,22,-140,217,"2,333","15,884",1,100,"79,603","89,988","13,950",174,35,"1,444",392,536,46,22,-140,217,"2,333","15,884",1,100,"79,603","89,988","13,950",174,35,"1,444",392,536,46,22,-140,217,"2,333","15,884",1,100,"79,603","89,988","13,950",174,35,"1,444",392,536,46,22,-140,217,"2,333","15,884",0,0,,,,,,,,,,,,,,,1,100,"79,603","89,988","13,950",174,35,"1,444",392,536,46,22,-140,217,"2,333","15,884",1,100,"79,603","89,988","13,950",174,35,"1,444",392,536,46,22,-140,217,"2,333","15,884"
F2,1,100,"67,246","84,973","14,629",256,19,"1,613",-85,812,-102,20,-15,360,"1,233","15,674",1,100,"67,246","84,973","14,629",256,19,"1,613",-85,812,-102,20,-15,360,"1,233","15,674",1,100,"67,246","84,973","14,629",256,19,"1,613",-85,812,-102,20,-15,360,"1,233","15,674",1,100,"67,246","84,973","14,629",256,19,"1,613",-85,812,-102,20,-15,360,"1,233","15,674",1,100,"67,246","84,973","14,629",256,19,"1,613",-85,812,-102,20,-15,360,"1,233","15,674",1,100,"67,246","84,973","14,629",256,19,"1,613",-85,812,-102,20,-15,360,"1,233","15,674",0,0,,,,,,,,,,,,,,,1,100,"67,246","84,973","14,629",256,19,"1,613",-85,812,-102,20,-15,360,"1,233","15,674",1,100,"67,246","84,973","14,629",256,19,"1,613",-85,812,-102,20,-15,360,"1,233","15,674"
F3,1,100,"63,453","86,626","12,845",122,11,"1,520",75,882,63,33,-8,342,"1,624","15,470",1,100,"63,453","86,626","12,845",122,11,"1,520",75,882,63,33,-8,342,"1,624","15,470",1,100,"63,453","86,626","12,845",122,11,"1,520",75,882,63,33,-8,342,"1,624","15,470",1,100,"63,453","86,626","12,845",122,11,"1,520",75,882,63,33,-8,342,"1,624","15,470",1,100,"63,453","86,626","12,845",122,11,"1,520",75,882,63,33,-8,342,"1,624","15,470",1,100,"63,453","86,626","12,845",122,11,"1,520",75,882,63,33,-8,342,"1,624","15,470",0,0,,,,,,,,,,,,,,,1,100,"63,453","86,626","12,845",122,11,"1,520",75,882,63,33,-8,342,"1,624","15,470",1,100,"63,453","86,626","12,845",122,11,"1,520",75,882,63,33,-8,342,"1,624","15,470"
F4,1,100,"58,470","82,421","17,069",21,18,544,28,413,6,32,-22,115,775,"15,250",1,100,"58,470","82,421","17,069",21,18,544,28,413,6,32,-22,115,775,"15,250",1,100,"58,470","82,421","17,069",21,18,544,28,413,6,32,-22,115,775,"15,250",1,100,"58,470","82,421","17,069",21,18,544,28,413,6,32,-22,115,775,"15,250",0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
F5,1,100,"65,763","87,632","16,785",102,11,846,478,392,37,65,-18,340,"1,636","15,058",1,100,"65,763","87,632","16,785",102,11,846,478,392,37,65,-18,340,"1,636","15,058",1,100,"65,763","87,632","16,785",102,11,846,478,392,37,65,-18,340,"1,636","15,058",1,100,"65,763","87,632","16,785",102,11,846,478,392,37,65,-18,340,"1,636","15,058",1,100,"65,763","87,632","16,785",102,11,846,478,392,37,65,-18,340,"1,636","15,058",1,100,"65,763","87,632","16,785",102,11,846,478,392,37,65,-18,340,"1,636","15,058",0,0,,,,,,,,,,,,,,,1,100,"65,763","87,632","16,785",102,11,846,478,392,37,65,-18,340,"1,636","15,058",1,100,"65,763","87,632","16,785",102,11,846,478,392,37,65,-18,340,"1,636","15,058"
