Well,Cells #Events,Cells %Parent,Cells FSC-A Median,Cells FSC-W Median,Cells SSC-A Median,Cells CD33 640 670/30-A Median,Cells CD45RA 640 730/45-A Median,Cells CD34 640 780/60-A Median,Cells CD90 561 582/15-A Median,Cells CD49f 561 670/14-A Median,Cells CD38 561 780/60-A Median,Cells CD19 488 530/30-A Median,Cells Live/Dead V405 450/50-A Median,Cells CD7/10 V405 525/50-A Median,Cells V405 780/60-A Median,Cells Time Median,Singlets #Events,Singlets %Parent,Singlets FSC-A Median,Singlets FSC-W Median,Singlets SSC-A Median,Singlets CD33 640 670/30-A Median,Singlets CD45RA 640 730/45-A Median,Singlets CD34 640 780/60-A Median,Singlets CD90 561 582/15-A Median,Singlets CD49f 561 670/14-A Median,Singlets CD38 561 780/60-A Median,Singlets CD19 488 530/30-A Median,Singlets Live/Dead V405 450/50-A Median,Singlets CD7/10 V405 525/50-A Median,Singlets V405 780/60-A Median,Singlets Time Median,Live cells #Events,Live cells %Parent,Live cells FSC-A Median,Live cells FSC-W Median,Live cells SSC-A Median,Live cells CD33 640 670/30-A Median,Live cells CD45RA 640 730/45-A Median,Live cells CD34 640 780/60-A Median,Live cells CD90 561 582/15-A Median,Live cells CD49f 561 670/14-A Median,Live cells CD38 561 780/60-A Median,Live cells CD19 488 530/30-A Median,Live cells Live/Dead V405 450/50-A Median,Live cells CD7/10 V405 525/50-A Median,Live cells V405 780/60-A Median,Live cells Time Median,CD19 neg #Events,CD19 neg %Parent,CD19 neg FSC-A Median,CD19 neg FSC-W Median,CD19 neg SSC-A Median,CD19 neg CD33 640 670/30-A Median,CD19 neg CD45RA 640 730/45-A Median,CD19 neg CD34 640 780/60-A Median,CD19 neg CD90 561 582/15-A Median,CD19 neg CD49f 561 670/14-A Median,CD19 neg CD38 561 780/60-A Median,CD19 neg CD19 488 530/30-A Median,CD19 neg Live/Dead V405 450/50-A Median,CD19 neg CD7/10 V405 525/50-A Median,CD19 neg V405 780/60-A Median,CD19 neg Time Median,34+/33- #Events,34+/33- %Parent,34+/33- FSC-A Median,34+/33- FSC-W Median,34+/33- SSC-A Median,34+/33- CD33 640 670/30-A Median,34+/33- CD45RA 640 730/45-A Median,34+/33- CD34 640 780/60-A Median,34+/33- CD90 561 582/15-A Median,34+/33- CD49f 561 670/14-A Median,34+/33- CD38 561 780/60-A Median,34+/33- CD19 488 530/30-A Median,34+/33- Live/Dead V405 450/50-A Median,34+/33- CD7/10 V405 525/50-A Median,34+/33- V405 780/60-A Median,34+/33- Time Median,34+/45dim #Events,34+/45dim %Parent,34+/45dim FSC-A Median,34+/45dim FSC-W Median,34+/45dim SSC-A Median,34+/45dim CD33 640 670/30-A Median,34+/45dim CD45RA 640 730/45-A Median,34+/45dim CD34 640 780/60-A Median,34+/45dim CD90 561 582/15-A Median,34+/45dim CD49f 561 670/14-A Median,34+/45dim CD38 561 780/60-A Median,34+/45dim CD19 488 530/30-A Median,34+/45dim Live/Dead V405 450/50-A Median,34+/45dim CD7/10 V405 525/50-A Median,34+/45dim V405 780/60-A Median,34+/45dim Time Median,CD38/CD34+ #Events,CD38/CD34+ %Parent,CD38/CD34+ FSC-A Median,CD38/CD34+ FSC-W Median,CD38/CD34+ SSC-A Median,CD38/CD34+ CD33 640 670/30-A Median,CD38/CD34+ CD45RA 640 730/45-A Median,CD38/CD34+ CD34 640 780/60-A Median,CD38/CD34+ CD90 561 582/15-A Median,CD38/CD34+ CD49f 561 670/14-A Median,CD38/CD34+ CD38 561 780/60-A Median,CD38/CD34+ CD19 488 530/30-A Median,CD38/CD34+ Live/Dead V405 450/50-A Median,CD38/CD34+ CD7/10 V405 525/50-A Median,CD38/CD34+ V405 780/60-A Median,CD38/CD34+ Time Median,CD38-/34+ #Events,CD38-/34+ %Parent,CD38-/34+ FSC-A Median,CD38-/34+ FSC-W Median,CD38-/34+ SSC-A Median,CD38-/34+ CD33 640 670/30-A Median,CD38-/34+ CD45RA 640 730/45-A Median,CD38-/34+ CD34 640 780/60-A Median,CD38-/34+ CD90 561 582/15-A Median,CD38-/34+ CD49f 561 670/14-A Median,CD38-/34+ CD38 561 780/60-A Median,CD38-/34+ CD19 488 530/30-A Median,CD38-/34+ Live/Dead V405 450/50-A Median,CD38-/34+ CD7/10 V405 525/50-A Median,CD38-/34+ V405 780/60-A Median,CD38-/34+ Time Median,HSC pool #Events,HSC pool %Parent,HSC pool FSC-A Median,HSC pool FSC-W Median,HSC pool SSC-A Median,HSC pool CD33 640 670/30-A Median,HSC pool CD45RA 640 730/45-A Median,HSC pool CD34 640 780/60-A Median,HSC pool CD90 561 582/15-A Median,HSC pool CD49f 561 670/14-A Median,HSC pool CD38 561 780/60-A Median,HSC pool CD19 488 530/30-A Median,HSC pool Live/Dead V405 450/50-A Median,HSC pool CD7/10 V405 525/50-A Median,HSC pool V405 780/60-A Median,HSC pool Time Median
A1,1,100,"76,064","87,154","14,249",63,14,"1,385",-26,"1,125",-44,1,-50,324,"1,503",609,1,100,"76,064","87,154","14,249",63,14,"1,385",-26,"1,125",-44,1,-50,324,"1,503",609,1,100,"76,064","87,154","14,249",63,14,"1,385",-26,"1,125",-44,1,-50,324,"1,503",609,1,100,"76,064","87,154","14,249",63,14,"1,385",-26,"1,125",-44,1,-50,324,"1,503",609,1,100,"76,064","87,154","14,249",63,14,"1,385",-26,"1,125",-44,1,-50,324,"1,503",609,1,100,"76,064","87,154","14,249",63,14,"1,385",-26,"1,125",-44,1,-50,324,"1,503",609,0,0,,,,,,,,,,,,,,,1,100,"76,064","87,154","14,249",63,14,"1,385",-26,"1,125",-44,1,-50,324,"1,503",609,1,100,"76,064","87,154","14,249",63,14,"1,385",-26,"1,125",-44,1,-50,324,"1,503",609
A2,1,100,"62,512","87,502","12,352",-74,38,970,-16,"1,236",-103,20,-55,232,"1,927",893,1,100,"62,512","87,502","12,352",-74,38,970,-16,"1,236",-103,20,-55,232,"1,927",893,1,100,"62,512","87,502","12,352",-74,38,970,-16,"1,236",-103,20,-55,232,"1,927",893,1,100,"62,512","87,502","12,352",-74,38,970,-16,"1,236",-103,20,-55,232,"1,927",893,1,100,"62,512","87,502","12,352",-74,38,970,-16,"1,236",-103,20,-55,232,"1,927",893,1,100,"62,512","87,502","12,352",-74,38,970,-16,"1,236",-103,20,-55,232,"1,927",893,0,0,,,,,,,,,,,,,,,1,100,"62,512","87,502","12,352",-74,38,970,-16,"1,236",-103,20,-55,232,"1,927",893,1,100,"62,512","87,502","12,352",-74,38,970,-16,"1,236",-103,20,-55,232,"1,927",893
A3,1,100,"74,099","86,004","14,698",70,13,"1,372",173,746,-22,17,-25,493,"1,943","1,154",1,100,"74,099","86,004","14,698",70,13,"1,372",173,746,-22,17,-25,493,"1,943","1,154",1,100,"74,099","86,004","14,698",70,13,"1,372",173,746,-22,17,-25,493,"1,943","1,154",1,100,"74,099","86,004","14,698",70,13,"1,372",173,746,-22,17,-25,493,"1,943","1,154",1,100,"74,099","86,004","14,698",70,13,"1,372",173,746,-22,17,-25,493,"1,943","1,154",1,100,"74,099","86,004","14,698",70,13,"1,372",173,746,-22,17,-25,493,"1,943","1,154",0,0,,,,,,,,,,,,,,,1,100,"74,099","86,004","14,698",70,13,"1,372",173,746,-22,17,-25,493,"1,943","1,154",1,100,"74,099","86,004","14,698",70,13,"1,372",173,746,-22,17,-25,493,"1,943","1,154"
A4,1,100,"67,772","85,498","13,768",51,4,899,46,752,-89,26,-31,324,"2,106","1,494",1,100,"67,772","85,498","13,768",51,4,899,46,752,-89,26,-31,324,"2,106","1,494",1,100,"67,772","85,498","13,768",51,4,899,46,752,-89,26,-31,324,"2,106","1,494",1,100,"67,772","85,498","13,768",51,4,899,46,752,-89,26,-31,324,"2,106","1,494",1,100,"67,772","85,498","13,768",51,4,899,46,752,-89,26,-31,324,"2,106","1,494",1,100,"67,772","85,498","13,768",51,4,899,46,752,-89,26,-31,324,"2,106","1,494",0,0,,,,,,,,,,,,,,,1,100,"67,772","85,498","13,768",51,4,899,46,752,-89,26,-31,324,"2,106","1,494",1,100,"67,772","85,498","13,768",51,4,899,46,752,-89,26,-31,324,"2,106","1,494"
A5,1,100,"59,322","87,593","23,462",-27,30,"1,622",79,628,-96,21,-57,574,"3,217","1,752",1,100,"59,322","87,593","23,462",-27,30,"1,622",79,628,-96,21,-57,574,"3,217","1,752",1,100,"59,322","87,593","23,462",-27,30,"1,622",79,628,-96,21,-57,574,"3,217","1,752",1,100,"59,322","87,593","23,462",-27,30,"1,622",79,628,-96,21,-57,574,"3,217","1,752",1,100,"59,322","87,593","23,462",-27,30,"1,622",79,628,-96,21,-57,574,"3,217","1,752",1,100,"59,322","87,593","23,462",-27,30,"1,622",79,628,-96,21,-57,574,"3,217","1,752",0,0,,,,,,,,,,,,,,,1,100,"59,322","87,593","23,462",-27,30,"1,622",79,628,-96,21,-57,574,"3,217","1,752",1,100,"59,322","87,593","23,462",-27,30,"1,622",79,628,-96,21,-57,574,"3,217","1,752"
A6,1,100,"69,547","84,409","13,212",101,29,"1,789",273,126,69,28,-69,325,"1,323","2,148",1,100,"69,547","84,409","13,212",101,29,"1,789",273,126,69,28,-69,325,"1,323","2,148",1,100,"69,547","84,409","13,212",101,29,"1,789",273,126,69,28,-69,325,"1,323","2,148",1,100,"69,547","84,409","13,212",101,29,"1,789",273,126,69,28,-69,325,"1,323","2,148",1,100,"69,547","84,409","13,212",101,29,"1,789",273,126,69,28,-69,325,"1,323","2,148",1,100,"69,547","84,409","13,212",101,29,"1,789",273,126,69,28,-69,325,"1,323","2,148",0,0,,,,,,,,,,,,,,,1,100,"69,547","84,409","13,212",101,29,"1,789",273,126,69,28,-69,325,"1,323","2,148",1,100,"69,547","84,409","13,212",101,29,"1,789",273,126,69,28,-69,325,"1,323","2,148"
A7,1,100,"73,394","86,521","12,108",-5,-36,843,-64,"1,721",-113,30,-82,230,"1,560","2,734",1,100,"73,394","86,521","12,108",-5,-36,843,-64,"1,721",-113,30,-82,230,"1,560","2,734",1,100,"73,394","86,521","12,108",-5,-36,843,-64,"1,721",-113,30,-82,230,"1,560","2,734",1,100,"73,394","86,521","12,108",-5,-36,843,-64,"1,721",-113,30,-82,230,"1,560","2,734",1,100,"73,394","86,521","12,108",-5,-36,843,-64,"1,721",-113,30,-82,230,"1,560","2,734",1,100,"73,394","86,521","12,108",-5,-36,843,-64,"1,721",-113,30,-82,230,"1,560","2,734",0,0,,,,,,,,,,,,,,,1,100,"73,394","86,521","12,108",-5,-36,843,-64,"1,721",-113,30,-82,230,"1,560","2,734",1,100,"73,394","86,521","12,108",-5,-36,843,-64,"1,721",-113,30,-82,230,"1,560","2,734"
A8,1,100,"75,929","86,877","17,307",385,-5,"1,485",90,"1,189",51,14,-79,309,"3,273","2,972",1,100,"75,929","86,877","17,307",385,-5,"1,485",90,"1,189",51,14,-79,309,"3,273","2,972",1,100,"75,929","86,877","17,307",385,-5,"1,485",90,"1,189",51,14,-79,309,"3,273","2,972",1,100,"75,929","86,877","17,307",385,-5,"1,485",90,"1,189",51,14,-79,309,"3,273","2,972",1,100,"75,929","86,877","17,307",385,-5,"1,485",90,"1,189",51,14,-79,309,"3,273","2,972",1,100,"75,929","86,877","17,307",385,-5,"1,485",90,"1,189",51,14,-79,309,"3,273","2,972",0,0,,,,,,,,,,,,,,,1,100,"75,929","86,877","17,307",385,-5,"1,485",90,"1,189",51,14,-79,309,"3,273","2,972",1,100,"75,929","86,877","17,307",385,-5,"1,485",90,"1,189",51,14,-79,309,"3,273","2,972"
A9,1,100,"76,257","87,418","26,044",13,4,"1,027",29,383,76,27,-7,556,"2,287","3,189",1,100,"76,257","87,418","26,044",13,4,"1,027",29,383,76,27,-7,556,"2,287","3,189",1,100,"76,257","87,418","26,044",13,4,"1,027",29,383,76,27,-7,556,"2,287","3,189",1,100,"76,257","87,418","26,044",13,4,"1,027",29,383,76,27,-7,556,"2,287","3,189",1,100,"76,257","87,418","26,044",13,4,"1,027",29,383,76,27,-7,556,"2,287","3,189",1,100,"76,257","87,418","26,044",13,4,"1,027",29,383,76,27,-7,556,"2,287","3,189",0,0,,,,,,,,,,,,,,,1,100,"76,257","87,418","26,044",13,4,"1,027",29,383,76,27,-7,556,"2,287","3,189",1,100,"76,257","87,418","26,044",13,4,"1,027",29,383,76,27,-7,556,"2,287","3,189"
A10,1,100,"75,418","87,148","14,574",326,28,"1,813",70,"3,338",-153,35,-109,809,935,"3,402",1,100,"75,418","87,148","14,574",326,28,"1,813",70,"3,338",-153,35,-109,809,935,"3,402",1,100,"75,418","87,148","14,574",326,28,"1,813",70,"3,338",-153,35,-109,809,935,"3,402",1,100,"75,418","87,148","14,574",326,28,"1,813",70,"3,338",-153,35,-109,809,935,"3,402",1,100,"75,418","87,148","14,574",326,28,"1,813",70,"3,338",-153,35,-109,809,935,"3,402",1,100,"75,418","87,148","14,574",326,28,"1,813",70,"3,338",-153,35,-109,809,935,"3,402",0,0,,,,,,,,,,,,,,,1,100,"75,418","87,148","14,574",326,28,"1,813",70,"3,338",-153,35,-109,809,935,"3,402",1,100,"75,418","87,148","14,574",326,28,"1,813",70,"3,338",-153,35,-109,809,935,"3,402"
