"Plate_well","exp","fcs.name","SingleCells.count","NonEry.count","CD56neg.count","CD14neg.count","IntermediateNeut.count","IntermediateNeut.freq.of.CD14neg","MatureNeut.count","MatureNeut.freq.of.CD14neg","MatureNeut.FSC.A","MatureNeut.SSC.A","EarlyNeut.count","EarlyNeut.freq.of.CD14neg","Mono.count","Mono.freq.of.NonEry","Mono.freq.of.CD56neg","Mono.CD11b.Median","Mono.CD14.Median","Mono.FSC.A","Mono.SSC.A","Mono2.count","Mono2.freq.of.NonEry","Mono2.freq.of.CD56neg","Mono2.CD11b.Median","Mono2.CD14.Median","Mono2.FSC.A","Mono2.SSC.A","Ery.count","IntermediateNeut.FSC.A","IntermediateNeut.SSC.A","EarlyNeut.FSC.A","EarlyNeut.SSC.A","CD66bNeut.CD11b.Median","CD66bNeut.CD66b.Median","CD66bNeut.FSC.A","CD66bNeut.SSC.A","TrueFalse"
"14_A11","ARCH4","PLATE 14_A11_A11_011.fcs",8760,8698,8695,4271,11,0.26,2,0.047,82432,68288,3715,87,2532,29.1,29.1,1863,2539,97600,93376,2524,29,29,1863,2544,93312,97600,0,86592,75200,100096,84352,478,21010,86592,75200,"TRUE"
"14_A12","ARCH4","PLATE 14_A12_A12_012.fcs",333,330,323,2,0,0,0,0,NA,NA,2,100,317,96.1,98.1,12467,15384,150336,215616,314,95.2,97.2,12496,15384,215616,150336,0,NA,NA,118144,89600,NA,NA,NA,NA,"TRUE"
"14_B01","ARCH4","PLATE 14_B1_B01_013.fcs",4816,4810,4809,3164,1046,33.1,1838,58.1,93376,92352,12,0.38,845,17.6,17.6,2270,1010,99584,105216,10,0.21,0.21,4398,1249,110976,98368,0,90560,88576,68928,73984,1078,23371,92032,91328,"TRUE"
"14_B02","ARCH4","PLATE 14_B2_B02_014.fcs",3665,3642,3640,1320,631,47.8,442,33.5,93760,80704,7,0.53,1267,34.8,34.8,6240,2539,114240,123200,486,13.3,13.4,11613,3120,176320,126400,0,103552,81792,92928,54784,616,29659,98752,81408,"TRUE"
"14_B03","ARCH4","PLATE 14_B3_B03_015.fcs",490,488,487,447,0,0,0,0,NA,NA,13,2.91,5,1.02,1.03,2476,616,107328,152128,2,0.41,0.41,2044,493,85184,101568,0,NA,NA,81664,92352,NA,NA,NA,NA,"TRUE"
"14_B04","ARCH4","PLATE 14_B4_B04_016.fcs",17744,15704,15698,2242,703,31.4,81,3.61,99968,96000,1074,47.9,12487,79.5,79.5,2563,2136,100800,118144,12333,78.5,78.6,2558,2148,117888,100736,0,106432,88320,92096,92736,453,11045,105920,89344,"TRUE"
"14_B05","ARCH4","PLATE 14_B5_B05_017.fcs",25717,22709,22708,8828,4,0.045,0,0,NA,NA,6880,77.9,11905,52.4,52.4,2297,2355,97152,98112,11888,52.3,52.4,2297,2355,98048,97152,0,77696,104640,96896,80512,423,3886,77696,104640,"TRUE"
"14_B06","ARCH4","PLATE 14_B6_B06_018.fcs",5300,5224,5224,1853,1166,62.9,402,21.7,93248,82432,34,1.83,2764,52.9,52.9,5799,1561,115136,149056,1697,32.5,32.5,6363,2087,171392,124800,0,107584,84928,90240,86528,461,31039,103424,84224,"TRUE"
"14_B07","ARCH4","PLATE 14_B7_B07_019.fcs",1244,1196,1194,683,2,0.29,1,0.15,63936,85760,601,88,25,2.09,2.09,1495,1935,112768,97024,25,2.09,2.09,1495,1935,97024,112768,0,104896,88960,111808,91904,547,70707,104896,88960,"TRUE"
"14_B08","ARCH4","PLATE 14_B8_B08_020.fcs",22803,19667,19666,7936,6,0.076,0,0,NA,NA,7502,94.5,8800,44.7,44.7,2060,2382,94400,97728,8790,44.7,44.7,2060,2382,97664,94400,0,105472,83136,104000,85440,370,4633,105472,83136,"TRUE"
