Sort_id,All Events FSC-A Median,All Events FSC-W Median,All Events SSC-A Median,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Median,All Events Lin 488 530/30-A Median,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Median,All Events Time Median,Cell_seeded
1_F6,98332,85144,64193,-6,11,1220,-42,1113,-66,157,15457,75,721,34435,HSC
1_F7,81713,84194,108527,186,79,2069,4,1210,-105,695,5248,222,1141,34240,HSC
1_F8,126365,89283,62447,190,24,1757,30,767,-36,212,5730,115,1006,34046,HSC
1_F9,110536,84351,86332,225,102,4540,1173,1539,-95,365,34370,178,2270,33856,HSC
1_F10,111874,87334,71809,239,79,3944,66,3249,-116,602,14614,333,1360,33664,HSC
1_F11,124153,86882,68575,197,113,3908,320,970,-227,156,9293,118,2159,33468,HSC
1_F12,103926,87643,50911,99,44,1180,271,499,27,361,3213,122,1143,33252,HSC
1_G1,109781,86900,49608,200,15,1515,264,713,42,227,3058,202,750,35609,HSC
1_G2,79961,96973,106195,168,130,2375,360,1072,58,1184,8003,277,1995,35800,HSC
1_G3,108829,86186,47155,92,132,1977,-99,1862,-29,350,31543,178,1467,35992,HSC
1_G4,123711,88776,68237,14,43,1684,994,1591,13,437,6323,187,1241,36187,HSC
1_G5,115814,87530,69904,97,35,1884,4835,724,125,639,3601,258,3398,36380,HSC
1_G6,125126,86514,51538,137,38,871,21,614,95,1449,2717,121,1388,36580,HSC
1_G7,109718,83603,61543,270,34,3094,43,2204,-104,240,9801,198,1994,36780,HSC
1_G8,130283,87994,62501,167,98,2243,3413,469,26,632,19934,244,2657,36995,HSC
1_G9,135133,90902,52712,354,28,757,163,9052,-79,868,2140,249,1759,37193,HSC
1_G10,116210,87853,58709,122,19,2567,110,939,-134,424,7891,184,975,37386,HSC
1_G11,85158,81042,70460,1,16,3382,63,1801,-108,224,12402,175,1485,37577,HSC
1_G12,106425,85958,76820,127,61,4498,92,6052,-244,170,11736,252,1365,37770,HSC
1_H1,111554,84540,51672,33,95,2948,103,4684,-86,406,17963,337,1792,40214,HSC
1_H2,119766,88007,68635,133,71,1341,89,687,-7,460,3655,245,683,40020,HSC
1_H3,112695,83303,47331,36,-34,867,83,5286,62,660,1595,177,1839,39829,HSC
1_H4,105228,90713,75979,264,36,2437,99,2156,26,210,35154,362,1673,39632,HSC
1_H5,88477,81067,53970,116,-13,3296,112,1008,-92,338,7579,165,1341,39416,HSC
1_H6,127539,92104,75509,-60,28,1747,102,1750,-56,269,13909,220,1787,39221,HSC
1_H7,117516,89384,48824,-117,82,1442,172,20116,-26,1958,86,292,1605,39027,HSC
1_H8,109423,84945,74129,153,57,3708,74,876,-196,593,5862,207,1137,38835,HSC
1_H9,125016,95037,57967,70,15,2015,454,2532,-76,393,4157,180,1166,38639,HSC
1_H10,109463,85301,54685,4,42,2287,195,1750,-15,380,8952,193,1158,38395,HSC
1_H11,124383,88910,66925,188,33,1341,304,909,52,297,3851,111,1062,38165,HSC
1_H12,129535,93800,65418,286,51,3796,984,1576,10,463,10673,255,2314,37964,HSC
2_A1,112658,88277,69876,29,73,2922,18,1753,-130,394,15869,339,1876,21346,HSC
2_A2,121219,86473,65391,179,85,2452,550,1041,45,361,5634,212,1566,21591,HSC
2_A3,108333,85121,77105,145,121,3745,20,1397,66,234,26311,305,3074,21788,HSC
2_A4,120269,87174,75981,164,104,1879,356,1301,-103,461,8638,138,1069,21978,HSC
2_A5,91519,82079,80762,117,53,2789,330,1217,-208,374,7201,338,1629,22197,HSC
2_A6,112547,85498,57599,103,51,2389,373,465,-161,398,4773,182,1492,22395,HSC
2_A7,106497,86817,54769,3,-4,1906,186,1989,-135,399,5404,126,932,22586,HSC
2_A8,105640,84439,51024,136,22,1404,82,1072,-43,169,3259,181,481,22779,HSC
2_A9,124029,87360,57085,-35,53,820,52,2645,76,600,2044,221,1133,22974,HSC
2_A10,109917,86260,60644,64,99,3252,-29,875,-118,520,8756,226,2109,23189,HSC
2_A11,98083,83767,50871,57,144,2202,1314,1386,30,197,4612,118,587,23387,HSC
2_A12,115940,86634,52696,306,33,2152,40,2406,-51,306,10480,103,1417,23579,HSC
2_B1,115109,86551,59339,152,9,2408,-2,1157,-53,170,6796,192,1311,25941,HSC
2_B2,113255,89255,47142,-20,76,1765,340,696,-68,17,7622,179,655,25743,HSC
2_B3,135541,92354,72199,87,-20,1130,-27,6194,-23,761,1928,222,2009,25541,HSC
2_B4,135247,90292,56638,61,69,2286,24,2073,-43,658,10986,419,3381,25351,HSC
2_B5,107472,84498,62752,89,69,3692,97,7475,-143,922,12884,166,1437,25156,HSC
2_B6,109984,85797,66928,79,36,1907,8,830,67,275,22845,327,1544,24941,HSC
2_B7,115713,88676,61543,22,48,1344,129,1245,15,346,10096,230,1472,24748,HSC
2_B8,115232,87521,76739,135,78,2305,218,2245,47,164,12326,224,993,24553,HSC
2_B9,89623,84725,83966,135,115,3125,582,3370,-108,291,7623,226,1412,24360,HSC
2_B10,80729,82531,77010,132,93,3041,58,4109,91,362,9047,222,923,24169,HSC
2_B11,126016,90599,57038,230,42,2562,91,821,-44,550,7309,187,1739,23969,HSC
