Plate_well,variable,Sort_id
Plate 4_B8,Plate 4,4_B8
Plate 4_B9,Plate 4,4_B9
Plate 4_B11,Plate 4,4_B11
Plate 4_B12,Plate 4,4_B12
Plate 4_C1,Plate 4,4_C1
Plate 4_C2,Plate 4,4_C2
Plate 4_C3,Plate 4,4_C3
Plate 4_C4,Plate 4,4_C4
Plate 4_C5,Plate 4,4_C5
Plate 4_C6,Plate 4,4_C6
Plate 4_C7,Plate 4,4_C7
Plate 4_C8,Plate 4,4_C8
Plate 4_C9,Plate 4,4_C9
Plate 4_C10,Plate 4,4_C10
Plate 4_C11,Plate 4,4_C11
Plate 4_C12,Plate 4,4_C12
Plate 4_D1,Plate 4,4_D1
Plate 4_D2,Plate 4,4_D2
Plate 4_D4,Plate 4,4_D4
Plate 4_D5,Plate 4,4_D5
Plate 4_D6,Plate 4,4_D6
Plate 4_D7,Plate 4,4_D7
Plate 4_D8,Plate 4,4_D8
Plate 4_D9,Plate 4,4_D9
Plate 4_D10,Plate 4,4_D10
Plate 4_D11,Plate 4,4_D11
Plate 4_D12,Plate 4,4_D12
Plate 4_E1,Plate 4,4_E1
Plate 4_E2,Plate 4,4_E2
Plate 4_E3,Plate 4,4_E3
Plate 4_E5,Plate 4,4_E5
Plate 4_E6,Plate 4,4_E6
Plate 4_E7,Plate 4,4_E7
Plate 4_E8,Plate 4,4_E8
Plate 4_E9,Plate 4,4_E9
Plate 4_E10,Plate 4,4_E10
Plate 4_E11,Plate 4,4_E11
Plate 4_E12,Plate 4,4_E12
Plate 4_F1,Plate 4,4_F1
Plate 4_F2,Plate 4,4_F2
Plate 4_F3,Plate 4,4_F3
Plate 4_F4,Plate 4,4_F4
Plate 4_F5,Plate 4,4_F5
Plate 4_F6,Plate 4,4_F6
Plate 4_F7,Plate 4,4_F7
Plate 4_F8,Plate 4,4_F8
Plate 4_F9,Plate 4,4_F9
Plate 4_F10,Plate 4,4_F10
Plate 4_F11,Plate 4,4_F11
Plate 4_F12,Plate 4,4_F12
Plate 4_G1,Plate 4,4_G1
Plate 4_G3,Plate 4,4_G3
Plate 4_G4,Plate 4,4_G4
Plate 4_G5,Plate 4,4_G5
Plate 4_G6,Plate 4,4_G6
Plate 4_G7,Plate 4,4_G7
Plate 4_G8,Plate 4,4_G8
Plate 4_G9,Plate 4,4_G9
Plate 4_H1,Plate 4,4_H1
Plate 4_H2,Plate 4,4_H2
Plate 4_H3,Plate 4,4_H3
Plate 4_H4,Plate 4,4_H4
Plate 4_H6,Plate 4,4_H6
Plate 4_H7,Plate 4,4_H7
Plate 4_H8,Plate 4,4_H8
Plate 4_H9,Plate 4,4_H9
Plate 4_H10,Plate 4,4_H10
Plate 4_H11,Plate 4,4_H11
Plate 4_H12,Plate 4,4_H12
Plate 5 _A4,Plate 5 ,5_A4
Plate 5 _A5,Plate 5 ,5_A5
Plate 5 _A7,Plate 5 ,5_A7
Plate 5 _A9,Plate 5 ,5_A9
Plate 5 _A12,Plate 5 ,5_A12
Plate 5 _B1,Plate 5 ,5_B1
Plate 5 _B2,Plate 5 ,5_B2
Plate 5 _B3,Plate 5 ,5_B3
Plate 5 _B4,Plate 5 ,5_B4
Plate 5 _B5,Plate 5 ,5_B5
Plate 5 _B6,Plate 5 ,5_B6
Plate 5 _B8,Plate 5 ,5_B8
Plate 5 _B9,Plate 5 ,5_B9
Plate 5 _B10,Plate 5 ,5_B10
Plate 5 _B11,Plate 5 ,5_B11
Plate 5 _C2,Plate 5 ,5_C2
Plate 5 _C3,Plate 5 ,5_C3
Plate 5 _C5,Plate 5 ,5_C5
Plate 5 _C7,Plate 5 ,5_C7
Plate 5 _C8,Plate 5 ,5_C8
Plate 5 _C10,Plate 5 ,5_C10
Plate 5 _C11,Plate 5 ,5_C11
Plate 5 _D1,Plate 5 ,5_D1
Plate 5 _D2,Plate 5 ,5_D2
Plate 5 _D4,Plate 5 ,5_D4
Plate 5 _D5,Plate 5 ,5_D5
Plate 5 _D6,Plate 5 ,5_D6
Plate 5 _D7,Plate 5 ,5_D7
Plate 5 _D8,Plate 5 ,5_D8
Plate 5 _D9,Plate 5 ,5_D9
Plate 5 _D10,Plate 5 ,5_D10
Plate 5 _D11,Plate 5 ,5_D11
Plate 5 _D12,Plate 5 ,5_D12
Plate 5 _E1,Plate 5 ,5_E1
Plate 5 _E2,Plate 5 ,5_E2
Plate 5 _E3,Plate 5 ,5_E3
Plate 5 _E4,Plate 5 ,5_E4
Plate 5 _E5,Plate 5 ,5_E5
Plate 5 _E7,Plate 5 ,5_E7
Plate 5 _E8,Plate 5 ,5_E8
Plate 5 _E10,Plate 5 ,5_E10
Plate 5 _E11,Plate 5 ,5_E11
Plate 5 _F1,Plate 5 ,5_F1
Plate 5 _F2,Plate 5 ,5_F2
Plate 5 _F3,Plate 5 ,5_F3
Plate 5 _F4,Plate 5 ,5_F4
Plate 5 _F5,Plate 5 ,5_F5
Plate 5 _F6,Plate 5 ,5_F6
Plate 5 _F7,Plate 5 ,5_F7
Plate 5 _F8,Plate 5 ,5_F8
Plate 5 _F9,Plate 5 ,5_F9
Plate 5 _F10,Plate 5 ,5_F10
Plate 5 _F11,Plate 5 ,5_F11
Plate 5 _G2,Plate 5 ,5_G2
Plate 5 _G3,Plate 5 ,5_G3
Plate 5 _G4,Plate 5 ,5_G4
Plate 5 _G5,Plate 5 ,5_G5
Plate 5 _G6,Plate 5 ,5_G6
