Plate_well,Sort_id,Exp
2_D10,2_E3,LEUK19
2_D11,2_E2,LEUK19
2_D12,2_E1,LEUK19
2_E1,2_D12,LEUK19
2_E2,2_D11,LEUK19
2_E3,2_D10,LEUK19
2_E4,2_D9,LEUK19
2_E5,2_D8,LEUK19
2_E6,2_D7,LEUK19
2_E7,2_D6,LEUK19
2_E8,2_D5,LEUK19
2_E9,2_D4,LEUK19
2_E10,2_D3,LEUK19
2_E11,2_D2,LEUK19
2_E12,2_D1,LEUK19
2_F2,2_C11,LEUK19
2_F3,2_C10,LEUK19
2_F4,2_C9,LEUK19
2_F5,2_C8,LEUK19
2_F6,2_C7,LEUK19
2_F7,2_C6,LEUK19
2_F8,2_C5,LEUK19
2_F9,2_C4,LEUK19
2_F10,2_C3,LEUK19
2_F11,2_C2,LEUK19
2_F12,2_C1,LEUK19
2_G1,2_B12,LEUK19
2_G2,2_B11,LEUK19
2_G3,2_B10,LEUK19
2_G6,2_B7,LEUK19
2_G7,2_B6,LEUK19
2_G8,2_B5,LEUK19
2_G9,2_B4,LEUK19
2_G10,2_B3,LEUK19
2_G12,2_B1,LEUK19
2_H1,2_A12,LEUK19
2_H2,2_A11,LEUK19
2_H3,2_A10,LEUK19
2_H4,2_A9,LEUK19
2_H5,2_A8,LEUK19
2_H6,2_A7,LEUK19
2_H7,2_A6,LEUK19
2_H8,2_A5,LEUK19
2_H9,2_A4,LEUK19
2_H10,2_A3,LEUK19
2_H11,2_A2,LEUK19
2_H12,2_A1,LEUK19
3_A1,3_A1,LEUK19
3_A3,3_A3,LEUK19
3_A4,3_A4,LEUK19
3_A5,3_A5,LEUK19
3_A7,3_A7,LEUK19
3_A8,3_A8,LEUK19
3_A9,3_A9,LEUK19
3_A10,3_A10,LEUK19
3_A11,3_A11,LEUK19
3_A12,3_A12,LEUK19
3_B1,3_B1,LEUK19
3_B2,3_B2,LEUK19
3_B3,3_B3,LEUK19
3_B4,3_B4,LEUK19
3_B7,3_B7,LEUK19
3_B8,3_B8,LEUK19
3_B10,3_B10,LEUK19
3_B11,3_B11,LEUK19
3_B12,3_B12,LEUK19
3_C1,3_C1,LEUK19
3_C3,3_C3,LEUK19
3_C4,3_C4,LEUK19
3_C5,3_C5,LEUK19
3_C6,3_C6,LEUK19
3_C8,3_C8,LEUK19
3_C9,3_C9,LEUK19
3_C10,3_C10,LEUK19
3_C11,3_C11,LEUK19
3_C12,3_C12,LEUK19
3_D1,3_D1,LEUK19
3_D2,3_D2,LEUK19
3_D3,3_D3,LEUK19
3_D5,3_D5,LEUK19
3_D6,3_D6,LEUK19
3_D7,3_D7,LEUK19
3_D8,3_D8,LEUK19
3_D9,3_D9,LEUK19
3_D10,3_D10,LEUK19
3_D11,3_D11,LEUK19
3_D12,3_D12,LEUK19
3_E1,3_E1,LEUK19
3_E2,3_E2,LEUK19
3_E4,3_E4,LEUK19
3_E5,3_E5,LEUK19
3_E6,3_E6,LEUK19
3_E7,3_E7,LEUK19
3_E9,3_E9,LEUK19
3_E11,3_E11,LEUK19
3_E12,3_E12,LEUK19
3_F1,3_F1,LEUK19
3_F2,3_F2,LEUK19
3_F3,3_F3,LEUK19
3_F4,3_F4,LEUK19
3_F5,3_F5,LEUK19
3_F6,3_F6,LEUK19
3_F7,3_F7,LEUK19
3_F8,3_F8,LEUK19
3_F9,3_F9,LEUK19
3_F10,3_F10,LEUK19
3_F11,3_F11,LEUK19
3_F12,3_F12,LEUK19
3_G1,3_G1,LEUK19
3_G2,3_G2,LEUK19
3_G3,3_G3,LEUK19
3_G4,3_G4,LEUK19
3_G6,3_G6,LEUK19
3_G7,3_G7,LEUK19
3_G8,3_G8,LEUK19
3_G9,3_G9,LEUK19
3_G10,3_G10,LEUK19
3_G11,3_G11,LEUK19
3_G12,3_G12,LEUK19
3_H2,3_H2,LEUK19
3_H3,3_H3,LEUK19
3_H4,3_H4,LEUK19
3_H5,3_H5,LEUK19
3_H6,3_H6,LEUK19
3_H7,3_H7,LEUK19
3_H8,3_H8,LEUK19
3_H9,3_H9,LEUK19
3_H10,3_H10,LEUK19
3_H12,3_H12,LEUK19
4_A2,4_A2,LEUK19
4_A4,4_A4,LEUK19
4_B1,4_B1,LEUK19
4_B2,4_B2,LEUK19
4_B3,4_B3,LEUK19
4_B5,4_B5,LEUK19
4_C1,4_C1,LEUK19
4_C2,4_C2,LEUK19
4_C3,4_C3,LEUK19
4_C4,4_C4,LEUK19
4_C5,4_C5,LEUK19
4_C6,4_C6,LEUK19
4_D1,4_D1,LEUK19
4_D2,4_D2,LEUK19
4_D3,4_D3,LEUK19
4_D4,4_D4,LEUK19
4_D5,4_D5,LEUK19
4_D6,4_D6,LEUK19
4_D7,4_D7,LEUK19
4_E1,4_E1,LEUK19
4_E5,4_E5,LEUK19
4_E6,4_E6,LEUK19
4_E7,4_E7,LEUK19
4_F1,4_F1,LEUK19
4_F3,4_F3,LEUK19
4_F4,4_F4,LEUK19
4_F5,4_F5,LEUK19
4_F7,4_F7,LEUK19
4_F12,4_F12,LEUK19
4_G1,4_G1,LEUK19
4_G2,4_G2,LEUK19
4_G3,4_G3,LEUK19
4_G4,4_G4,LEUK19
4_G5,4_G5,LEUK19
4_G7,4_G7,LEUK19
4_H1,4_H1,LEUK19
4_H2,4_H2,LEUK19
4_H3,4_H3,LEUK19
4_H6,4_H6,LEUK19
