plate_well,#Events,%Parent,FSC-A,FSC-W,SSC-A,CD38,CD45RA,CD34,CD19,ZOMBIE,CD33,CD49F,CD90,V405,Time,Cell_seeded
4_B5,1,NA,105026,82745,21890,-126,25,1449,26,300,123,1068,2160,NA,7949,HSC
4_B6,1,NA,105317,80042,19451,42,31,1182,71,220,77,662,20,NA,6964,HSC
4_B7,1,NA,100022,78283,20205,-12,35,1024,29,165,14,271,32,NA,6712,HSC
4_B8,1,NA,98073,78453,17915,97,31,1322,16,214,-36,2388,11,NA,6155,HSC
4_B9,1,NA,100546,79572,20809,-97,26,1370,37,153,67,880,329,NA,5739,HSC
4_B10,1,NA,91322,78462,13866,28,-9,1462,32,159,46,625,35,NA,5082,HSC
4_B11,1,NA,100601,79172,16966,-77,-15,1596,18,178,221,1209,28,NA,4825,HSC
4_B12,1,NA,111158,81962,30200,-40,35,1722,9,183,272,94,345,NA,4300,HSC
4_C1,1,NA,95454,80452,30018,237,56,1447,85,252,30,341,43,NA,9482,HSC
4_C2,1,NA,98486,82355,29096,22,68,1213,-1,141,68,288,52,NA,9696,HSC
4_C3,1,NA,91777,78598,15067,-75,73,1410,57,137,39,552,87,NA,10050,HSC
4_C4,1,NA,113073,83028,18972,-61,21,1399,33,226,35,536,318,NA,10654,HSC
4_C5,1,NA,98412,78191,23055,-3,15,1700,23,151,73,395,76,NA,10945,HSC
4_C6,1,NA,100885,82932,18436,16,23,1408,43,196,132,592,571,NA,11389,HSC
4_C7,1,NA,97124,78641,21797,76,13,1133,17,156,-3,1304,1222,NA,11787,HSC
4_C8,1,NA,103314,78276,19973,-2,-8,1108,31,180,74,953,76,NA,13141,HSC
4_C9,1,NA,83318,76377,14487,66,-3,853,6,83,34,590,312,NA,13467,HSC
4_C10,1,NA,111246,83846,19145,60,32,1839,15,209,137,588,70,NA,13734,HSC
4_C11,1,NA,95516,77323,20384,158,31,1770,0,125,40,272,148,NA,14145,HSC
4_C12,1,NA,89925,77471,22556,190,29,1018,21,174,8,796,34,NA,14562,HSC
4_D1,1,NA,103323,80159,23890,-93,1,1847,-5,196,141,710,863,NA,19572,HSC
4_D2,1,NA,114118,80559,20739,200,65,1830,40,335,72,1351,73,NA,19310,HSC
4_D3,1,NA,97196,78243,14766,210,41,917,19,163,45,359,36,NA,18232,HSC
4_D4,1,NA,95305,77938,20829,-71,3,1575,9,227,61,1300,136,NA,18014,HSC
4_D5,1,NA,101355,80336,20732,-41,8,1688,12,195,125,1194,325,NA,17526,HSC
4_D6,1,NA,92020,76500,17873,23,38,1234,11,146,53,1797,354,NA,17284,HSC
4_D7,1,NA,100458,80711,22105,-45,56,1838,5,234,38,1048,9,NA,16751,HSC
4_D8,1,NA,111013,87102,21297,-98,62,1319,33,196,78,775,2,NA,16377,HSC
4_D9,1,NA,84364,85634,27667,-18,15,983,32,184,48,696,48,NA,15993,HSC
4_D10,1,NA,105632,79989,27754,132,22,1288,2,128,23,534,-65,NA,15580,HSC
4_D11,1,NA,98237,78152,18817,-65,3,1439,37,153,8,1116,37,NA,15336,HSC
4_D12,1,NA,91710,78358,16144,96,45,1083,57,150,77,201,-13,NA,14849,HSC
4_E1,1,NA,105946,79209,19036,71,41,1428,30,127,453,163,616,NA,19957,HSC
4_E2,1,NA,95511,79648,20790,-10,17,1024,63,153,52,1000,-24,NA,20324,HSC
4_E3,1,NA,92058,77588,17181,111,53,1083,12,108,86,1196,496,NA,20869,HSC
4_E4,1,NA,112635,83281,29896,-23,19,1458,28,187,187,1088,78,NA,21178,HSC
4_E5,1,NA,114133,80929,23283,135,37,1896,57,279,86,661,1480,NA,21567,HSC
4_E6,1,NA,97652,80018,18122,121,49,1317,3,177,49,1018,2598,NA,22000,HSC
4_E7,1,NA,95508,78556,22077,-17,-56,1112,-15,154,57,787,49,NA,22333,HSC
4_E8,1,NA,95971,79259,15174,-74,25,1766,49,222,32,696,34,NA,22959,HSC
4_E9,1,NA,91965,78903,15718,124,1,1364,28,197,80,1384,1004,NA,23419,HSC
4_E10,1,NA,97832,79489,22713,-12,25,1124,34,142,13,219,76,NA,23850,HSC
4_E11,1,NA,94323,79023,22856,-65,23,1598,22,236,58,818,2568,NA,24435,HSC
4_E12,1,NA,91290,76886,16976,69,31,1389,53,188,64,1130,140,NA,24757,HSC
4_F1,1,NA,96600,79894,25098,-24,45,1041,55,138,31,420,-2,NA,30693,HSC
4_F2,1,NA,99387,79281,20439,-28,74,1609,14,196,36,306,115,NA,30443,HSC
4_F3,1,NA,116768,81505,21303,63,38,1843,55,178,6,576,178,NA,30059,HSC
4_F4,1,NA,110480,80101,18966,16,34,2134,21,230,56,1101,468,NA,28400,HSC
4_F5,1,NA,101068,81137,16079,-112,36,1388,14,145,93,191,54,NA,27900,HSC
4_F6,1,NA,112017,81079,26261,2,39,1820,34,209,-4,443,93,NA,27641,HSC
4_F7,1,NA,101745,79746,19049,-18,9,1407,-6,194,81,140,349,NA,27424,HSC
4_F8,1,NA,99999,80921,21080,39,62,1528,36,279,48,228,75,NA,26961,HSC
4_F9,1,NA,93179,76852,14564,-26,72,940,51,140,-17,798,308,NA,26502,HSC
4_F10,1,NA,103387,79759,17717,-5,-7,1164,22,203,50,1206,374,NA,25924,HSC
4_F11,1,NA,115090,84333,23271,-68,67,1197,62,210,-2,1599,51,NA,25575,HSC
4_F12,1,NA,121087,85099,28857,60,24,1628,36,308,76,275,-38,NA,25050,HSC
4_G1,1,NA,98062,79238,21713,-56,24,1339,47,215,204,480,277,NA,31049,HSC
4_G2,1,NA,90799,79846,27810,-41,22,1194,43,157,154,41,28,NA,31432,HSC
4_G3,1,NA,106462,79949,19006,-65,-4,1402,28,150,-4,426,74,NA,32140,HSC
4_G4,1,NA,138135,84831,39077,78,35,2088,33,241,-42,368,10,NA,32449,HSC
4_G5,1,NA,91917,80170,21657,-19,33,1969,84,180,71,337,122,NA,32668,HSC
4_G6,1,NA,96764,78373,18478,123,25,969,10,144,140,-17,2570,NA,32895,HSC
4_G7,1,NA,98288,78419,21691,-48,-10,1572,8,153,78,320,159,NA,33106,HSC
4_G8,1,NA,102083,78471,21826,103,28,1112,11,165,76,635,26,NA,33727,HSC
4_G9,1,NA,104131,80262,18084,88,32,1281,30,196,107,316,400,NA,34073,HSC
4_G10,1,NA,94723,81890,32392,-83,16,1697,79,284,146,469,215,NA,34596,HSC
4_G11,1,NA,95369,78695,18485,-32,9,993,28,147,63,443,17,NA,34858,HSC
4_G12,1,NA,99835,86587,43644,10,41,1399,48,190,9,320,75,NA,35750,HSC
4_H1,1,NA,93044,79967,21660,0,41,1435,34,154,38,684,384,NA,41144,HSC
4_H2,1,NA,103902,79822,28743,52,71,1010,38,233,90,517,614,NA,40895,HSC
4_H3,1,NA,91408,76869,16898,70,18,1591,21,161,101,875,262,NA,40499,HSC
4_H4,1,NA,102420,79712,25690,88,64,1443,21,183,117,857,412,NA,40166,HSC
4_H5,1,NA,102160,80250,20936,207,139,990,52,121,4,224,77,NA,39460,HSC
4_H6,1,NA,102531,79662,22001,8,12,1626,24,174,5,1693,31,NA,38911,HSC
4_H7,1,NA,97690,76650,18748,-8,31,1545,24,198,27,1212,13,NA,38265,HSC
4_H8,1,NA,99260,80425,36723,-73,-27,1510,70,247,12,598,862,NA,38026,HSC
4_H9,1,NA,88935,76931,17574,-146,3,1454,10,153,8,1232,33,NA,37744,HSC
4_H10,1,NA,91971,76723,13690,36,9,1029,41,123,140,696,648,NA,37348,HSC
4_H11,1,NA,89099,76019,16041,111,25,1325,33,128,51,535,741,NA,36875,HSC
4_H12,1,NA,109150,80080,21584,8,32,1765,36,168,114,353,6,NA,36449,HSC
5_A4,1,NA,88706,78142,16324,55,60,1207,43,138,-36,536,74,NA,713,HSC
5_A5,1,NA,93491,78157,22499,3,13,1146,13,127,40,814,23,NA,981,HSC
5_A6,1,NA,101449,78433,18211,-38,66,1212,57,201,32,324,20,NA,1257,HSC
5_A7,1,NA,99335,79318,18971,29,7,1356,32,119,177,95,323,NA,1529,HSC
5_A8,1,NA,92815,80268,29364,102,21,978,67,217,91,178,324,NA,1783,HSC
5_A9,1,NA,110414,82939,21563,-124,45,1306,52,102,88,273,67,NA,2130,HSC
5_A10,1,NA,90515,78680,14319,19,-22,1485,30,185,96,862,164,NA,2577,HSC
5_A11,1,NA,102959,79071,19248,-105,-16,1645,24,186,132,1671,92,NA,3198,HSC
5_A12,1,NA,93935,77226,18171,-2,22,1132,23,190,49,1262,-15,NA,3440,HSC
5_B1,1,NA,98603,77795,16140,121,65,935,48,161,82,406,32,NA,10483,HSC
5_B2,1,NA,100847,79360,17367,-24,21,1634,49,173,135,810,851,NA,10031,HSC
5_B3,1,NA,110996,82200,19544,71,9,1403,21,138,116,312,158,NA,9276,HSC
5_B4,1,NA,110527,83776,22863,33,79,1352,46,233,7,2340,553,NA,8710,HSC
5_B5,1,NA,90368,77506,22951,10,-2,1080,55,117,40,559,67,NA,7446,HSC
5_B6,1,NA,84382,75892,16754,80,82,1437,32,172,79,791,62,NA,7249,HSC
5_B7,1,NA,102538,80339,23352,-15,67,1815,12,241,48,815,352,NA,6869,HSC
5_B8,1,NA,100143,78651,17634,-34,38,947,10,159,1019,124,107,NA,6615,HSC
5_B9,1,NA,95563,78239,18104,-29,-2,1243,65,164,55,363,-33,NA,6325,HSC
5_B10,1,NA,98208,79209,21288,106,-45,1311,55,218,71,742,380,NA,5118,HSC
5_B11,1,NA,118230,82532,32463,-10,-18,2065,15,246,71,207,72,NA,4109,HSC
5_B12,1,NA,93557,80153,24663,-6,-13,1173,38,170,-24,1193,330,NA,3724,HSC
5_C1,1,NA,86999,77248,20546,179,37,1364,85,202,212,1445,153,NA,11024,HSC
5_C2,1,NA,99924,79047,19637,-58,-3,895,58,160,66,1667,76,NA,11463,HSC
5_C3,1,NA,103708,79284,19374,234,81,1255,40,144,57,109,174,NA,12165,HSC
5_C4,1,NA,106761,80453,19175,-29,-7,1623,13,137,38,396,39,NA,12416,HSC
5_C5,1,NA,107722,80822,20397,-143,72,2321,24,185,-16,1311,82,NA,12635,HSC
5_C6,1,NA,72448,79913,29735,42,53,858,33,150,96,58,78,NA,12960,HSC
5_C7,1,NA,104486,81541,16529,-46,73,1638,28,399,78,425,104,NA,13237,HSC
5_C8,1,NA,94882,79667,26899,-42,50,2359,45,353,105,672,6457,NA,13844,HSC
5_C9,1,NA,95628,80247,18085,-7,45,1307,26,141,125,854,95,NA,14108,HSC
5_C10,1,NA,100301,80359,20359,23,50,1435,16,247,22,918,371,NA,14376,HSC
5_C11,1,NA,96287,77620,16321,0,32,1739,66,144,-39,388,86,NA,14713,HSC
5_C12,1,NA,92747,77145,15943,-39,-13,1361,49,156,29,648,-19,NA,15421,HSC
5_D1,1,NA,84115,76656,14380,-50,43,1537,33,144,87,606,130,NA,20262,HSC
5_D2,1,NA,96471,77694,17148,30,-2,923,56,152,127,413,62,NA,19431,HSC
5_D3,1,NA,85014,77577,18349,-68,18,1199,75,188,25,178,184,NA,19216,HSC
5_D4,1,NA,80286,76829,17051,181,-20,1300,59,149,105,642,13,NA,18933,HSC
5_D5,1,NA,95711,77421,21393,-138,19,1575,28,224,23,422,273,NA,18719,HSC
5_D6,1,NA,103108,78643,14207,-71,86,1530,51,152,-2,459,12,NA,18381,HSC
5_D7,1,NA,97059,79162,22861,-59,14,1640,36,169,-46,2028,45,NA,18076,HSC
5_D8,1,NA,110900,80221,26664,43,67,2617,40,255,280,892,545,NA,17756,HSC
5_D9,1,NA,105570,79383,15881,-20,44,896,18,149,894,129,-31,NA,17395,HSC
5_D10,1,NA,112614,80758,28286,129,54,1297,57,200,79,170,1010,NA,17102,HSC
5_D11,1,NA,102052,79547,20265,-12,13,1400,49,164,113,68,17,NA,16366,HSC
5_D12,1,NA,95903,78594,16692,31,56,1096,19,151,102,498,105,NA,16124,HSC
5_E1,1,NA,93634,78509,19040,44,32,1178,34,178,-20,370,169,NA,21199,HSC
5_E2,1,NA,97313,77872,19949,-69,-15,1089,11,231,85,782,58,NA,21485,HSC
5_E3,1,NA,109126,83150,24680,-29,55,1658,20,147,128,300,110,NA,21716,HSC
5_E4,1,NA,110463,80524,25687,186,20,1227,47,164,-37,460,97,NA,22028,HSC
5_E5,1,NA,112152,80938,26922,109,32,1821,45,167,141,309,71,NA,22419,HSC
5_E6,1,NA,103861,78864,17146,71,69,1294,41,72,32,461,152,NA,22702,HSC
5_E7,1,NA,96664,78642,17126,-151,-31,1972,17,239,257,1337,1532,NA,22969,HSC
5_E8,1,NA,101590,78693,19154,89,41,1211,31,214,154,588,187,NA,23200,HSC
5_E9,1,NA,108992,81520,19753,0,59,1327,22,189,88,1720,54,NA,23407,HSC
5_E10,1,NA,103115,80753,19626,121,73,1349,46,203,104,265,108,NA,23778,HSC
5_E11,1,NA,86881,77709,18182,18,10,919,35,204,109,190,40,NA,24309,HSC
5_E12,1,NA,101050,78506,18416,26,44,1264,22,159,77,378,329,NA,24643,HSC
5_F1,1,NA,106610,82169,32392,155,85,873,58,132,141,110,74,NA,29104,HSC
5_F2,1,NA,88834,77009,22082,5,65,1805,46,168,6,1908,285,NA,28791,HSC
5_F3,1,NA,106685,82720,23918,70,10,1183,10,156,115,634,50,NA,28516,HSC
5_F4,1,NA,86558,76371,16142,107,5,1250,22,168,13,699,379,NA,28166,HSC
5_F5,1,NA,116551,82711,24763,22,7,1514,68,248,102,440,23,NA,27661,HSC
5_F6,1,NA,103058,80090,23266,102,7,1303,-2,175,59,981,997,NA,27365,HSC
5_F7,1,NA,95550,77726,18838,-70,18,1315,22,228,30,1572,503,NA,26835,HSC
5_F8,1,NA,105262,78835,20907,-60,40,1393,11,201,5,900,464,NA,26229,HSC
5_F9,1,NA,97781,78122,17369,-114,28,1846,1,119,104,893,294,NA,25978,HSC
5_F10,1,NA,103748,79084,17280,-61,94,1357,1,177,86,900,52,NA,25406,HSC
5_F11,1,NA,109494,81733,35055,134,39,1518,69,205,90,2092,561,NA,25117,HSC
5_F12,1,NA,93776,78071,16445,1,5,810,39,171,49,307,65,NA,24834,HSC
5_G1,1,NA,104703,79174,23757,-6,56,1423,38,159,44,232,576,NA,29383,HSC
5_G2,1,NA,92242,77050,13074,-160,40,1437,21,121,27,782,69,NA,29705,HSC
5_G3,1,NA,111111,81745,29454,-22,23,1128,2,186,87,1383,114,NA,29926,HSC
5_G4,1,NA,108195,79865,21554,190,48,1776,43,203,120,178,609,NA,30128,HSC
5_G5,1,NA,102621,79413,20651,-17,5,1368,26,218,101,341,322,NA,30445,HSC
5_G6,1,NA,99629,78943,18865,112,-9,1365,47,126,65,193,15,NA,30881,HSC
