plate_well,#Events,%Parent,FSC-A,FSC-W,SSC-A,CD38,CD45RA,CD34,CD19,ZOMBIE,CD33,CD49F,CD90,V405,Time,Cell_seeded
1_F6,1,NA,83652,78209,14259,41,20,1044,28,154,83,746,378,NA,14121,HSC
1_F7,1,NA,92568,84613,29189,73,9,1602,92,260,64,428,451,NA,13926,HSC
1_F8,1,NA,107556,79650,21107,-114,24,1155,9,169,64,176,85,NA,13733,HSC
1_F9,1,NA,97320,79000,18561,143,21,1507,24,233,24,835,481,NA,13531,HSC
1_F10,1,NA,93735,77472,12853,64,4,1379,30,164,55,1034,45,NA,13335,HSC
1_F11,1,NA,99813,77777,16281,29,10,1781,17,144,71,360,27,NA,13091,HSC
1_F12,1,NA,100242,80637,25761,-13,-26,1440,17,170,60,492,20,NA,12879,HSC
1_G1,1,NA,103874,80602,22480,-109,75,2273,37,193,33,686,-30,NA,15331,HSC
1_G2,1,NA,109802,81272,22747,75,17,1411,77,188,117,-43,96,NA,15530,HSC
1_G3,1,NA,100984,78132,23582,-56,6,1293,21,177,38,1309,2,NA,15720,HSC
1_G4,1,NA,126386,88848,26516,35,55,1717,40,167,112,397,-9,NA,15934,HSC
1_G5,1,NA,105663,79803,16741,-75,23,1396,43,215,5,1593,883,NA,16132,HSC
1_G6,1,NA,110614,80774,20107,162,-2,1450,-11,177,39,908,-34,NA,16332,HSC
1_G7,1,NA,88078,76906,24734,75,22,1456,27,142,23,1357,59,NA,16522,HSC
1_G8,1,NA,100270,79700,15370,10,32,1197,32,192,25,748,593,NA,16729,HSC
1_G9,1,NA,81250,75304,13496,-42,52,1223,27,181,36,125,80,NA,16974,HSC
1_G10,1,NA,96817,78704,22201,-143,39,1288,70,209,75,736,300,NA,17173,HSC
1_G11,1,NA,104103,78859,19955,82,-12,1380,6,123,224,1452,644,NA,17367,HSC
1_G12,1,NA,98613,79379,24774,47,4,2297,32,190,67,876,382,NA,17560,HSC
1_H1,1,NA,102144,80626,19928,154,9,1445,26,195,126,95,33,NA,19952,HSC
1_H2,1,NA,106650,79768,19022,-304,55,1582,26,172,4,3193,302,NA,19756,HSC
1_H3,1,NA,86353,76876,21749,-93,-19,1700,21,180,71,4465,1445,NA,19551,HSC
1_H4,1,NA,102898,79980,20433,48,-28,1448,50,217,-21,993,421,NA,19352,HSC
1_H5,1,NA,108166,80777,28685,2,8,1568,31,219,1,385,356,NA,19135,HSC
1_H6,1,NA,91097,78657,19455,-178,63,1121,-3,56,-16,961,50,NA,18936,HSC
1_H7,1,NA,118124,88713,28597,213,53,1305,60,194,71,44,264,NA,18741,HSC
1_H8,1,NA,99754,79231,22730,-32,-7,1501,48,384,83,1354,124,NA,18546,HSC
1_H9,1,NA,97418,82208,31753,212,27,2111,60,300,153,177,-13,NA,18356,HSC
1_H10,1,NA,122604,82373,21462,-87,39,2251,17,266,22,430,1607,NA,18161,HSC
1_H11,1,NA,96818,78506,17449,-87,-5,1434,-1,47,17,601,-46,NA,17968,HSC
1_H12,1,NA,96894,76790,17416,120,51,1466,9,131,103,854,-66,NA,17777,HSC
2_A1,1,NA,101406,80308,29339,76,7,1656,47,188,46,679,36,NA,605,HSC
2_A2,1,NA,97374,77806,20993,6,16,1555,32,167,13,1528,424,NA,846,HSC
2_A3,1,NA,89647,76771,14694,-78,71,1040,9,119,25,575,73,NA,1042,HSC
2_A4,1,NA,89290,78639,16008,-9,29,1293,32,168,26,724,41,NA,1238,HSC
2_A5,1,NA,102733,79563,25203,113,31,2422,46,211,-10,1680,663,NA,1430,HSC
2_A6,1,NA,104861,78840,20835,-109,-9,1795,49,210,-25,789,-87,NA,1623,HSC
2_A7,1,NA,108707,80492,28779,-38,54,1797,14,165,-56,883,-6,NA,1827,HSC
2_A8,1,NA,98052,77175,17727,38,43,1196,24,95,91,860,128,NA,2047,HSC
2_A9,1,NA,111685,80023,27418,146,71,1405,30,213,124,92,2709,NA,2246,HSC
2_A10,1,NA,111166,83075,21670,179,49,1332,44,204,70,1514,108,NA,2433,HSC
2_A11,1,NA,99656,82226,35023,-71,18,1302,51,167,30,291,255,NA,2629,HSC
2_A12,1,NA,80929,76404,23432,-18,25,900,58,155,16,393,41,NA,2825,HSC
2_B1,1,NA,107395,82631,29501,183,11,1801,35,203,87,417,988,NA,5210,HSC
2_B2,1,NA,94464,77413,17352,91,16,1251,38,132,24,554,57,NA,5018,HSC
2_B3,1,NA,93330,77703,14183,-45,34,1170,16,95,27,2196,20,NA,4826,HSC
2_B4,1,NA,98317,79153,20764,-9,-12,1549,10,153,43,234,102,NA,4629,HSC
2_B5,1,NA,85410,77491,22430,17,65,1938,13,169,167,684,223,NA,4426,HSC
2_B6,1,NA,82989,76673,15617,-11,10,892,2,120,-37,264,247,NA,4227,HSC
2_B7,1,NA,83778,76330,16320,-91,9,1078,42,161,3,234,7,NA,4037,HSC
2_B8,1,NA,123751,94064,22641,-79,24,1388,44,134,49,810,6759,NA,3836,HSC
2_B9,1,NA,101121,78510,22279,-45,-2,1268,39,135,68,832,422,NA,3635,HSC
2_B10,1,NA,106849,79661,25660,-83,3,1958,-2,155,3,600,293,NA,3444,HSC
2_B11,1,NA,122411,81851,17980,102,33,1630,12,153,43,428,188,NA,3238,HSC
2_B12,1,NA,101095,78509,16818,-147,15,1997,6,222,22,175,236,NA,3043,HSC
2_C1,1,NA,87843,77204,13037,-203,25,1427,-6,118,-28,967,264,NA,5421,HSC
2_C2,1,NA,100372,78583,19478,43,-19,1287,-9,127,43,860,16,NA,5621,HSC
2_C3,1,NA,100625,82410,38915,61,53,1593,42,168,3,1305,162,NA,5818,HSC
2_C4,1,NA,87235,77241,18322,21,-34,1542,27,262,39,2307,336,NA,6020,HSC
2_C5,1,NA,102132,78785,21927,-27,35,1203,62,154,-6,589,202,NA,6262,HSC
2_C6,1,NA,116610,81736,23716,3,55,1401,32,170,73,1020,83,NA,6459,HSC
2_C7,1,NA,110063,81985,22086,-87,72,2211,20,155,-8,970,-5,NA,6652,HSC
2_C8,1,NA,99169,77920,15574,-18,10,1654,19,212,176,1101,63,NA,6853,HSC
2_C9,1,NA,99256,78192,22694,-97,25,1512,66,197,-21,1647,32,NA,7068,HSC
2_C10,1,NA,92997,78158,16439,-82,25,1149,29,188,-8,406,137,NA,7259,HSC
2_C11,1,NA,101237,78870,13836,60,22,1831,19,122,78,1645,33,NA,7458,HSC
2_C12,1,NA,102504,79135,17096,111,49,804,36,180,-52,978,254,NA,7664,HSC
2_D1,1,NA,99582,79473,14636,9,75,1362,38,202,46,718,290,NA,10196,HSC
2_D2,1,NA,110906,79868,32563,-100,28,2332,79,199,119,1527,127,NA,9950,HSC
2_D3,1,NA,92051,77801,12404,-6,22,980,40,86,8,301,190,NA,9730,HSC
2_D4,1,NA,102238,79751,18396,65,22,1667,9,172,-9,965,361,NA,9539,HSC
2_D5,1,NA,97381,79085,19583,-32,-12,1532,43,120,42,1104,274,NA,9342,HSC
2_D6,1,NA,111774,81517,20632,-30,39,1419,17,252,107,340,28,NA,9150,HSC
2_D7,1,NA,99925,78719,19450,-24,19,1642,40,122,20,526,128,NA,8959,HSC
2_D8,1,NA,110691,80522,24382,-34,37,1641,19,233,105,504,152,NA,8710,HSC
2_D9,1,NA,112047,80550,17341,102,58,1818,38,199,82,557,200,NA,8499,HSC
2_D10,1,NA,90338,78317,17626,-40,28,1236,20,100,59,2164,61,NA,8277,HSC
2_D11,1,NA,115148,82092,25938,191,39,1569,33,189,49,263,212,NA,8073,HSC
2_D12,1,NA,89764,78163,16464,9,68,1382,36,210,-5,279,149,NA,7859,HSC
2_E1,1,NA,104885,80333,20068,-50,24,1704,25,191,70,1119,-21,NA,10392,HSC
2_E2,1,NA,101303,79688,20174,-12,-29,933,58,191,91,1423,-13,NA,10596,HSC
2_E3,1,NA,91028,77780,16540,-57,36,999,21,66,33,478,120,NA,10793,HSC
2_E4,1,NA,108788,80485,22920,4,-7,1368,32,171,120,733,200,NA,10985,HSC
2_E5,1,NA,108658,80850,16335,108,42,921,2,166,85,16,18,NA,11199,HSC
2_E6,1,NA,97616,82260,29562,120,36,1403,43,208,25,407,126,NA,11451,HSC
2_E7,1,NA,91038,77090,15388,83,36,1362,28,122,80,257,68,NA,11665,HSC
2_E8,1,NA,81441,88528,34105,92,56,1318,36,308,77,19,233,NA,11877,HSC
2_E9,1,NA,94983,78833,24029,26,9,1705,46,151,39,285,38,NA,12074,HSC
2_E10,1,NA,96933,78365,16672,53,27,1261,24,197,18,244,43,NA,12267,HSC
2_E11,1,NA,111766,80564,24552,19,37,2191,77,189,21,599,267,NA,12459,HSC
2_E12,1,NA,120342,83204,30507,256,42,1693,16,295,1,664,130,NA,12656,HSC
2_F1,1,NA,113454,81030,25256,-15,24,1730,25,207,5,994,552,NA,15114,HSC
2_F2,1,NA,120836,81689,23615,160,54,1243,2,206,-26,396,95,NA,14921,HSC
2_F3,1,NA,76060,76820,23585,109,33,1714,66,214,77,44,69,NA,14726,HSC
2_F4,1,NA,97130,78324,17411,-36,8,1352,30,408,53,807,3787,NA,14533,HSC
2_F5,1,NA,96177,78505,14832,-60,56,1520,20,246,97,197,601,NA,14328,HSC
2_F6,1,NA,88991,78726,20742,54,13,856,55,188,-45,543,66,NA,14134,HSC
2_F7,1,NA,102431,79930,17976,167,9,1191,41,172,8,377,524,NA,13938,HSC
2_F8,1,NA,121026,85556,41657,-3,21,1481,77,213,100,196,-15,NA,13736,HSC
2_F9,1,NA,97232,80602,27713,199,32,1137,11,215,35,268,47,NA,13535,HSC
2_F10,1,NA,101583,78854,17487,57,37,1389,19,158,26,480,148,NA,13340,HSC
2_F11,1,NA,98681,78043,21863,-77,-8,1868,88,253,-4,410,735,NA,13138,HSC
2_F12,1,NA,81446,81625,28672,-32,26,1526,72,235,320,391,902,NA,12905,HSC
2_G1,1,NA,93212,77528,14882,-209,-50,1483,43,209,19,1572,86,NA,15320,HSC
2_G2,1,NA,94123,77593,18519,78,75,1124,55,233,-23,484,9,NA,15575,HSC
2_G3,1,NA,96167,78214,18739,144,45,1111,24,133,65,329,242,NA,15770,HSC
2_G4,1,NA,89870,77072,17165,-50,89,1708,28,222,44,138,-8,NA,15968,HSC
2_G5,1,NA,101057,79394,25704,6,-34,1354,28,188,48,311,-77,NA,16157,HSC
2_G6,1,NA,109127,80810,30224,53,29,1569,34,235,70,833,117,NA,16364,HSC
2_G7,1,NA,97154,79724,20447,-84,19,1069,55,138,52,236,145,NA,16558,HSC
2_G8,1,NA,93082,81823,29665,-94,10,1476,79,238,73,456,305,NA,16761,HSC
2_G9,1,NA,104097,78839,16386,69,51,1095,51,173,-29,783,72,NA,16958,HSC
2_G10,1,NA,99529,82304,19885,-115,61,1562,24,151,-6,1576,551,NA,17155,HSC
2_G11,1,NA,99516,78715,19538,-13,1,1648,-3,140,78,794,130,NA,17357,HSC
2_G12,1,NA,101712,78782,16137,9,-20,1468,27,139,82,999,370,NA,17560,HSC
2_H1,1,NA,93187,78632,18045,-31,15,1381,31,207,55,1167,179,NA,19970,HSC
2_H2,1,NA,99575,80991,18695,-7,63,1729,48,311,-11,2597,329,NA,19760,HSC
2_H3,1,NA,87899,77390,15704,140,15,1210,41,92,55,2212,108,NA,19541,HSC
2_H4,1,NA,100050,78430,15858,-11,65,1221,41,174,35,796,134,NA,19348,HSC
2_H5,1,NA,106236,79311,15602,-75,32,1858,40,180,-36,361,2090,NA,19152,HSC
2_H6,1,NA,101075,79881,16193,13,15,1450,0,195,-58,2459,366,NA,18960,HSC
2_H7,1,NA,96336,77796,18721,-1,2,948,32,176,51,410,199,NA,18759,HSC
2_H8,1,NA,102699,79570,27900,-47,12,1818,28,179,115,1994,29,NA,18559,HSC
2_H9,1,NA,108498,81218,29119,19,25,1420,52,216,-10,1344,76,NA,18362,HSC
2_H10,1,NA,87346,76584,14203,-39,-17,900,81,126,-39,386,405,NA,18170,HSC
2_H11,1,NA,109157,80591,20745,-107,-10,1809,-5,188,-12,1263,143,NA,17972,HSC
2_H12,1,NA,106011,79689,18991,-18,64,1290,38,245,-6,1130,654,NA,17770,HSC
3_A1,1,NA,100620,79924,14577,-82,12,1350,24,183,7,309,114,NA,602,HSC
3_A2,1,NA,86442,76582,19475,151,43,1144,37,143,33,1758,102,NA,854,HSC
3_A3,1,NA,103370,80043,21140,-105,9,1519,83,167,52,763,61,NA,1055,HSC
3_A4,1,NA,100553,79708,18961,145,25,1120,35,133,-36,254,-9,NA,1258,HSC
3_A5,1,NA,100604,79256,18627,72,37,1357,39,184,-18,493,-6,NA,1497,HSC
3_A6,1,NA,111856,80311,22750,46,17,1668,41,291,-23,353,40,NA,1709,HSC
