,Single_cells,CD45,Ery,NK,Mono,Neut,CD66bneg,CD66bpos,CD14_MFI,CD15_MFI,CD66b_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,66bpos_freq,66bneg_freq,
LEUK14_Plate2_C7_C07_031.fcs,5817,3017,5.00,0,488,388,316,39.0,3413,11773,9095,596,13.7,17.2,35.6,10.1,81.4,
LEUK14_Plate2_C8_C08_032.fcs,6111,6006,9.00,2.00,2115,1826,428,1372,10341,19392,53045,68.1,31.6,36.6,4.73,75.1,23.4,
LEUK14_Plate2_C9_C09_033.fcs,24830,24682,12.0,3.00,6643,1177,1142,2.00,3469,6294,4185,238,4.81,27.2,11.1,0.17,97.0,
LEUK14_Plate2_C10_C10_034.fcs,11383,11326,0,2.00,535,9794,1169,8118,12240,76083,44333,91.2,87.4,4.78,2.15,82.9,11.9,
LEUK14_Plate2_C11_C11_035.fcs,2634,2593,0,0,6.00,2400,159,2170,16652,114559,61231,68.1,94.7,0.24,2.21,90.4,6.62,
LEUK14_Plate2_C12_C12_036.fcs,12121,11908,4.00,0,3226,6282,6268,9.00,9034,25641,5213,299,53.2,27.3,17.5,0.14,99.8,
LEUK14_Plate2_D1_D01_037.fcs,16607,16383,1.00,0,141,15772,8782,5456,12073,83289,18158,122,96.7,0.86,4.40,34.6,55.7,
LEUK14_Plate2_D2_D02_038.fcs,1574,1514,0,0,25.0,1093,1090,2.00,20911,133092,11963,666,73.1,1.67,36.5,0.18,99.7,
LEUK14_Plate2_D3_D03_039.fcs,39877,38248,9.00,2.00,17018,9796,9703,42.0,10133,10506,4662,169,25.8,44.9,6.40,0.43,99.1,
LEUK14_Plate2_D4_D04_040.fcs,4033,3904,3.00,0,1723,1054,428,550,18073,22342,29873,148,27.6,45.1,11.1,52.2,40.6,
LEUK14_Plate2_D5_D05_041.fcs,42589,41122,19.0,5.00,4084,15916,2470,12647,3379,9156,45419,226,38.9,9.98,19.0,79.5,15.5,
LEUK14_Plate2_D6_D06_042.fcs,19715,19484,12.0,5.00,5109,1568,1380,152,2755,6404,4281,228,8.15,26.5,8.97,9.69,88.0,
LEUK14_Plate2_D7_D07_043.fcs,16952,16895,1.00,2.00,2986,733,713,10.0,2529,5486,3847,202,4.36,17.8,2.57,1.36,97.3,
LEUK14_Plate2_D8_D08_044.fcs,16184,10900,14.0,1.00,11.0,9936,9018,494,11273,77966,9620,-255,92.7,0.10,8.17,4.97,90.8,
LEUK14_Plate2_D9_D09_045.fcs,3258,3196,0,0,6.00,2986,2983,1.00,17654,120034,10530,155,94.6,0.19,9.72,0.033,99.9,
LEUK14_Plate2_D10_D10_046.fcs,720,466,0,0,17.0,167,74.0,69.0,3926,17205,15348,-392,39.1,3.98,3.72,41.3,44.3,
LEUK14_Plate2_D11_D11_047.fcs,9253,2976,3.00,0,123,131,119,4.00,1213,4944,9156,376,4.70,4.41,16.9,3.05,90.8,
LEUK14_Plate2_D12_D12_048.fcs,20778,20293,13.0,3.00,3312,3448,303,3056,2644,6028,56505,123,18.2,17.5,3.90,88.6,8.79,
LEUK14_Plate2_E1_E01_049.fcs,12454,12411,1.00,9.00,3415,1283,1280,1.00,5359,7765,3597,148,10.4,27.8,13.4,0.078,99.8,
LEUK14_Plate2_E2_E02_050.fcs,10232,10134,1.00,1.00,1771,6699,671,5879,7992,38075,75712,118,66.4,17.6,7.76,87.8,10.0,
LEUK14_Plate2_E3_E03_051.fcs,6292,6281,2.00,0,1091,198,177,12.0,2826,6972,5964,241,3.18,17.5,3.76,6.06,89.4,
LEUK14_Plate2_E4_E04_052.fcs,4511,4503,0,0,468,1926,240,1526,7414,31114,34830,356,45.4,11.0,40.0,79.2,12.5,
LEUK14_Plate2_E5_E05_053.fcs,4613,4581,8.00,1.00,2515,1220,324,830,16730,22502,41833,436,27.1,56.0,43.2,68.0,26.6,
LEUK14_Plate2_E6_E06_054.fcs,6892,987,47.0,0,0,3.00,1.00,0,849,3126,286,935,0.32,0,57.3,0,33.3,
LEUK14_Plate2_E7_E07_055.fcs,5428,5367,0,0,1365,1802,1677,78.0,14021,15384,12240,86.1,34.4,26.1,4.12,4.33,93.1,
LEUK14_Plate2_E8_E08_056.fcs,1214,1054,0,1.00,97.0,97.0,90.0,2.00,2314,6432,8153,-493,13.4,13.4,8.11,2.06,92.8,
LEUK14_Plate2_E9_E09_057.fcs,49227,48354,36.0,2.00,9653,26767,21765,3892,5900,22289,5451,188,55.6,20.0,7.59,14.5,81.3,
LEUK14_Plate2_E10_E10_058.fcs,6080,6038,0,0,372,5203,1077,3631,14054,92766,33037,107,87.4,6.25,4.61,69.8,20.7,
LEUK14_Plate2_E11_E11_059.fcs,32993,31966,72.0,7.00,7963,4465,3762,606,3126,5604,4290,199,14.3,25.6,14.5,13.6,84.3,
LEUK14_Plate2_E12_E12_060.fcs,53490,52424,36.0,2.00,13277,3892,3866,10.0,2957,3312,3934,192,7.48,25.5,9.93,0.26,99.3,
LEUK14_Plate2_F1_F01_061.fcs,40057,39035,40.0,3.00,11193,4885,3919,811,3942,5268,5158,204,12.6,28.9,11.6,16.6,80.2,
LEUK14_Plate2_F2_F02_062.fcs,4574,4536,2.00,5.00,916,2077,1496,458,9729,31414,12553,205,46.9,20.7,16.1,22.1,72.0,
LEUK14_Plate2_F3_F03_063.fcs,868,213,0,0,8.00,9.00,4.00,5.00,2068,7111,24161,695,5.59,4.97,43.0,55.6,44.4,
LEUK14_Plate2_F4_F04_064.fcs,14937,14711,8.00,5.00,7038,2578,1828,614,11146,13174,9095,139,17.6,48.1,3.07,23.8,70.9,
LEUK14_Plate2_F5_F05_065.fcs,57364,53923,3.00,2.00,5117,26668,24101,1859,4462,17408,4334,178,49.5,9.51,5.19,6.97,90.4,
LEUK14_Plate2_F6_F06_066.fcs,3844,3025,0,0,11.0,2794,499,2138,12046,81675,45861,29.5,93.2,0.37,1.88,76.5,17.9,
LEUK14_Plate2_F7_F07_067.fcs,14028,13034,7.00,1.00,2131,7241,577,6415,6226,25519,50776,47.5,57.1,16.8,2.12,88.6,7.97,
LEUK14_Plate2_F8_F08_068.fcs,3045,107,0,0,4.00,2.00,1.00,1.00,2257,6432,2975,294,5.71,11.4,14.2,50.0,50.0,
LEUK14_Plate2_F9_F09_069.fcs,11284,9595,3.00,1.00,761,7556,324,7092,11020,63977,65716,28.2,81.6,8.22,0.42,93.9,4.29,
LEUK14_Plate2_F10_F10_070.fcs,53152,32008,102,1.00,4787,5833,5368,347,2755,8562,5556,39.8,18.5,15.2,2.04,5.95,92.0,
LEUK14_Plate2_F11_F11_071.fcs,5435,3996,0,0,184,2892,511,2233,13114,77586,46985,-19.3,73.4,4.67,0.22,77.2,17.7,
LEUK14_Plate2_F12_F12_072.fcs,20094,2924,4.00,0,303,1580,184,1331,9620,42753,57756,171,55.9,10.7,4.27,84.2,11.6,
LEUK14_Plate2_G1_G01_073.fcs,78.0,12.0,0,0,2.00,4.00,1.00,3.00,6067,26637,50286,171,36.4,18.2,2.86,75.0,25.0,
LEUK14_Plate2_G2_G02_074.fcs,803,240,0,0,2.00,160,10.0,142,19392,125156,58606,3.85,75.8,0.95,0.95,88.8,6.25,
LEUK14_Plate2_G3_G03_075.fcs,2499,796,0,0,3.00,704,96.0,563,10821,70019,46645,-3.85,89.7,0.38,0.15,80.0,13.6,
LEUK14_Plate2_G4_G04_076.fcs,43338,36255,241,0,10743,6321,6306,7.00,7512,7992,4672,138,17.5,29.8,26.0,0.11,99.8,
LEUK14_Plate2_G5_G05_077.fcs,2205,2107,1.00,0,918,286,177,81.0,12268,12669,15893,39.8,14.4,46.3,1.08,28.3,61.9,
LEUK14_Plate2_G6_G06_078.fcs,5499,4593,7.00,0,259,3799,3797,1.00,14822,93222,8854,343,83.1,5.66,18.2,0.026,99.9,
LEUK14_Plate2_G7_G07_079.fcs,18483,14439,2.00,1.00,3718,8085,2373,5340,6146,25038,30743,35.9,56.7,26.1,0.21,66.0,29.4,
LEUK14_Plate2_G8_G08_080.fcs,68882,38002,189,4.00,12150,4745,4085,500,3926,8467,5191,-60.4,12.6,32.2,6.35,10.5,86.1,
LEUK14_Plate2_G9_G09_081.fcs,2253,70.0,1.00,0,11.0,4.00,2.00,1.00,2017,6559,14416,248,7.55,20.8,7.07,25.0,50.0,
LEUK14_Plate2_G10_G10_082.fcs,39153,28439,573,0,16979,864,861,0,11325,7869,4193,945,3.08,60.5,54.1,0,99.7,
LEUK14_Plate2_G11_G11_083.fcs,7379,2102,62.0,0,461,832,832,0,11613,39193,6041,499,40.6,22.5,34.1,0,100,
LEUK14_Plate2_G12_G12_084.fcs,104,51.0,1.00,0,3.00,33.0,33.0,0,13481,80288,9534,879,67.3,6.12,53.5,0,100,
LEUK14_Plate2_H1_H01_085.fcs,6713,5704,10.0,0,2532,846,845,0,16652,19622,8135,597,16.6,49.7,40.4,0,99.9,
Mean,14595,12474,35.4,1.16,2820,4401,2169,2056,9108,36029,25350,251,42.2,18.9,13.5,39.8,55.2,
SD,15360,13597,136,1.88,3954,5542,3875,3339,6091,37496,21400,415,30.9,15.8,16.6,34.9,36.0,
