,Single_cells,CD45,Ery,NK,Mono,Neut,CD66bneg,CD66bpos,CD14_MFI,CD15_MFI,CD66b_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,66bpos_freq,66bneg_freq,
LEUK14_Plate2_A1_A01_001.fcs,3639,3550,2.00,0,1480,1596,159,1398,16079,41531,62741,71.9,45.7,42.4,1.55,87.6,9.96,
LEUK14_Plate2_A2_A02_002.fcs,20027,19479,3.00,0,9241,1789,1777,4.00,9664,8099,5324,92.5,9.25,47.8,4.41,0.22,99.3,
LEUK14_Plate2_A3_A03_003.fcs,22754,22086,5.00,0,4128,10985,1915,8657,4903,19120,46872,95.1,49.9,18.8,2.64,78.8,17.4,
LEUK14_Plate2_A4_A04_004.fcs,4367,3947,0,0,1270,1487,722,697,19576,36459,26384,75.8,37.9,32.3,0.087,46.9,48.6,
LEUK14_Plate2_A5_A05_005.fcs,12812,12034,1.00,0,4413,5492,2887,2256,12018,28342,18200,65.5,45.8,36.8,0.49,41.1,52.6,
LEUK14_Plate2_A6_A06_006.fcs,3931,1367,2.00,0,80.0,425,52.0,360,5007,18115,60638,289,41.2,7.76,9.61,84.7,12.2,
LEUK14_Plate2_A7_A07_007.fcs,3914,3766,7.00,0,1614,1003,245,713,21512,25702,42857,86.1,30.7,49.4,5.44,71.1,24.4,
LEUK14_Plate2_A8_A08_008.fcs,2654,2591,1.00,0,297,1733,1600,79.0,20232,125464,13701,93.8,67.4,11.6,0.84,4.56,92.3,
LEUK14_Plate2_A9_A09_009.fcs,12532,11675,35.0,2.00,2295,5710,1796,3620,9364,37892,32643,60.4,53.1,21.4,2.01,63.4,31.5,
LEUK14_Plate2_A10_A10_010.fcs,28184,27628,7.00,1.00,2719,18939,2584,15506,5812,25702,46872,103,69.8,10.0,1.69,81.9,13.6,
LEUK14_Plate2_A11_A11_011.fcs,40012,39181,15.0,1.00,8862,8307,4234,3642,3366,6015,12934,151,21.4,22.8,2.93,43.8,51.0,
LEUK14_Plate2_A12_A12_012.fcs,13211,12791,2.00,0,2601,7601,2271,4994,9929,44012,35850,120,61.2,20.9,1.43,65.7,29.9,
LEUK14_Plate2_B1_B01_013.fcs,16017,1671,1081,0,64.0,31.0,12.0,13.0,1415,4254,20424,1552,1.92,3.96,75.4,41.9,38.7,
LEUK14_Plate2_B2_B02_014.fcs,16682,16354,25.0,2.00,7682,1079,884,170,12611,7205,6080,190,6.64,47.3,8.26,15.8,81.9,
LEUK14_Plate2_B3_B03_015.fcs,2924,1308,3.00,0,74.0,33.0,30.0,2.00,1751,5568,7596,391,2.90,6.50,16.4,6.06,90.9,
LEUK14_Plate2_B4_B04_016.fcs,28481,26012,8.00,1.00,8363,3329,2422,798,5497,5235,4537,633,12.9,32.4,38.2,24.0,72.8,
LEUK14_Plate2_B5_B05_017.fcs,7654,841,177,0,8.00,144,143,1.00,1384,6792,14720,376,17.9,0.99,29.3,0.69,99.3,
LEUK14_Plate2_B6_B06_018.fcs,4384,4352,1.00,0,285,3233,668,2332,14754,85982,40736,123,74.9,6.60,7.69,72.1,20.7,
LEUK14_Plate2_B7_B07_019.fcs,6871,6815,0,1.00,455,5675,861,4603,12669,77586,60934,75.8,83.8,6.72,14.6,81.1,15.2,
LEUK14_Plate2_B8_B08_020.fcs,32512,31996,15.0,8.00,7024,3806,3253,341,2992,7430,6253,194,12.0,22.1,8.23,8.96,85.5,
LEUK14_Plate2_B9_B09_021.fcs,2221,2102,33.0,2.00,1037,244,141,84.0,28274,23261,19301,2951,12.8,54.6,40.5,34.4,57.8,
LEUK14_Plate2_B10_B10_022.fcs,19794,19733,4.00,3.00,1462,17113,2849,13171,10248,63048,38259,97.7,87.3,7.45,1.16,77.0,16.6,
LEUK14_Plate2_B11_B11_023.fcs,15926,15645,9.00,1.00,1385,10109,1151,8607,5060,26384,55552,113,65.8,9.01,3.82,85.1,11.4,
LEUK14_Plate2_B12_B12_024.fcs,6965,6946,0,0,189,6234,6171,33.0,12786,83493,8448,173,90.6,2.75,2.38,0.53,99.0,
LEUK14_Plate2_C1_C01_025.fcs,434,424,0,0,48.0,44.0,21.0,19.0,4435,14891,14584,68.1,18.1,19.8,6.67,43.2,47.7,
LEUK14_Plate2_C2_C02_026.fcs,9629,9598,0,3.00,291,8376,1517,6435,7430,45090,44764,80.9,87.5,3.04,5.43,76.8,18.1,
LEUK14_Plate2_C3_C03_027.fcs,162,29.0,1.00,0,2.00,5.00,0,4.00,3101,5925,54350,1040,27.8,11.1,62.2,80.0,0,
LEUK14_Plate2_C4_C04_028.fcs,11593,11252,6.00,2.00,2030,6458,516,5823,8171,37079,76831,152,57.7,18.1,11.7,90.2,7.99,
LEUK14_Plate2_C5_C05_029.fcs,1394,1295,0,0,1.00,1101,1073,16.0,24566,175797,14788,112,87.2,0.079,1.19,1.45,97.5,
LEUK14_Plate2_C6_C06_030.fcs,14988,14910,1.00,1.00,512,13152,2704,9764,9906,61831,41631,182,88.8,3.46,10.1,74.2,20.6,
