Sort_id, FSC_A , FSC_W , SSC_A , CD33 640 670_30_A , CD34 640 780_60_A , CD45RA 640 730_45_A , CD90 561 582_15_A , CD49F 561 670_14_A , CD38 561 780_60_A , LIN 488 530_30_A , CD7_10 V405 450/50_A , L_D V405 525/50_A , CD45 V405 780_60_A , Time ,Cell_seeded
1_F6,152348,86851,33817,216,4175,-44,3401,1332,1205,119,-222,128,2935,93090,HSC
1_F7,132665,85811,24827,232,1340,46,177,1527,1946,65,18,85,1241,92561,HSC
1_F8,151684,86878,29814,552,1599,72,748,8829,2341,304,-111,192,1905,91653,HSC
1_F9,126504,86403,22733,369,1573,36,233,10735,2091,165,-72,218,896,85181,HSC
1_F10,131871,85764,34991,171,1940,-27,1167,1005,1901,10,-58,107,2452,84230,HSC
1_F11,104974,80602,42259,535,2702,133,3564,3729,1212,263,-133,259,1048,82549,HSC
1_F12,124789,91691,36713,671,3131,147,2560,693,1594,99,-174,108,2424,82103,HSC
1_G1,153395,85633,29551,566,1169,55,134,6156,2014,112,15,252,1871,105732,HSC
1_G2,168863,89636,60966,648,4547,18,4300,2453,589,250,-259,277,2696,107475,HSC
1_G3,172661,92282,41344,1084,3082,127,-105,4540,2666,-15,-299,310,1993,108267,HSC
1_G4,137476,84986,34420,417,2524,97,930,1504,905,101,-164,114,2025,108847,HSC
1_G5,189542,102161,32397,344,2889,65,2175,883,1095,14,-226,77,2459,114154,HSC
1_G6,138011,89735,27947,590,3527,-4,536,2139,379,138,-193,174,2163,116229,HSC
1_G7,138331,85228,32816,1328,2853,-40,327,11337,1211,104,-243,645,2115,117384,HSC
1_G8,141414,86741,28556,298,2183,55,245,3348,1755,48,-145,79,2480,117684,HSC
1_G9,173912,92976,29390,904,1623,41,243,2312,951,99,-50,247,695,119483,HSC
1_G10,169321,88574,33486,362,2412,190,2120,955,1478,-39,-99,223,3429,122077,HSC
1_G11,148670,91269,36708,-91,1466,51,1399,1831,1284,36,-34,60,1031,123016,HSC
1_G12,124568,87166,26101,467,1766,99,533,1005,1060,48,-14,157,1142,123765,HSC
1_H1,107519,84324,38853,461,3072,73,4056,1463,1868,60,-98,294,1735,139946,HSC
1_H2,152429,85660,29715,750,2887,173,1774,1684,1184,131,-221,305,2947,139246,HSC
1_H3,150506,99479,21789,314,1231,125,143,3650,1326,110,-146,565,1591,134560,HSC
1_H4,186746,103468,33783,298,2448,-3,2204,2528,970,114,-16,259,2188,133525,HSC
1_H5,146960,94703,25928,768,1852,31,2198,566,1805,64,-90,162,1339,132918,HSC
1_H6,152891,88817,38832,3,2650,48,262,1050,773,67,-178,251,2101,131432,HSC
1_H7,159116,86348,27805,675,3531,124,2489,1737,1765,61,-212,108,2134,130966,HSC
1_H8,117709,83810,28731,116,1237,-12,2105,3162,1154,79,-17,130,1443,130035,HSC
1_H9,147209,84519,26496,19,1605,31,253,1260,629,53,-38,146,1432,129645,HSC
1_H10,125594,85810,32237,-56,3014,190,850,1684,742,123,-142,161,2127,127051,HSC
1_H11,119311,81923,34127,537,2526,75,-160,2915,1897,34,-196,201,1457,126005,HSC
1_H12,130418,82090,20173,-182,1735,6,122,1859,1094,49,-89,542,786,125385,HSC
