Well,All Events FSC-A Median,All Events FSC-W Median,All Events SSC-A Median,All Events CD33 640 670/30-A Median,All Events CD34 640 780/60-A Median,All Events CD45RA 640 730/45-A Median,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Median,All Events LIN 488 530/30-A Median,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Median,All Events Time Median
E10,"132,784","84,165","35,463",505,"3,084",-72,756,"5,479","1,386",82,-197,355,"3,609","79,311"
E11,"128,350","88,145","25,717",198,"1,448",41,175,"1,138","2,494",8,-36,155,"1,097","79,953"
E12,"156,159","85,957","26,042",173,"1,719",20,-3,"1,036","1,815",2,-152,130,"3,039","80,486"
F1,"152,723","87,321","28,966","1,105","3,068",90,"4,606","1,847",987,86,-230,110,"3,128","103,408"
F2,"153,745","89,985","24,531",67,"3,519",16,"2,176","3,566","1,273",81,-88,150,"1,847","103,049"
F3,"151,310","84,917","27,869",370,"1,597",123,-172,"1,095","2,231",98,-106,119,"3,008","101,621"
F4,"167,270","87,650","35,354",671,"3,088",147,370,"4,318","2,397",77,-205,202,"2,214","101,087"
F5,"149,102","87,538","38,698",364,"2,965",117,"2,348","1,204","2,387",122,-111,22,"1,385","96,353"
F6,"152,348","86,851","33,817",216,"4,175",-44,"3,401","1,332","1,205",119,-222,128,"2,935","93,090"
F7,"132,665","85,811","24,827",232,"1,340",46,177,"1,527","1,946",65,18,85,"1,241","92,561"
F8,"151,684","86,878","29,814",552,"1,599",72,748,"8,829","2,341",304,-111,192,"1,905","91,653"
F9,"126,504","86,403","22,733",369,"1,573",36,233,"10,735","2,091",165,-72,218,896,"85,181"
F10,"131,871","85,764","34,991",171,"1,940",-27,"1,167","1,005","1,901",10,-58,107,"2,452","84,230"
F11,"104,974","80,602","42,259",535,"2,702",133,"3,564","3,729","1,212",263,-133,259,"1,048","82,549"
F12,"124,789","91,691","36,713",671,"3,131",147,"2,560",693,"1,594",99,-174,108,"2,424","82,103"
G1,"153,395","85,633","29,551",566,"1,169",55,134,"6,156","2,014",112,15,252,"1,871","105,732"
G2,"168,863","89,636","60,966",648,"4,547",18,"4,300","2,453",589,250,-259,277,"2,696","107,475"
G3,"172,661","92,282","41,344","1,084","3,082",127,-105,"4,540","2,666",-15,-299,310,"1,993","108,267"
G4,"137,476","84,986","34,420",417,"2,524",97,930,"1,504",905,101,-164,114,"2,025","108,847"
G5,"189,542","102,161","32,397",344,"2,889",65,"2,175",883,"1,095",14,-226,77,"2,459","114,154"
G6,"138,011","89,735","27,947",590,"3,527",-4,536,"2,139",379,138,-193,174,"2,163","116,229"
G7,"138,331","85,228","32,816","1,328","2,853",-40,327,"11,337","1,211",104,-243,645,"2,115","117,384"
G8,"141,414","86,741","28,556",298,"2,183",55,245,"3,348","1,755",48,-145,79,"2,480","117,684"
G9,"173,912","92,976","29,390",904,"1,623",41,243,"2,312",951,99,-50,247,695,"119,483"
G10,"169,321","88,574","33,486",362,"2,412",190,"2,120",955,"1,478",-39,-99,223,"3,429","122,077"
G11,"148,670","91,269","36,708",-91,"1,466",51,"1,399","1,831","1,284",36,-34,60,"1,031","123,016"
G12,"124,568","87,166","26,101",467,"1,766",99,533,"1,005","1,060",48,-14,157,"1,142","123,765"
H1,"107,519","84,324","38,853",461,"3,072",73,"4,056","1,463","1,868",60,-98,294,"1,735","139,946"
H2,"152,429","85,660","29,715",750,"2,887",173,"1,774","1,684","1,184",131,-221,305,"2,947","139,246"
H3,"150,506","99,479","21,789",314,"1,231",125,143,"3,650","1,326",110,-146,565,"1,591","134,560"
H4,"186,746","103,468","33,783",298,"2,448",-3,"2,204","2,528",970,114,-16,259,"2,188","133,525"
H5,"146,960","94,703","25,928",768,"1,852",31,"2,198",566,"1,805",64,-90,162,"1,339","132,918"
H6,"152,891","88,817","38,832",3,"2,650",48,262,"1,050",773,67,-178,251,"2,101","131,432"
H7,"159,116","86,348","27,805",675,"3,531",124,"2,489","1,737","1,765",61,-212,108,"2,134","130,966"
H8,"117,709","83,810","28,731",116,"1,237",-12,"2,105","3,162","1,154",79,-17,130,"1,443","130,035"
H9,"147,209","84,519","26,496",19,"1,605",31,253,"1,260",629,53,-38,146,"1,432","129,645"
H10,"125,594","85,810","32,237",-56,"3,014",190,850,"1,684",742,123,-142,161,"2,127","127,051"
H11,"119,311","81,923","34,127",537,"2,526",75,-160,"2,915","1,897",34,-196,201,"1,457","126,005"
H12,"130,418","82,090","20,173",-182,"1,735",6,122,"1,859","1,094",49,-89,542,786,"125,385"
