sample_name,13:28607900-28608500,20:31022200-31022800,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads,,,
Aditi_1290_S1290,0,0,0,0,0,1914,1914,1914,Aditi,1290,S1290
Aditi_1291_S1291,0,0,6,0,6,1714,1714,1708,Aditi,1291,S1291
Aditi_1292_S1292,0,0,3,0,3,2811,2812,2808,Aditi,1292,S1292
Aditi_1293_S1293,0,0,2,0,2,1946,1946,1944,Aditi,1293,S1293
Aditi_1294_S1294,0,0,2,0,2,1850,1850,1848,Aditi,1294,S1294
Aditi_1295_S1295,0,0,0,0,0,1602,1602,1602,Aditi,1295,S1295
Aditi_1296_S1296,0,0,0,0,0,2740,2740,2740,Aditi,1296,S1296
Aditi_1297_S1297,0,0,0,0,0,2134,2134,2134,Aditi,1297,S1297
Aditi_1298_S1298,0,0,0,0,0,2930,2930,2930,Aditi,1298,S1298
Aditi_1299_S1299,0,0,0,0,0,1838,1838,1838,Aditi,1299,S1299
Aditi_13_S13,0,0,7,0,7,1353,1354,1346,Aditi,13,S13
Aditi_130_S130,0,0,0,0,0,1996,1996,1996,Aditi,130,S130
Aditi_1300_S1300,0,0,2,0,2,1862,1862,1860,Aditi,1300,S1300
Aditi_1301_S1301,0,0,2,0,2,1262,1262,1260,Aditi,1301,S1301
Aditi_1302_S1302,0,0,2,0,2,1178,1178,1176,Aditi,1302,S1302
Aditi_1303_S1303,0,0,0,0,0,438,438,438,Aditi,1303,S1303
Aditi_1304_S1304,0,0,0,0,0,1602,1602,1602,Aditi,1304,S1304
Aditi_1305_S1305,0,0,0,0,0,954,954,954,Aditi,1305,S1305
Aditi_1306_S1306,0,0,0,0,0,1052,1052,1052,Aditi,1306,S1306
Aditi_1307_S1307,0,0,0,0,0,540,540,540,Aditi,1307,S1307
Aditi_1308_S1308,0,0,0,0,0,2294,2294,2294,Aditi,1308,S1308
Aditi_1309_S1309,0,0,0,0,0,2672,2672,2672,Aditi,1309,S1309
Aditi_131_S131,0,0,0,0,0,2024,2024,2024,Aditi,131,S131
Aditi_1310_S1310,0,0,0,0,0,1636,1636,1636,Aditi,1310,S1310
Aditi_1311_S1311,0,0,0,0,0,542,542,542,Aditi,1311,S1311
Aditi_1312_S1312,0,0,0,0,0,1846,1846,1846,Aditi,1312,S1312
Aditi_1313_S1313,0,0,0,0,0,2666,2666,2666,Aditi,1313,S1313
Aditi_1314_S1314,0,0,6,0,6,786,786,780,Aditi,1314,S1314
Aditi_1315_S1315,0,0,2,0,2,864,864,862,Aditi,1315,S1315
Aditi_1316_S1316,0,0,1,0,1,1009,1010,1008,Aditi,1316,S1316
Aditi_1317_S1317,0,0,6,0,6,2594,2594,2588,Aditi,1317,S1317
Aditi_1318_S1318,0,0,2,0,2,1708,1708,1706,Aditi,1318,S1318
Aditi_1319_S1319,0,0,2,0,2,202,202,200,Aditi,1319,S1319
Aditi_132_S132,0,0,0,0,0,2360,2360,2360,Aditi,132,S132
Aditi_1320_S1320,0,0,2,0,2,3016,3018,3014,Aditi,1320,S1320
Aditi_1321_S1321,0,0,0,0,0,1902,1902,1902,Aditi,1321,S1321
Aditi_1322_S1322,0,0,14,0,14,2076,2076,2062,Aditi,1322,S1322
Aditi_1323_S1323,0,0,0,0,0,1076,1076,1076,Aditi,1323,S1323
Aditi_1324_S1324,0,0,9,0,9,475,476,466,Aditi,1324,S1324
Aditi_1325_S1325,0,0,2,0,2,2162,2162,2160,Aditi,1325,S1325
Aditi_1326_S1326,0,0,0,0,0,1204,1204,1204,Aditi,1326,S1326
Aditi_1327_S1327,0,0,0,0,0,1308,1308,1308,Aditi,1327,S1327
Aditi_1328_S1328,0,0,6,0,6,4062,4062,4056,Aditi,1328,S1328
Aditi_1329_S1329,0,0,0,0,0,1260,1260,1260,Aditi,1329,S1329
Aditi_133_S133,0,0,0,0,0,2072,2072,2072,Aditi,133,S133
Aditi_1330_S1330,0,0,2,0,2,2208,2208,2206,Aditi,1330,S1330
Aditi_1331_S1331,0,0,2,0,2,3426,3426,3424,Aditi,1331,S1331
Aditi_1332_S1332,0,0,0,0,0,2596,2596,2596,Aditi,1332,S1332
Aditi_1333_S1333,0,0,6,0,6,3652,3658,3646,Aditi,1333,S1333
Aditi_1334_S1334,0,0,0,0,0,996,996,996,Aditi,1334,S1334
Aditi_1335_S1335,0,0,0,0,0,1108,1108,1108,Aditi,1335,S1335
Aditi_1336_S1336,0,0,0,0,0,2636,2636,2636,Aditi,1336,S1336
Aditi_1337_S1337,0,0,0,0,0,1914,1914,1914,Aditi,1337,S1337
Aditi_1338_S1338,0,0,0,0,0,2402,2402,2402,Aditi,1338,S1338
Aditi_1339_S1339,0,0,0,0,0,2122,2122,2122,Aditi,1339,S1339
Aditi_134_S134,0,0,0,0,0,2232,2232,2232,Aditi,134,S134
Aditi_1340_S1340,0,0,2,0,2,1448,1448,1446,Aditi,1340,S1340
Aditi_1341_S1341,0,0,2,0,2,1102,1102,1100,Aditi,1341,S1341
Aditi_1342_S1342,0,0,0,0,0,3038,3038,3038,Aditi,1342,S1342
Aditi_1343_S1343,0,0,2,0,2,1450,1450,1448,Aditi,1343,S1343
Aditi_1344_S1344,0,0,0,0,0,1938,1938,1938,Aditi,1344,S1344
Aditi_1345_S1345,0,0,18,0,18,2778,2778,2760,Aditi,1345,S1345
Aditi_1346_S1346,0,0,2,0,2,3016,3016,3014,Aditi,1346,S1346
Aditi_1347_S1347,0,0,2,0,2,3172,3172,3170,Aditi,1347,S1347
Aditi_1348_S1348,0,0,0,0,0,2000,2000,2000,Aditi,1348,S1348
Aditi_1349_S1349,0,143,15723,0,15866,19992,20188,4126,Aditi,1349,S1349
Aditi_135_S135,0,0,0,0,0,2208,2208,2208,Aditi,135,S135
Aditi_1350_S1350,0,0,0,0,0,2788,2788,2788,Aditi,1350,S1350
Aditi_1351_S1351,0,40,20117,0,20157,23321,23524,3164,Aditi,1351,S1351
Aditi_1352_S1352,0,0,0,0,0,1752,1752,1752,Aditi,1352,S1352
Aditi_136_S136,0,0,1,0,1,2511,2512,2510,Aditi,136,S136
Aditi_137_S137,0,0,0,0,0,1822,1822,1822,Aditi,137,S137
Aditi_138_S138,0,0,0,0,0,1300,1300,1300,Aditi,138,S138
Aditi_139_S139,0,98,0,0,98,4474,4474,4376,Aditi,139,S139
Aditi_14_S14,0,0,8,0,8,1920,1920,1912,Aditi,14,S14
Aditi_140_S140,0,0,0,0,0,2182,2182,2182,Aditi,140,S140
Aditi_141_S141,0,0,0,0,0,2002,2002,2002,Aditi,141,S141
Aditi_142_S142,0,0,0,0,0,1936,1936,1936,Aditi,142,S142
Aditi_143_S143,0,0,0,0,0,1834,1834,1834,Aditi,143,S143
Aditi_144_S144,0,0,0,0,0,8634,8634,8634,Aditi,144,S144
Aditi_145_S145,0,0,0,0,0,1600,1600,1600,Aditi,145,S145
Aditi_146_S146,0,0,1,0,1,2167,2168,2166,Aditi,146,S146
Aditi_147_S147,0,0,0,0,0,2358,2358,2358,Aditi,147,S147
Aditi_148_S148,0,0,0,0,0,2184,2184,2184,Aditi,148,S148
Aditi_149_S149,0,0,0,0,0,1864,1864,1864,Aditi,149,S149
Aditi_15_S15,0,0,6,0,6,1816,1816,1810,Aditi,15,S15
Aditi_150_S150,0,0,0,0,0,1992,1992,1992,Aditi,150,S150
Aditi_151_S151,0,0,0,0,0,4158,4158,4158,Aditi,151,S151
Aditi_152_S152,0,48,1,0,49,29639,29640,29590,Aditi,152,S152
Aditi_153_S153,0,0,4,0,4,2034,2034,2030,Aditi,153,S153
Aditi_154_S154,0,0,0,0,0,1930,1930,1930,Aditi,154,S154
Aditi_155_S155,0,0,0,0,0,1854,1854,1854,Aditi,155,S155
Aditi_156_S156,0,0,0,0,0,2210,2210,2210,Aditi,156,S156
Aditi_157_S157,0,0,1,0,1,1987,1988,1986,Aditi,157,S157
Aditi_158_S158,0,0,0,0,0,2128,2128,2128,Aditi,158,S158
Aditi_159_S159,0,0,0,0,0,2316,2316,2316,Aditi,159,S159
Aditi_16_S16,0,263,9,0,272,103574,103666,103302,Aditi,16,S16
Aditi_160_S160,0,0,34,0,34,5082,5082,5048,Aditi,160,S160
Aditi_161_S161,0,0,259,0,259,2521,2526,2262,Aditi,161,S161
Aditi_162_S162,0,0,0,0,0,1980,1980,1980,Aditi,162,S162
Aditi_163_S163,0,0,0,0,0,1330,1330,1330,Aditi,163,S163
Aditi_164_S164,0,0,0,0,0,2012,2012,2012,Aditi,164,S164
Aditi_165_S165,0,0,2,0,2,2278,2278,2276,Aditi,165,S165
Aditi_166_S166,0,0,0,0,0,2884,2884,2884,Aditi,166,S166
Aditi_167_S167,0,0,1,0,1,2285,2286,2284,Aditi,167,S167
Aditi_168_S168,0,2,0,0,2,8828,8828,8826,Aditi,168,S168
Aditi_169_S169,0,0,0,0,0,1472,1472,1472,Aditi,169,S169
Aditi_17_S17,0,0,0,0,0,1286,1286,1286,Aditi,17,S17
Aditi_170_S170,0,0,2,0,2,1990,1990,1988,Aditi,170,S170
Aditi_171_S171,0,0,0,0,0,2076,2076,2076,Aditi,171,S171
Aditi_172_S172,0,0,2,0,2,1458,1458,1456,Aditi,172,S172
Aditi_173_S173,0,0,12,0,12,2266,2266,2254,Aditi,173,S173
Aditi_174_S174,0,0,0,0,0,1656,1656,1656,Aditi,174,S174
Aditi_175_S175,0,0,0,0,0,2266,2266,2266,Aditi,175,S175
Aditi_176_S176,0,0,0,0,0,20682,20682,20682,Aditi,176,S176
Aditi_177_S177,0,0,0,0,0,1696,1696,1696,Aditi,177,S177
Aditi_178_S178,0,0,0,0,0,1956,1956,1956,Aditi,178,S178
Aditi_179_S179,0,0,0,0,0,2392,2392,2392,Aditi,179,S179
Aditi_18_S18,0,0,0,0,0,1788,1788,1788,Aditi,18,S18
Aditi_180_S180,0,0,0,0,0,2216,2216,2216,Aditi,180,S180
Aditi_181_S181,0,0,10,0,10,2600,2610,2590,Aditi,181,S181
Aditi_182_S182,0,0,1,0,1,1349,1350,1348,Aditi,182,S182
Aditi_183_S183,0,0,0,0,0,2076,2076,2076,Aditi,183,S183
Aditi_184_S184,0,3,0,0,3,6595,6598,6592,Aditi,184,S184
Aditi_185_S185,0,0,0,0,0,1712,1712,1712,Aditi,185,S185
Aditi_186_S186,0,0,1,0,1,1971,1972,1970,Aditi,186,S186
Aditi_187_S187,0,0,0,0,0,970,970,970,Aditi,187,S187
Aditi_188_S188,0,0,0,0,0,1628,1628,1628,Aditi,188,S188
Aditi_189_S189,0,0,0,0,0,1060,1060,1060,Aditi,189,S189
Aditi_19_S19,0,0,1,0,1,1661,1662,1660,Aditi,19,S19
Aditi_190_S190,0,0,0,0,0,2296,2296,2296,Aditi,190,S190
Aditi_191_S191,0,0,1,0,1,1059,1060,1058,Aditi,191,S191
Aditi_192_S192,0,3,2,0,5,3407,3408,3402,Aditi,192,S192
Aditi_193_S193,0,0,4,0,4,10,10,6,Aditi,193,S193
Aditi_194_S194,0,0,0,0,0,1490,1490,1490,Aditi,194,S194
Aditi_195_S195,0,0,0,0,0,1834,1834,1834,Aditi,195,S195
Aditi_196_S196,0,0,1,0,1,2055,2056,2054,Aditi,196,S196
Aditi_197_S197,0,0,1,0,1,1775,1776,1774,Aditi,197,S197
Aditi_198_S198,0,0,0,0,0,1212,1212,1212,Aditi,198,S198
Aditi_199_S199,0,0,0,0,0,1644,1644,1644,Aditi,199,S199
Aditi_2_S2,0,6,0,0,6,1548,1548,1542,Aditi,2,S2
Aditi_20_S20,0,0,0,0,0,1930,1930,1930,Aditi,20,S20
Aditi_200_S200,0,0,0,0,0,5200,5200,5200,Aditi,200,S200
Aditi_201_S201,0,0,0,0,0,714,714,714,Aditi,201,S201
Aditi_202_S202,0,0,0,0,0,1130,1130,1130,Aditi,202,S202
Aditi_203_S203,0,0,0,0,0,4016,4016,4016,Aditi,203,S203
Aditi_204_S204,0,0,0,0,0,1928,1928,1928,Aditi,204,S204
Aditi_205_S205,0,0,0,0,0,1674,1674,1674,Aditi,205,S205
Aditi_206_S206,0,0,0,0,0,1822,1822,1822,Aditi,206,S206
Aditi_207_S207,0,0,0,0,0,2112,2112,2112,Aditi,207,S207
Aditi_208_S208,0,355,0,0,355,6911,6912,6556,Aditi,208,S208
Aditi_209_S209,0,0,0,0,0,2242,2242,2242,Aditi,209,S209
Aditi_21_S21,0,0,5,0,5,1497,1498,1492,Aditi,21,S21
Aditi_210_S210,0,0,0,0,0,1966,1966,1966,Aditi,210,S210
Aditi_211_S211,0,0,0,0,0,4122,4122,4122,Aditi,211,S211
Aditi_212_S212,0,0,0,0,0,3930,3930,3930,Aditi,212,S212
Aditi_213_S213,0,0,0,0,0,1432,1432,1432,Aditi,213,S213
Aditi_214_S214,0,0,0,0,0,1636,1636,1636,Aditi,214,S214
Aditi_215_S215,0,0,2,0,2,2094,2094,2092,Aditi,215,S215
Aditi_216_S216,0,10,0,0,10,6418,6418,6408,Aditi,216,S216
Aditi_217_S217,0,0,0,0,0,1876,1876,1876,Aditi,217,S217
Aditi_218_S218,0,0,0,0,0,2168,2168,2168,Aditi,218,S218
Aditi_219_S219,0,0,2,0,2,4218,4220,4216,Aditi,219,S219
Aditi_22_S22,0,0,6,0,6,1518,1518,1512,Aditi,22,S22
Aditi_220_S220,0,0,42,0,42,2126,2126,2084,Aditi,220,S220
Aditi_221_S221,0,0,2,0,2,2996,2996,2994,Aditi,221,S221
Aditi_222_S222,0,0,0,0,0,1486,1486,1486,Aditi,222,S222
Aditi_223_S223,0,0,0,0,0,2066,2066,2066,Aditi,223,S223
Aditi_224_S224,0,0,1,0,1,5645,5646,5644,Aditi,224,S224
Aditi_225_S225,0,0,0,0,0,1894,1894,1894,Aditi,225,S225
Aditi_226_S226,0,0,0,0,0,1906,1906,1906,Aditi,226,S226
Aditi_227_S227,0,0,0,0,0,4932,4932,4932,Aditi,227,S227
Aditi_228_S228,0,0,0,0,0,2298,2298,2298,Aditi,228,S228
Aditi_229_S229,0,0,2,0,2,2090,2090,2088,Aditi,229,S229
Aditi_23_S23,0,0,2,0,2,1936,1936,1934,Aditi,23,S23
Aditi_230_S230,0,0,0,0,0,1894,1894,1894,Aditi,230,S230
Aditi_231_S231,0,0,0,0,0,2102,2102,2102,Aditi,231,S231
Aditi_232_S232,0,0,47,0,47,7017,7018,6970,Aditi,232,S232
Aditi_233_S233,0,0,1,0,1,2039,2040,2038,Aditi,233,S233
Aditi_234_S234,0,0,1,0,1,2021,2022,2020,Aditi,234,S234
Aditi_235_S235,0,238,2,0,240,3078,3078,2838,Aditi,235,S235
Aditi_236_S236,0,58,0,0,58,2448,2448,2390,Aditi,236,S236
Aditi_237_S237,0,0,0,0,0,1766,1766,1766,Aditi,237,S237
Aditi_238_S238,0,0,0,0,0,1788,1788,1788,Aditi,238,S238
Aditi_239_S239,0,0,0,0,0,2004,2004,2004,Aditi,239,S239
Aditi_24_S24,0,0,3,0,3,2203,2204,2200,Aditi,24,S24
Aditi_240_S240,0,0,0,0,0,2662,2662,2662,Aditi,240,S240
Aditi_241_S241,0,0,0,0,0,1344,1344,1344,Aditi,241,S241
Aditi_242_S242,0,0,0,0,0,2308,2308,2308,Aditi,242,S242
Aditi_243_S243,0,0,2,0,2,2078,2078,2076,Aditi,243,S243
Aditi_244_S244,0,0,0,0,0,2386,2386,2386,Aditi,244,S244
Aditi_245_S245,0,0,0,0,0,1734,1734,1734,Aditi,245,S245
Aditi_246_S246,0,0,0,0,0,1966,1966,1966,Aditi,246,S246
Aditi_247_S247,0,0,0,0,0,2464,2464,2464,Aditi,247,S247
Aditi_248_S248,0,42,2,0,44,4112,4112,4068,Aditi,248,S248
Aditi_249_S249,0,0,0,0,0,2326,2326,2326,Aditi,249,S249
Aditi_25_S25,0,0,0,0,0,1752,1752,1752,Aditi,25,S25
Aditi_250_S250,0,0,0,0,0,1788,1788,1788,Aditi,250,S250
Aditi_251_S251,0,0,0,0,0,2002,2002,2002,Aditi,251,S251
Aditi_252_S252,0,0,1,0,1,1685,1686,1684,Aditi,252,S252
Aditi_253_S253,0,0,0,0,0,2032,2032,2032,Aditi,253,S253
Aditi_254_S254,0,0,1,0,1,2557,2558,2556,Aditi,254,S254
Aditi_255_S255,0,0,0,0,0,2592,2592,2592,Aditi,255,S255
Aditi_256_S256,0,0,0,0,0,5718,5718,5718,Aditi,256,S256
Aditi_257_S257,0,0,0,0,0,2320,2320,2320,Aditi,257,S257
Aditi_258_S258,0,0,0,0,0,2032,2032,2032,Aditi,258,S258
Aditi_259_S259,0,0,0,0,0,2070,2070,2070,Aditi,259,S259
Aditi_26_S26,0,0,4,0,4,1828,1828,1824,Aditi,26,S26
Aditi_260_S260,0,0,2,0,2,2138,2138,2136,Aditi,260,S260
Aditi_261_S261,0,0,0,0,0,2230,2230,2230,Aditi,261,S261
Aditi_262_S262,0,0,2,0,2,2820,2820,2818,Aditi,262,S262
Aditi_263_S263,0,0,1,0,1,2761,2762,2760,Aditi,263,S263
Aditi_264_S264,0,0,0,0,0,20584,20584,20584,Aditi,264,S264
Aditi_265_S265,0,0,0,0,0,2074,2074,2074,Aditi,265,S265
Aditi_266_S266,0,0,0,0,0,2462,2462,2462,Aditi,266,S266
Aditi_267_S267,0,0,0,0,0,2316,2316,2316,Aditi,267,S267
Aditi_268_S268,0,0,1,0,1,1653,1654,1652,Aditi,268,S268
Aditi_269_S269,0,0,0,0,0,1782,1782,1782,Aditi,269,S269
Aditi_27_S27,0,0,9,0,9,1257,1258,1248,Aditi,27,S27
Aditi_270_S270,0,0,0,0,0,1980,1980,1980,Aditi,270,S270
Aditi_271_S271,0,0,0,0,0,2452,2452,2452,Aditi,271,S271
Aditi_272_S272,0,0,0,0,0,8216,8216,8216,Aditi,272,S272
Aditi_273_S273,0,0,0,0,0,2158,2158,2158,Aditi,273,S273
Aditi_274_S274,0,0,1,0,1,2157,2158,2156,Aditi,274,S274
Aditi_275_S275,0,0,1,0,1,2455,2456,2454,Aditi,275,S275
Aditi_276_S276,0,0,2,0,2,2010,2010,2008,Aditi,276,S276
Aditi_277_S277,0,0,9,0,9,2801,2810,2792,Aditi,277,S277
Aditi_278_S278,0,0,0,0,0,1762,1762,1762,Aditi,278,S278
Aditi_279_S279,0,0,0,0,0,4652,4652,4652,Aditi,279,S279
Aditi_28_S28,0,0,10,0,10,1706,1706,1696,Aditi,28,S28
Aditi_280_S280,0,0,0,0,0,9448,9448,9448,Aditi,280,S280
Aditi_281_S281,0,0,6,0,6,1802,1802,1796,Aditi,281,S281
Aditi_282_S282,0,0,9,0,9,2073,2074,2064,Aditi,282,S282
Aditi_283_S283,0,0,1,0,1,3095,3096,3094,Aditi,283,S283
Aditi_284_S284,0,0,2,0,2,1900,1900,1898,Aditi,284,S284
Aditi_285_S285,0,2,0,0,2,1234,1234,1232,Aditi,285,S285
Aditi_286_S286,0,0,0,0,0,3594,3594,3594,Aditi,286,S286
Aditi_287_S287,0,0,3,0,3,4041,4042,4038,Aditi,287,S287
Aditi_288_S288,0,0,2,0,2,4216,4216,4214,Aditi,288,S288
Aditi_289_S289,0,0,7,0,7,2099,2100,2092,Aditi,289,S289
Aditi_29_S29,0,0,2,0,2,2516,2516,2514,Aditi,29,S29
Aditi_290_S290,0,0,0,0,0,2682,2682,2682,Aditi,290,S290
Aditi_291_S291,0,0,1,0,1,2569,2570,2568,Aditi,291,S291
Aditi_292_S292,0,0,1,0,1,2707,2708,2706,Aditi,292,S292
Aditi_293_S293,0,0,1,0,1,2379,2380,2378,Aditi,293,S293
Aditi_294_S294,0,0,0,0,0,2284,2284,2284,Aditi,294,S294
Aditi_295_S295,0,0,4,0,4,2202,2202,2198,Aditi,295,S295
Aditi_296_S296,0,2,0,0,2,2758,2758,2756,Aditi,296,S296
Aditi_297_S297,0,0,0,0,0,1854,1854,1854,Aditi,297,S297
Aditi_298_S298,0,0,0,0,0,2464,2464,2464,Aditi,298,S298
Aditi_299_S299,0,0,0,0,0,2526,2526,2526,Aditi,299,S299
Aditi_3_S3,0,4,0,0,4,1712,1712,1708,Aditi,3,S3
Aditi_30_S30,0,0,4,0,4,1292,1292,1288,Aditi,30,S30
Aditi_300_S300,0,0,0,0,0,2170,2170,2170,Aditi,300,S300
Aditi_301_S301,0,0,0,0,0,1952,1952,1952,Aditi,301,S301
Aditi_302_S302,0,18,0,0,18,2502,2502,2484,Aditi,302,S302
Aditi_303_S303,0,0,0,0,0,2436,2436,2436,Aditi,303,S303
Aditi_304_S304,0,13,1,0,14,5042,5044,5028,Aditi,304,S304
Aditi_305_S305,0,0,0,0,0,2884,2884,2884,Aditi,305,S305
Aditi_306_S306,0,0,0,0,0,2844,2844,2844,Aditi,306,S306
Aditi_307_S307,0,0,0,0,0,2774,2774,2774,Aditi,307,S307
Aditi_308_S308,0,0,2,0,2,2120,2120,2118,Aditi,308,S308
Aditi_309_S309,0,0,0,0,0,1842,1842,1842,Aditi,309,S309
Aditi_31_S31,0,0,4,0,4,1844,1844,1840,Aditi,31,S31
Aditi_310_S310,0,0,6,0,6,2286,2286,2280,Aditi,310,S310
Aditi_311_S311,0,0,2,0,2,2608,2608,2606,Aditi,311,S311
Aditi_312_S312,0,0,1,0,1,5649,5650,5648,Aditi,312,S312
Aditi_313_S313,0,0,0,0,0,2762,2762,2762,Aditi,313,S313
Aditi_314_S314,0,0,2,0,2,2562,2562,2560,Aditi,314,S314
Aditi_315_S315,0,0,0,0,0,1406,1406,1406,Aditi,315,S315
Aditi_316_S316,0,0,0,0,0,2770,2770,2770,Aditi,316,S316
Aditi_317_S317,0,0,0,0,0,2956,2956,2956,Aditi,317,S317
Aditi_318_S318,0,0,2,0,2,2110,2110,2108,Aditi,318,S318
Aditi_319_S319,0,0,4,0,4,1826,1826,1822,Aditi,319,S319
Aditi_32_S32,0,0,4,0,4,6138,6138,6134,Aditi,32,S32
Aditi_320_S320,0,0,1,0,1,7821,7822,7820,Aditi,320,S320
Aditi_321_S321,0,0,2,0,2,2690,2690,2688,Aditi,321,S321
Aditi_322_S322,0,0,0,0,0,2544,2544,2544,Aditi,322,S322
Aditi_323_S323,0,0,4,0,4,6178,6178,6174,Aditi,323,S323
Aditi_324_S324,0,0,1,0,1,2807,2808,2806,Aditi,324,S324
Aditi_325_S325,0,0,0,0,0,2454,2454,2454,Aditi,325,S325
Aditi_326_S326,0,0,0,0,0,2424,2424,2424,Aditi,326,S326
Aditi_327_S327,0,0,0,0,0,1776,1776,1776,Aditi,327,S327
Aditi_328_S328,0,4,2,0,6,10846,10846,10840,Aditi,328,S328
Aditi_329_S329,0,0,2,0,2,2602,2602,2600,Aditi,329,S329
Aditi_33_S33,0,0,0,0,0,1438,1438,1438,Aditi,33,S33
Aditi_330_S330,0,0,0,0,0,2464,2464,2464,Aditi,330,S330
Aditi_331_S331,0,13,1,0,14,16616,16628,16602,Aditi,331,S331
Aditi_332_S332,0,0,0,0,0,2998,2998,2998,Aditi,332,S332
Aditi_333_S333,0,0,0,0,0,2468,2468,2468,Aditi,333,S333
Aditi_334_S334,0,0,0,0,0,2256,2256,2256,Aditi,334,S334
Aditi_335_S335,0,0,1,0,1,2443,2444,2442,Aditi,335,S335
Aditi_336_S336,0,0,2,0,2,6688,6688,6686,Aditi,336,S336
Aditi_337_S337,0,0,0,0,0,2350,2350,2350,Aditi,337,S337
Aditi_338_S338,0,0,0,0,0,2974,2974,2974,Aditi,338,S338
Aditi_339_S339,0,0,3,0,3,2735,2736,2732,Aditi,339,S339
Aditi_34_S34,0,0,4,0,4,1620,1620,1616,Aditi,34,S34
Aditi_340_S340,0,0,2,0,2,2736,2736,2734,Aditi,340,S340
Aditi_341_S341,0,0,0,0,0,2334,2334,2334,Aditi,341,S341
Aditi_342_S342,0,0,1,0,1,2409,2410,2408,Aditi,342,S342
Aditi_343_S343,0,0,4,0,4,2430,2430,2426,Aditi,343,S343
Aditi_344_S344,0,20,1,0,21,6245,6246,6224,Aditi,344,S344
Aditi_345_S345,0,0,3,0,3,2655,2656,2652,Aditi,345,S345
Aditi_346_S346,0,0,0,0,0,2370,2370,2370,Aditi,346,S346
Aditi_347_S347,0,0,0,0,0,2366,2366,2366,Aditi,347,S347
Aditi_348_S348,0,0,0,0,0,2780,2780,2780,Aditi,348,S348
Aditi_349_S349,0,0,0,0,0,2570,2570,2570,Aditi,349,S349
Aditi_35_S35,0,0,0,0,0,2002,2002,2002,Aditi,35,S35
Aditi_350_S350,0,0,0,0,0,2380,2380,2380,Aditi,350,S350
Aditi_351_S351,0,0,2,0,2,2728,2728,2726,Aditi,351,S351
Aditi_352_S352,0,18,7,0,25,11641,11644,11616,Aditi,352,S352
Aditi_353_S353,0,0,0,0,0,2876,2876,2876,Aditi,353,S353
Aditi_354_S354,0,0,0,0,0,2342,2342,2342,Aditi,354,S354
Aditi_355_S355,0,0,3,0,3,2505,2506,2502,Aditi,355,S355
Aditi_356_S356,0,0,0,0,0,2980,2980,2980,Aditi,356,S356
Aditi_357_S357,0,0,0,0,0,2486,2486,2486,Aditi,357,S357
Aditi_358_S358,0,0,0,0,0,3792,3792,3792,Aditi,358,S358
Aditi_359_S359,0,0,0,0,0,2630,2630,2630,Aditi,359,S359
Aditi_36_S36,0,0,5,0,5,1911,1912,1906,Aditi,36,S36
Aditi_360_S360,0,93,4,0,97,40123,40128,40026,Aditi,360,S360
Aditi_361_S361,0,0,2,0,2,2036,2036,2034,Aditi,361,S361
Aditi_362_S362,0,0,4,0,4,2768,2770,2764,Aditi,362,S362
Aditi_363_S363,0,0,0,0,0,2360,2360,2360,Aditi,363,S363
Aditi_364_S364,0,0,0,0,0,1888,1888,1888,Aditi,364,S364
Aditi_365_S365,0,0,1,0,1,2397,2398,2396,Aditi,365,S365
Aditi_366_S366,0,0,2,0,2,2370,2370,2368,Aditi,366,S366
Aditi_367_S367,0,0,0,0,0,5976,5976,5976,Aditi,367,S367
Aditi_368_S368,0,123,2,0,125,10085,10084,9960,Aditi,368,S368
Aditi_369_S369,0,0,0,0,0,2436,2436,2436,Aditi,369,S369
Aditi_37_S37,0,0,1,0,1,1879,1880,1878,Aditi,37,S37
Aditi_370_S370,0,0,0,0,0,2298,2298,2298,Aditi,370,S370
Aditi_371_S371,0,0,0,0,0,2704,2704,2704,Aditi,371,S371
Aditi_372_S372,0,0,1,0,1,1941,1942,1940,Aditi,372,S372
Aditi_373_S373,0,0,5,0,5,2667,2672,2662,Aditi,373,S373
Aditi_374_S374,0,0,0,0,0,1882,1882,1882,Aditi,374,S374
Aditi_375_S375,0,0,0,0,0,3648,3648,3648,Aditi,375,S375
Aditi_376_S376,0,6,0,0,6,3120,3120,3114,Aditi,376,S376
Aditi_377_S377,0,0,0,0,0,2292,2292,2292,Aditi,377,S377
Aditi_378_S378,0,0,0,0,0,2320,2320,2320,Aditi,378,S378
Aditi_379_S379,0,0,0,0,0,2358,2358,2358,Aditi,379,S379
Aditi_38_S38,0,0,0,0,0,1898,1898,1898,Aditi,38,S38
Aditi_380_S380,0,0,2,0,2,2376,2376,2374,Aditi,380,S380
Aditi_381_S381,0,0,0,0,0,1486,1486,1486,Aditi,381,S381
Aditi_382_S382,0,0,0,0,0,3438,3438,3438,Aditi,382,S382
Aditi_383_S383,0,0,0,0,0,1796,1796,1796,Aditi,383,S383
Aditi_384_S384,0,0,0,0,0,1968,1968,1968,Aditi,384,S384
Aditi_385_S385,0,0,3,0,3,1651,1652,1648,Aditi,385,S385
Aditi_386_S386,0,0,2,0,2,3702,3702,3700,Aditi,386,S386
Aditi_387_S387,0,0,0,0,0,4118,4118,4118,Aditi,387,S387
Aditi_388_S388,0,0,2,0,2,3504,3504,3502,Aditi,388,S388
Aditi_389_S389,0,0,3,0,3,3715,3716,3712,Aditi,389,S389
