sample_name,13:28607900-28608500,20:31022200-31022800,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads,,,
Aditi_1062_S1062,0,0,191,0,191,2511,2518,2320,Aditi,1062,S1062
Aditi_1063_S1063,0,0,59,0,59,555,556,496,Aditi,1063,S1063
Aditi_1064_S1064,0,0,57,0,57,693,694,636,Aditi,1064,S1064
Aditi_1065_S1065,0,0,31576,0,31576,32808,33160,1232,Aditi,1065,S1065
Aditi_1066_S1066,0,0,44,0,44,1640,1640,1596,Aditi,1066,S1066
Aditi_1067_S1067,0,0,36700,0,36700,38386,38766,1686,Aditi,1067,S1067
Aditi_1068_S1068,0,0,26,0,26,62,62,36,Aditi,1068,S1068
Aditi_1069_S1069,0,0,38,0,38,1658,1658,1620,Aditi,1069,S1069
Aditi_107_S107,0,0,0,0,0,2038,2038,2038,Aditi,107,S107
Aditi_1070_S1070,0,0,23,0,23,905,906,882,Aditi,1070,S1070
Aditi_1071_S1071,0,0,10,0,10,462,462,452,Aditi,1071,S1071
Aditi_1072_S1072,0,0,37,0,37,1655,1658,1618,Aditi,1072,S1072
Aditi_1073_S1073,0,0,271,0,271,1593,1594,1322,Aditi,1073,S1073
Aditi_1074_S1074,0,0,4,0,4,452,452,448,Aditi,1074,S1074
Aditi_1075_S1075,0,0,79,0,79,1565,1566,1486,Aditi,1075,S1075
Aditi_1076_S1076,0,0,7094,0,7094,7360,7438,266,Aditi,1076,S1076
Aditi_1077_S1077,0,0,34,0,34,314,314,280,Aditi,1077,S1077
Aditi_1078_S1078,0,0,3138,0,3138,3536,3568,398,Aditi,1078,S1078
Aditi_1079_S1079,0,0,38,0,38,1446,1450,1408,Aditi,1079,S1079
Aditi_108_S108,0,0,1,0,1,1799,1800,1798,Aditi,108,S108
Aditi_1080_S1080,0,0,25,0,25,1139,1142,1114,Aditi,1080,S1080
Aditi_1081_S1081,0,0,9182,0,9182,10026,10122,844,Aditi,1081,S1081
Aditi_1082_S1082,0,0,313,0,313,1543,1544,1230,Aditi,1082,S1082
Aditi_1083_S1083,0,0,33,0,33,1413,1414,1380,Aditi,1083,S1083
Aditi_1084_S1084,0,0,87,0,87,1207,1212,1120,Aditi,1084,S1084
Aditi_1085_S1085,0,0,149,0,149,2175,2176,2026,Aditi,1085,S1085
Aditi_1086_S1086,0,0,105,0,105,1533,1534,1428,Aditi,1086,S1086
Aditi_1087_S1087,0,0,122,0,122,726,730,604,Aditi,1087,S1087
Aditi_1088_S1088,0,0,41,0,41,237,238,196,Aditi,1088,S1088
Aditi_1089_S1089,0,0,59552,0,59552,59816,60456,264,Aditi,1089,S1089
Aditi_109_S109,0,0,0,0,0,1876,1876,1876,Aditi,109,S109
Aditi_1090_S1090,0,0,109,0,109,1031,1034,922,Aditi,1090,S1090
Aditi_1091_S1091,0,0,166,0,166,1708,1716,1542,Aditi,1091,S1091
Aditi_1092_S1092,0,0,77,0,77,199,200,122,Aditi,1092,S1092
Aditi_1093_S1093,0,0,14,0,14,1206,1208,1192,Aditi,1093,S1093
Aditi_1094_S1094,0,0,4338,0,4338,5058,5120,720,Aditi,1094,S1094
Aditi_1095_S1095,0,0,1174,0,1174,1362,1374,188,Aditi,1095,S1095
Aditi_1096_S1096,0,0,788,0,788,2070,2078,1282,Aditi,1096,S1096
Aditi_1097_S1097,0,0,3586,0,3586,3888,3930,302,Aditi,1097,S1097
Aditi_1098_S1098,0,0,6,0,6,1004,1004,998,Aditi,1098,S1098
Aditi_1099_S1099,0,0,47,0,47,839,840,792,Aditi,1099,S1099
Aditi_11_S11,0,0,2,0,2,1660,1660,1658,Aditi,11,S11
Aditi_110_S110,0,2,0,0,2,2402,2402,2400,Aditi,110,S110
Aditi_1100_S1100,0,0,220,0,220,2820,2824,2600,Aditi,1100,S1100
Aditi_1101_S1101,0,0,557,0,557,1173,1176,616,Aditi,1101,S1101
Aditi_1102_S1102,0,0,157,0,157,785,786,628,Aditi,1102,S1102
Aditi_1103_S1103,0,0,670,0,670,1272,1278,602,Aditi,1103,S1103
Aditi_1104_S1104,0,0,1735,0,1735,1865,1878,130,Aditi,1104,S1104
Aditi_1105_S1105,0,0,18,0,18,72,72,54,Aditi,1105,S1105
Aditi_1106_S1106,0,0,2051,0,2051,3133,3156,1082,Aditi,1106,S1106
Aditi_1107_S1107,0,0,39,0,39,831,832,792,Aditi,1107,S1107
Aditi_1108_S1108,0,0,8342,0,8342,9078,9142,736,Aditi,1108,S1108
Aditi_1109_S1109,0,0,42,0,42,558,558,516,Aditi,1109,S1109
Aditi_111_S111,0,0,0,0,0,2292,2292,2292,Aditi,111,S111
Aditi_1110_S1110,0,0,34,0,34,1722,1722,1688,Aditi,1110,S1110
Aditi_1111_S1111,0,0,10840,0,10840,11416,11536,576,Aditi,1111,S1111
Aditi_1112_S1112,0,0,25,0,25,347,348,322,Aditi,1112,S1112
Aditi_1113_S1113,0,0,275,0,275,395,398,120,Aditi,1113,S1113
