Plate_well,Single_cells,CD45,Ery,Gran,Mono,NK,CD14_MFI,CD15_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,Sort_id,Sample,Day,FSC_A,FSC_W,SSC_A,CD33 640 670_30_A,CD34 640 780_60_A,CD45RA 640 730_45_A,CD90 561 582_15_A,CD49F 561 670_14_A,CD38 561 780_60_A,LIN 488 530_30_A,CD7_10 V405 450/50_A,L_D V405 525/50_A,CD45 V405 780_60_A,Time,Cell_seeded
1_D7,173,139,1,92,7,0,465,2583,245,67.6,5.15,10.3,1_D7,ARCH,28,158022,85966,32096,595,1732,9,263,2151,2427,37,-204,689,1413,52870,HSC
1_D8,2143,2100,1,976,267,0,512,2297,152,46.9,12.8,3.26,1_D8,ARCH,28,142051,87824,29614,965,1410,21,479,8851,2405,247,-223,725,2107,52341,HSC
1_D9,384,343,3,259,16,2,454,3227,140,76.4,4.72,9.09,1_D9,ARCH,28,146516,84789,24524,117,2411,-3,604,1765,1256,72,-102,131,1835,51848,HSC
1_D11,3776,3750,0,1090,1197,0,1237,2843,112,29.1,32,0,1_D11,ARCH,28,161811,84176,36064,3,2857,33,335,2027,870,17,-234,990,2351,48105,HSC
1_E5,378,361,0,180,70,0,772,3393,275,49.9,19.4,4.35,1_E5,ARCH,28,168577,90874,36421,729,2484,104,695,1357,1657,93,-159,144,2634,69510,HSC
1_E6,351,328,0,247,9,1,541,3413,261,75.5,2.75,10.3,1_E6,ARCH,28,126364,85713,23646,593,1674,415,1,2756,1851,112,-69,454,1589,72314,HSC
1_E7,14249,14205,0,9211,654,0,475,2681,107,65.3,4.64,1.01,1_E7,ARCH,28,152663,84723,25215,288,1734,-12,1135,1925,2212,58,-88,189,2534,74124,HSC
1_E8,442,398,2,104,62,0,549,1639,104,26.5,15.8,4.48,1_E8,ARCH,28,151071,84476,25148,263,2501,-7,450,1819,2303,57,-91,110,2288,74565,HSC
1_E10,178,146,4,72,12,5,666,3126,226,51.4,8.57,7.14,1_E10,ARCH,28,132784,84165,35463,505,3084,-72,756,5479,1386,82,-197,355,3609,79311,HSC
1_E11,1328,1260,1,280,18,0,337,1242,134,22.4,1.44,0,1_E11,ARCH,28,128350,88145,25717,198,1448,41,175,1138,2494,8,-36,155,1097,79953,HSC
