,Single_cells,CD45,Ery,Gran,Mono,NK,CD14_MFI,CD15_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,
ARCH_161_G5_G05_056.fcs,694,677,1.00,548,20.0,0,515,3253,502,80.9,2.95,0,
ARCH_161_G6_G06_057.fcs,1022,1007,0,414,228,0,982,3266,198,41.1,22.6,0,
ARCH_161_G7_G07_058.fcs,4481,4453,1.00,2283,900,1.00,831,3792,170,51.4,20.3,8.57,
ARCH_161_G8_G08_059.fcs,861,841,1.00,409,239,2.00,769,4125,96.4,49.0,28.6,0,
ARCH_161_G9_G09_060.fcs,433,404,1.00,160,42.0,0,403,1801,140,40.6,10.7,4.35,
ARCH_161_G10_G10_061.fcs,890,864,1.00,466,191,0,798,4125,70.6,54.2,22.2,3.70,
ARCH_161_G12_G12_062.fcs,889,841,1.00,512,65.0,0,407,3101,113,61.6,7.82,8.93,
ARCH_161_H1_H01_063.fcs,107,38.0,1.00,5.00,2.00,1.00,451,1290,50.1,14.3,5.71,2.56,
ARCH_161_H7_H07_064.fcs,148,118,0,64.0,2.00,0,540,2193,70.6,55.7,1.74,2.94,
ARCH_161_H8_H08_065.fcs,985,948,1.00,184,25.0,1.00,380,1275,169,19.6,2.67,1.71,
ARCH_161_H9_H09_066.fcs,221,178,5.00,63.0,51.0,2.00,954,4041,82.2,37.1,30.0,6.38,
ARCH_161_H10_H10_067.fcs,313,271,2.00,95.0,84.0,0,1051,4308,250,35.1,31.0,2.08,
ARCH_161_H11_H11_068.fcs,337,292,2.00,85.0,23.0,2.00,419,1591,143,30.1,8.16,7.35,
ARCH_161_H12_H12_069.fcs,978,923,2.00,226,60.0,3.00,360,1512,148,24.8,6.59,4.17,
Mean,1129,1097,1.26,514,151,0.68,,,181,40.3,11.8,6.72,
SD,2742,2741,1.16,1515,410,1.16,,,254,22.3,12.8,6.61,
