sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
plate3_10G2_BC-plate-_I_74_S259_L001,43,65,0,108,19426,19524,19318
plate3_10G9_BC-plate-_I_82_S266_L001,62,299,10,371,16367,16630,15996
plate3_10H12_BC-plate-_I_2_S194_L001,27,56,1,84,12118,12194,12034
plate3_1B1_BC-plate-_I_3_S195_L001,34,41,0,75,12681,12748,12606
plate3_1B4_BC-plate-_I_11_S203_L001,38,90,4,132,13830,13930,13698
plate3_1C1_BC-plate-_I_19_S211_L001,43,73,3,119,15875,15984,15756
plate3_1D1_BC-plate-_I_27_S218_L001,3,20,0,23,265,274,242
plate3_1F10_BC-plate-_I_35_S225_L001,61,82,1,144,18764,18888,18620
plate3_1G5_BC-plate-_I_43_S232_L001,57,324,3,384,14956,15224,14572
plate3_1G7_BC-plate-_I_51_S239_L001,50,94,3,147,16239,16366,16092
plate3_2C10_BC-plate-_I_59_S246_L001,51,65,0,116,19028,19134,18912
plate3_2D1_BC-plate-_I_67_S253_L001,76,210,13,299,14181,14362,13882
plate3_2G11_BC-plate-_I_83_S267_L001,129,288,16,433,13369,13644,12936
plate3_2G2_BC-plate-_I_75_S260_L001,56,160,2,218,15742,15894,15524
plate3_3B10_BC-plate-_I_12_S204_L001,30,46,0,76,15076,15150,15000
plate3_3B6_BC-plate-_I_91_S273_L001,37,113,2,152,13278,13388,13126
plate3_3B9_BC-plate-_I_4_S196_L001,22,41,0,63,10467,10526,10404
plate3_3C11_BC-plate-_I_20_S212_L001,46,99,0,145,17207,17336,17062
plate3_3D11_BC-plate-_I_28_S219_L001,42,60,4,106,17174,17268,17068
plate3_3E8_BC-plate-_I_36_S226_L001,52,92,1,145,20163,20292,20018
plate3_4B8_BC-plate-_I_44_S233_L001,42,77,3,122,14734,14838,14612
plate3_4C12_BC-plate-_I_52_S240_L001,55,97,1,153,18749,18878,18596
plate3_4E2_BC-plate-_I_60_S247_L001,46,76,0,122,17602,17710,17480
plate3_5A8_BC-plate-_I_68_S254_L001,32,58,0,90,17808,17892,17718
plate3_5A9_BC-plate-_I_76_S261_L001,32,74,3,109,15371,15466,15262
plate3_5B11_BC-plate-_I_84_S268_L001,41,55,0,96,11570,11652,11474
plate3_5B12_BC-plate-_I_92_S274_L001,34,49,0,83,14247,14320,14164
plate3_5D1_BC-plate-_I_5_S197_L001,31,40,1,72,10904,10974,10832
plate3_5D11_BC-plate-_I_21_S213_L001,36,83,0,119,16023,16122,15904
plate3_5D6_BC-plate-_I_13_S205_L001,33,53,1,87,11459,11534,11372
plate3_5F10_BC-plate-_I_29_S220_L001,46,58,1,105,14535,14632,14430
plate3_5G11_BC-plate-_I_37_S227_L001,40,76,1,117,14711,14816,14594
plate3_6F12_BC-plate-_I_45_S234_L001,34,124,2,160,13672,13784,13512
plate3_7D6_BC-plate-_I_53_S241_L001,34,73,0,107,14299,14394,14192
plate3_7F3_BC-plate-_I_61_S248_L001,38,100,0,138,17024,17138,16886
plate3_7F6_BC-plate-_I_69_S255_L001,35,33,1,69,14677,14744,14608
plate3_7G6_BC-plate-_I_77_S262_L001,26,44,2,72,12880,12946,12808
plate3_8A3_BC-plate-_I_85_S269_L001,42,110,2,154,15958,16088,15804
plate3_8D11_BC-plate-_I_93_S275_L001,32,53,1,86,13766,13840,13680
plate3_8F11_BC-plate-_I_6_S198_L001,42,48,1,91,12629,12716,12538
plate3_8G11_BC-plate-_I_14_S206_L001,34,41,0,75,13413,13482,13338
plate3_8H10_BC-plate-_I_22_S214_L001,58,73,0,131,15019,15144,14888
plate3_9B6_BC-plate-_I_30_S221_L001,35,68,0,103,12999,13100,12896
plate3_9C11_BC-plate-_I_38_S228_L001,50,72,3,125,16477,16592,16352
plate3_9D1_BC-plate-_I_1_S193_L001,16,34,0,50,11144,11192,11094
plate3_9D12_BC-plate-_I_9_S201_L001,28,50,1,79,14751,14828,14672
plate3_9D4_BC-plate-_I_46_S235_L001,68,335,6,409,16665,16910,16256
plate3_9D9_BC-plate-_I_54_S242_L001,31,202,3,236,13676,13816,13440
plate3_9E11_BC-plate-_I_33_S223_L001,56,74,0,130,17628,17738,17498
plate3_9E2_BC-plate-_I_17_S209_L001,37,80,0,117,19217,19326,19100
plate3_9E7_BC-plate-_I_25_S216_L001,30,56,1,87,14521,14600,14434
plate3_9F12_BC-plate-_I_62_S249_L001,41,267,2,310,16678,16896,16368
plate3_9F3_BC-plate-_I_41_S230_L001,34,90,2,126,13580,13676,13454
plate3_9F9_BC-plate-_I_49_S237_L001,40,53,2,95,14399,14486,14304
plate3_9G10_BC-plate-_I_89_S272_L001,44,47,0,91,15817,15900,15726
plate3_9G2_BC-plate-_I_57_S244_L001,37,76,1,114,15456,15550,15342
plate3_9G4_BC-plate-_I_65_S251_L001,46,59,0,105,16405,16500,16300
plate3_9G5_BC-plate-_I_73_S258_L001,35,43,0,78,16582,16658,16504
plate3_9G6_BC-plate-_I_70_S256_L001,33,126,2,161,12653,12766,12492
plate3_9G8_BC-plate-_I_81_S265_L001,121,493,8,622,16684,17062,16062
plate3_9H8_BC-plate-_I_78_S263_L001,27,38,0,65,12921,12980,12856
plate3_plate4_well_A1_HSC_BC-plate-_I_8_S200_L001,41,9030,0,9071,23101,28072,14030
plate3_plate4_well_A10_CD34__BC-plate-_I_80_S264_L001,17,35,0,52,7490,7534,7438
plate3_plate4_well_A2_HSC_BC-plate-_I_16_S208_L001,21,6546,48,6615,15277,18922,8662
